#    L    TT             EE             BB             TE          
    91    0.23940E+04    0.62853E+00    0.24122E-02   -0.17075E+02
    92    0.24231E+04    0.64376E+00    0.24659E-02   -0.17702E+02
    93    0.24525E+04    0.65896E+00    0.25203E-02   -0.18334E+02
    94    0.24819E+04    0.67411E+00    0.25753E-02   -0.18969E+02
    95    0.25116E+04    0.68918E+00    0.26310E-02   -0.19608E+02
    96    0.25414E+04    0.70418E+00    0.26873E-02   -0.20251E+02
    97    0.25715E+04    0.71909E+00    0.27443E-02   -0.20897E+02
    98    0.26019E+04    0.73389E+00    0.28019E-02   -0.21543E+02
    99    0.26323E+04    0.74856E+00    0.28602E-02   -0.22192E+02
   100    0.26630E+04    0.76309E+00    0.29191E-02   -0.22841E+02
   101    0.26939E+04    0.77755E+00    0.29788E-02   -0.23491E+02
   102    0.27253E+04    0.79177E+00    0.30391E-02   -0.24141E+02
   103    0.27566E+04    0.80585E+00    0.31000E-02   -0.24792E+02
   104    0.27882E+04    0.81977E+00    0.31617E-02   -0.25441E+02
   105    0.28199E+04    0.83347E+00    0.32240E-02   -0.26088E+02
   106    0.28518E+04    0.84702E+00    0.32870E-02   -0.26734E+02
   107    0.28836E+04    0.86027E+00    0.33507E-02   -0.27377E+02
   108    0.29158E+04    0.87329E+00    0.34151E-02   -0.28018E+02
   109    0.29482E+04    0.88602E+00    0.34802E-02   -0.28654E+02
   110    0.29806E+04    0.89845E+00    0.35461E-02   -0.29286E+02
   111    0.30132E+04    0.91065E+00    0.36126E-02   -0.29914E+02
   112    0.30460E+04    0.92255E+00    0.36798E-02   -0.30537E+02
   113    0.30790E+04    0.93416E+00    0.37477E-02   -0.31154E+02
   114    0.31120E+04    0.94539E+00    0.38164E-02   -0.31765E+02
   115    0.31453E+04    0.95640E+00    0.38858E-02   -0.32368E+02
   116    0.31786E+04    0.96696E+00    0.39559E-02   -0.32964E+02
   117    0.32122E+04    0.97714E+00    0.40267E-02   -0.33552E+02
   118    0.32459E+04    0.98711E+00    0.40983E-02   -0.34132E+02
   119    0.32796E+04    0.99670E+00    0.41706E-02   -0.34702E+02
   120    0.33135E+04    0.10058E+01    0.42437E-02   -0.35262E+02
   121    0.33474E+04    0.10146E+01    0.43175E-02   -0.35812E+02
   122    0.33814E+04    0.10229E+01    0.43921E-02   -0.36352E+02
   123    0.34154E+04    0.10308E+01    0.44674E-02   -0.36881E+02
   124    0.34495E+04    0.10383E+01    0.45436E-02   -0.37396E+02
   125    0.34836E+04    0.10454E+01    0.46204E-02   -0.37899E+02
   126    0.35178E+04    0.10520E+01    0.46981E-02   -0.38390E+02
   127    0.35520E+04    0.10582E+01    0.47766E-02   -0.38869E+02
   128    0.35862E+04    0.10640E+01    0.48558E-02   -0.39333E+02
   129    0.36204E+04    0.10692E+01    0.49359E-02   -0.39783E+02
   130    0.36547E+04    0.10740E+01    0.50167E-02   -0.40217E+02
   131    0.36890E+04    0.10783E+01    0.50984E-02   -0.40638E+02
   132    0.37233E+04    0.10822E+01    0.51809E-02   -0.41041E+02
   133    0.37575E+04    0.10856E+01    0.52642E-02   -0.41430E+02
   134    0.37918E+04    0.10885E+01    0.53484E-02   -0.41800E+02
   135    0.38260E+04    0.10910E+01    0.54334E-02   -0.42154E+02
   136    0.38601E+04    0.10929E+01    0.55192E-02   -0.42488E+02
   137    0.38942E+04    0.10943E+01    0.56059E-02   -0.42805E+02
   138    0.39282E+04    0.10953E+01    0.56934E-02   -0.43103E+02
   139    0.39620E+04    0.10958E+01    0.57819E-02   -0.43381E+02
   140    0.39959E+04    0.10958E+01    0.58712E-02   -0.43640E+02
   141    0.40295E+04    0.10953E+01    0.59614E-02   -0.43878E+02
   142    0.40632E+04    0.10943E+01    0.60525E-02   -0.44096E+02
   143    0.40967E+04    0.10929E+01    0.61444E-02   -0.44293E+02
   144    0.41301E+04    0.10910E+01    0.62373E-02   -0.44469E+02
   145    0.41633E+04    0.10887E+01    0.63311E-02   -0.44624E+02
   146    0.41966E+04    0.10858E+01    0.64258E-02   -0.44756E+02
   147    0.42295E+04    0.10825E+01    0.65215E-02   -0.44866E+02
   148    0.42622E+04    0.10788E+01    0.66181E-02   -0.44954E+02
   149    0.42949E+04    0.10746E+01    0.67156E-02   -0.45018E+02
   150    0.43273E+04    0.10700E+01    0.68141E-02   -0.45057E+02
   151    0.43596E+04    0.10650E+01    0.69135E-02   -0.45074E+02
   152    0.43915E+04    0.10595E+01    0.70138E-02   -0.45067E+02
   153    0.44233E+04    0.10536E+01    0.71152E-02   -0.45034E+02
   154    0.44549E+04    0.10473E+01    0.72175E-02   -0.44977E+02
   155    0.44863E+04    0.10407E+01    0.73207E-02   -0.44895E+02
   156    0.45172E+04    0.10338E+01    0.74250E-02   -0.44788E+02
   157    0.45481E+04    0.10265E+01    0.75302E-02   -0.44656E+02
   158    0.45787E+04    0.10188E+01    0.76364E-02   -0.44498E+02
   159    0.46090E+04    0.10108E+01    0.77436E-02   -0.44314E+02
   160    0.46391E+04    0.10025E+01    0.78517E-02   -0.44104E+02
   161    0.46689E+04    0.99394E+00    0.79609E-02   -0.43868E+02
   162    0.46984E+04    0.98506E+00    0.80710E-02   -0.43606E+02
   163    0.47277E+04    0.97589E+00    0.81822E-02   -0.43318E+02
