#           k/h    P           
    0.10000E-03    0.21339E+01
    0.10202E-03    0.21755E+01
    0.10408E-03    0.22179E+01
    0.10618E-03    0.22612E+01
    0.10833E-03    0.23053E+01
    0.11052E-03    0.23502E+01
    0.11275E-03    0.23961E+01
    0.11503E-03    0.24428E+01
    0.11735E-03    0.24904E+01
    0.11972E-03    0.25390E+01
    0.12214E-03    0.25885E+01
    0.12461E-03    0.26390E+01
    0.12712E-03    0.26905E+01
    0.12969E-03    0.27429E+01
    0.13231E-03    0.27964E+01
    0.13499E-03    0.28510E+01
    0.13771E-03    0.29065E+01
    0.14049E-03    0.29632E+01
    0.14333E-03    0.30210E+01
    0.14623E-03    0.30799E+01
    0.14918E-03    0.31400E+01
    0.15220E-03    0.32012E+01
    0.15527E-03    0.32636E+01
    0.15841E-03    0.33272E+01
    0.16161E-03    0.33921E+01
    0.16487E-03    0.34582E+01
    0.16820E-03    0.35256E+01
    0.17160E-03    0.35944E+01
    0.17507E-03    0.36644E+01
    0.17860E-03    0.37359E+01
    0.18221E-03    0.38087E+01
    0.18589E-03    0.38830E+01
    0.18965E-03    0.39586E+01
    0.19348E-03    0.40358E+01
    0.19739E-03    0.41145E+01
    0.20138E-03    0.41947E+01
    0.20544E-03    0.42764E+01
    0.20959E-03    0.43597E+01
    0.21383E-03    0.44447E+01
    0.21815E-03    0.45313E+01
    0.22255E-03    0.46196E+01
    0.22705E-03    0.47096E+01
    0.23164E-03    0.48014E+01
    0.23632E-03    0.48949E+01
    0.24109E-03    0.49903E+01
    0.24596E-03    0.50875E+01
    0.25093E-03    0.51866E+01
    0.25600E-03    0.52877E+01
    0.26117E-03    0.53907E+01
    0.26645E-03    0.54957E+01
    0.27183E-03    0.56027E+01
    0.27732E-03    0.57118E+01
    0.28292E-03    0.58230E+01
    0.28864E-03    0.59364E+01
    0.29447E-03    0.60520E+01
    0.30042E-03    0.61698E+01
    0.30649E-03    0.62899E+01
    0.31268E-03    0.64124E+01
    0.31899E-03    0.65372E+01
    0.32544E-03    0.66644E+01
    0.33201E-03    0.67941E+01
    0.33872E-03    0.69263E+01
    0.34556E-03    0.70611E+01
    0.35254E-03    0.71984E+01
    0.35966E-03    0.73384E+01
    0.36693E-03    0.74812E+01
    0.37434E-03    0.76267E+01
    0.38190E-03    0.77750E+01
    0.38962E-03    0.79261E+01
    0.39749E-03    0.80802E+01
    0.40552E-03    0.82373E+01
    0.41371E-03    0.83973E+01
    0.42207E-03    0.85605E+01
    0.43060E-03    0.87268E+01
    0.43929E-03    0.88963E+01
    0.44817E-03    0.90691E+01
    0.45722E-03    0.92452E+01
    0.46646E-03    0.94247E+01
    0.47588E-03    0.96076E+01
    0.48550E-03    0.97941E+01
    0.49530E-03    0.99841E+01
    0.50531E-03    0.10178E+02
    0.51552E-03    0.10375E+02
    0.52593E-03    0.10576E+02
    0.53656E-03    0.10781E+02
    0.54739E-03    0.10990E+02
    0.55845E-03    0.11203E+02
    0.56973E-03    0.11420E+02
    0.58124E-03    0.11641E+02
    0.59299E-03    0.11867E+02
    0.60496E-03    0.12096E+02
    0.61719E-03    0.12330E+02
    0.62965E-03    0.12569E+02
    0.64237E-03    0.12812E+02
    0.65535E-03    0.13059E+02
    0.66859E-03    0.13312E+02
    0.68210E-03    0.13569E+02
    0.69588E-03    0.13830E+02
    0.70993E-03    0.14097E+02
    0.72427E-03    0.14369E+02
    0.73891E-03    0.14646E+02
    0.75383E-03    0.14928E+02
    0.76906E-03    0.15216E+02
    0.78460E-03    0.15509E+02
    0.80045E-03    0.15807E+02
    0.81662E-03    0.16111E+02
    0.83311E-03    0.16421E+02
    0.84994E-03    0.16736E+02
    0.86711E-03    0.17057E+02
    0.88463E-03    0.17384E+02
    0.90250E-03    0.17717E+02
    0.92073E-03    0.18057E+02
    0.93933E-03    0.18402E+02
    0.95831E-03    0.18754E+02
    0.97767E-03    0.19113E+02
    0.99742E-03    0.19478E+02
    0.10176E-02    0.19849E+02
    0.10381E-02    0.20227E+02
    0.10591E-02    0.20613E+02
    0.10805E-02    0.21005E+02
    0.11023E-02    0.21404E+02
    0.11246E-02    0.21810E+02
    0.11473E-02    0.22224E+02
    0.11705E-02    0.22645E+02
    0.11941E-02    0.23074E+02
    0.12182E-02    0.23510E+02
    0.12429E-02    0.23954E+02
    0.12680E-02    0.24406E+02
    0.12936E-02    0.24865E+02
    0.13197E-02    0.25333E+02
    0.13464E-02    0.25809E+02
    0.13736E-02    0.26293E+02
    0.14013E-02    0.26785E+02
    0.14296E-02    0.27286E+02
    0.14585E-02    0.27795E+02
    0.14880E-02    0.28313E+02
    0.15180E-02    0.28840E+02
    0.15487E-02    0.29375E+02
    0.15800E-02    0.29920E+02
    0.16119E-02    0.30473E+02
    0.16445E-02    0.31036E+02
    0.16777E-02    0.31608E+02
    0.17116E-02    0.32189E+02
    0.17462E-02    0.32780E+02
    0.17814E-02    0.33380E+02
    0.18174E-02    0.33989E+02
    0.18541E-02    0.34609E+02
    0.18916E-02    0.35238E+02
    0.19298E-02    0.35876E+02
    0.19688E-02    0.36525E+02
    0.20086E-02    0.37184E+02
    0.20491E-02    0.37852E+02
    0.20905E-02    0.38531E+02
    0.21328E-02    0.39220E+02
    0.21758E-02    0.39919E+02
    0.22198E-02    0.40628E+02
    0.22646E-02    0.41347E+02
    0.23104E-02    0.42077E+02
    0.23571E-02    0.42817E+02
    0.24047E-02    0.43568E+02
    0.24533E-02    0.44329E+02
    0.25028E-02    0.45100E+02
    0.25534E-02    0.45882E+02
    0.26050E-02    0.46674E+02
    0.26576E-02    0.47476E+02
    0.27113E-02    0.48289E+02
    0.27660E-02    0.49113E+02
    0.28219E-02    0.49947E+02
    0.28789E-02    0.50791E+02
    0.29371E-02    0.51646E+02
    0.29964E-02    0.52510E+02
    0.30569E-02    0.53386E+02
    0.31187E-02    0.54271E+02
    0.31817E-02    0.55166E+02
    0.32460E-02    0.56072E+02
    0.33115E-02    0.56988E+02
    0.33784E-02    0.57913E+02
    0.34467E-02    0.58848E+02
    0.35163E-02    0.59793E+02
    0.35874E-02    0.60748E+02
    0.36598E-02    0.61712E+02
    0.37338E-02    0.62685E+02
    0.38092E-02    0.63668E+02
    0.38861E-02    0.64659E+02
    0.39646E-02    0.65659E+02
    0.40447E-02    0.66668E+02
    0.41264E-02    0.67685E+02
    0.42098E-02    0.68711E+02
    0.42948E-02    0.69744E+02
    0.43816E-02    0.70785E+02
    0.44701E-02    0.71834E+02
    0.45604E-02    0.72889E+02
    0.46525E-02    0.73952E+02
    0.47465E-02    0.75021E+02
    0.48424E-02    0.76096E+02
    0.49402E-02    0.77177E+02
    0.50400E-02    0.78263E+02
    0.51419E-02    0.79355E+02
    0.52457E-02    0.80451E+02
    0.53517E-02    0.81551E+02
    0.54598E-02    0.82655E+02
    0.55701E-02    0.83762E+02
    0.56826E-02    0.84872E+02
    0.57974E-02    0.85985E+02
    0.59145E-02    0.87099E+02
    0.60340E-02    0.88214E+02
    0.61559E-02    0.89331E+02
    0.62803E-02    0.90447E+02
    0.64072E-02    0.91563E+02
    0.65366E-02    0.92677E+02
    0.66686E-02    0.93790E+02
    0.68033E-02    0.94901E+02
    0.69408E-02    0.96009E+02
    0.70810E-02    0.97112E+02
    0.72240E-02    0.98212E+02
    0.73700E-02    0.99306E+02
    0.75189E-02    0.10039E+03
    0.76708E-02    0.10148E+03
    0.78257E-02    0.10255E+03
    0.79838E-02    0.10362E+03
    0.81451E-02    0.10467E+03
    0.83096E-02    0.10572E+03
    0.84775E-02    0.10675E+03
    0.86488E-02    0.10778E+03
    0.88235E-02    0.10879E+03
    0.90017E-02    0.10978E+03
    0.91836E-02    0.11076E+03
    0.93691E-02    0.11173E+03
    0.95583E-02    0.11268E+03
    0.97514E-02    0.11361E+03
    0.99484E-02    0.11452E+03
    0.10149E-01    0.11541E+03
    0.10354E-01    0.11628E+03
    0.10564E-01    0.11713E+03
    0.10777E-01    0.11795E+03
    0.10995E-01    0.11875E+03
    0.11217E-01    0.11952E+03
    0.11443E-01    0.12027E+03
    0.11675E-01    0.12098E+03
    0.11910E-01    0.12167E+03
    0.12151E-01    0.12234E+03
    0.12397E-01    0.12297E+03
    0.12647E-01    0.12357E+03
    0.12902E-01    0.12413E+03
    0.13163E-01    0.12465E+03
    0.13429E-01    0.12514E+03
    0.13700E-01    0.12558E+03
    0.13977E-01    0.12598E+03
    0.14259E-01    0.12634E+03
    0.14547E-01    0.12666E+03
    0.14841E-01    0.12693E+03
    0.15141E-01    0.12715E+03
    0.15447E-01    0.12733E+03
    0.15759E-01    0.12746E+03
    0.16077E-01    0.12754E+03
    0.16402E-01    0.12756E+03
    0.16734E-01    0.12754E+03
    0.17072E-01    0.12745E+03
    0.17416E-01    0.12732E+03
    0.17768E-01    0.12712E+03
    0.18127E-01    0.12688E+03
    0.18493E-01    0.12657E+03
    0.18867E-01    0.12621E+03
    0.19248E-01    0.12579E+03
    0.19637E-01    0.12531E+03
    0.20034E-01    0.12478E+03
    0.20438E-01    0.12418E+03
    0.20851E-01    0.12352E+03
    0.21272E-01    0.12280E+03
    0.21702E-01    0.12202E+03
    0.22141E-01    0.12118E+03
    0.22588E-01    0.12028E+03
    0.23044E-01    0.11933E+03
    0.23510E-01    0.11831E+03
    0.23985E-01    0.11724E+03
    0.24469E-01    0.11611E+03
    0.24964E-01    0.11492E+03
    0.25468E-01    0.11368E+03
    0.25982E-01    0.11240E+03
    0.26507E-01    0.11106E+03
    0.27043E-01    0.10967E+03
    0.27589E-01    0.10825E+03
    0.28146E-01    0.10678E+03
    0.28715E-01    0.10527E+03
    0.29295E-01    0.10372E+03
    0.29887E-01    0.10215E+03
    0.30490E-01    0.10054E+03
    0.31106E-01    0.98912E+02
    0.31735E-01    0.97262E+02
    0.32376E-01    0.95596E+02
    0.33030E-01    0.93917E+02
    0.33697E-01    0.92230E+02
    0.34378E-01    0.90540E+02
    0.35072E-01    0.88851E+02
    0.35781E-01    0.87167E+02
    0.36504E-01    0.85492E+02
    0.37241E-01    0.83832E+02
    0.37993E-01    0.82192E+02
    0.38761E-01    0.80577E+02
    0.39544E-01    0.78991E+02
    0.40343E-01    0.77437E+02
    0.41158E-01    0.75918E+02
    0.41989E-01    0.74436E+02
    0.42838E-01    0.72992E+02
    0.43703E-01    0.71588E+02
    0.44586E-01    0.70228E+02
    0.45486E-01    0.68916E+02
    0.46405E-01    0.67656E+02
    0.47343E-01    0.66453E+02
    0.48299E-01    0.65311E+02
    0.49275E-01    0.64228E+02
    0.50270E-01    0.63198E+02
    0.51286E-01    0.62218E+02
    0.52322E-01    0.61281E+02
    0.53379E-01    0.60383E+02
    0.54457E-01    0.59520E+02
    0.55557E-01    0.58687E+02
    0.56680E-01    0.57880E+02
    0.57825E-01    0.57094E+02
    0.58993E-01    0.56325E+02
    0.60184E-01    0.55567E+02
    0.61400E-01    0.54816E+02
    0.62641E-01    0.54064E+02
    0.63906E-01    0.53305E+02
    0.65197E-01    0.52529E+02
    0.66514E-01    0.51730E+02
    0.67858E-01    0.50897E+02
    0.69229E-01    0.50024E+02
    0.70627E-01    0.49101E+02
    0.72054E-01    0.48124E+02
    0.73510E-01    0.47089E+02
    0.74994E-01    0.45995E+02
    0.76509E-01    0.44843E+02
    0.78055E-01    0.43637E+02
    0.79632E-01    0.42383E+02
    0.81241E-01    0.41090E+02
    0.82882E-01    0.39769E+02
    0.84556E-01    0.38431E+02
    0.86264E-01    0.37089E+02
    0.88007E-01    0.35755E+02
    0.89785E-01    0.34440E+02
    0.91598E-01    0.33157E+02
    0.93449E-01    0.31916E+02
    0.95337E-01    0.30730E+02
    0.97263E-01    0.29608E+02
    0.99227E-01    0.28560E+02
    0.10123E+00    0.27593E+02
    0.10328E+00    0.26714E+02
    0.10536E+00    0.25925E+02
    0.10749E+00    0.25225E+02
    0.10966E+00    0.24610E+02
    0.11188E+00    0.24070E+02
    0.11414E+00    0.23592E+02
    0.11644E+00    0.23163E+02
    0.11880E+00    0.22762E+02
    0.12120E+00    0.22374E+02
    0.12365E+00    0.21980E+02
    0.12614E+00    0.21563E+02
    0.12869E+00    0.21110E+02
    0.13129E+00    0.20610E+02
    0.13394E+00    0.20059E+02
    0.13665E+00    0.19453E+02
    0.13941E+00    0.18798E+02
    0.14223E+00    0.18100E+02
    0.14510E+00    0.17372E+02
    0.14803E+00    0.16629E+02
    0.15102E+00    0.15887E+02
    0.15407E+00    0.15165E+02
    0.15718E+00    0.14484E+02
    0.16036E+00    0.13858E+02
    0.16360E+00    0.13302E+02
    0.16690E+00    0.12821E+02
    0.17028E+00    0.12412E+02
    0.17371E+00    0.12067E+02
    0.17722E+00    0.11769E+02
    0.18080E+00    0.11504E+02
    0.18446E+00    0.11255E+02
    0.18818E+00    0.11004E+02
    0.19198E+00    0.10736E+02
    0.19586E+00    0.10435E+02
    0.19982E+00    0.10095E+02
    0.20386E+00    0.97170E+01
    0.20797E+00    0.93113E+01
    0.21218E+00    0.88941E+01
    0.21646E+00    0.84824E+01
