#    L    TT             EE             TE             PP             TP          
    75    0.19576E+04    0.38985E+00   -0.79699E+01    0.54655E+07    0.91503E+04
    76    0.19828E+04    0.40378E+00   -0.84710E+01    0.54340E+07    0.90286E+04
    77    0.20084E+04    0.41788E+00   -0.89828E+01    0.54023E+07    0.89091E+04
    78    0.20344E+04    0.43217E+00   -0.95068E+01    0.53706E+07    0.87914E+04
    79    0.20605E+04    0.44661E+00   -0.10039E+02    0.53389E+07    0.86748E+04
    80    0.20869E+04    0.46118E+00   -0.10582E+02    0.53072E+07    0.85589E+04
    81    0.21135E+04    0.47585E+00   -0.11134E+02    0.52755E+07    0.84433E+04
    82    0.21403E+04    0.49063E+00   -0.11697E+02    0.52438E+07    0.83284E+04
    83    0.21674E+04    0.50550E+00   -0.12268E+02    0.52122E+07    0.82150E+04
    84    0.21947E+04    0.52046E+00   -0.12846E+02    0.51806E+07    0.81036E+04
    85    0.22221E+04    0.53547E+00   -0.13432E+02    0.51491E+07    0.79948E+04
    86    0.22498E+04    0.55056E+00   -0.14024E+02    0.51177E+07    0.78891E+04
    87    0.22779E+04    0.56568E+00   -0.14623E+02    0.50864E+07    0.77865E+04
    88    0.23059E+04    0.58086E+00   -0.15228E+02    0.50551E+07    0.76868E+04
    89    0.23343E+04    0.59609E+00   -0.15840E+02    0.50240E+07    0.75897E+04
    90    0.23630E+04    0.61131E+00   -0.16458E+02    0.49930E+07    0.74950E+04
    91    0.23918E+04    0.62653E+00   -0.17081E+02    0.49621E+07    0.74027E+04
    92    0.24208E+04    0.64173E+00   -0.17708E+02    0.49314E+07    0.73125E+04
    93    0.24502E+04    0.65690E+00   -0.18341E+02    0.49007E+07    0.72244E+04
    94    0.24796E+04    0.67201E+00   -0.18977E+02    0.48702E+07    0.71383E+04
    95    0.25093E+04    0.68706E+00   -0.19618E+02    0.48399E+07    0.70542E+04
    96    0.25390E+04    0.70202E+00   -0.20261E+02    0.48097E+07    0.69720E+04
    97    0.25691E+04    0.71689E+00   -0.20908E+02    0.47796E+07    0.68916E+04
    98    0.25995E+04    0.73167E+00   -0.21555E+02    0.47496E+07    0.68130E+04
    99    0.26299E+04    0.74630E+00   -0.22205E+02    0.47199E+07    0.67360E+04
   100    0.26606E+04    0.76080E+00   -0.22855E+02    0.46902E+07    0.66606E+04
   101    0.26915E+04    0.77522E+00   -0.23507E+02    0.46608E+07    0.65867E+04
   102    0.27229E+04    0.78941E+00   -0.24158E+02    0.46314E+07    0.65143E+04
   103    0.27542E+04    0.80345E+00   -0.24811E+02    0.46023E+07    0.64433E+04
   104    0.27857E+04    0.81734E+00   -0.25461E+02    0.45733E+07    0.63736E+04
   105    0.28174E+04    0.83101E+00   -0.26110E+02    0.45445E+07    0.63051E+04
   106    0.28493E+04    0.84452E+00   -0.26757E+02    0.45158E+07    0.62378E+04
