#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12665E+04    0.15183E+01    0.21963E-04    0.15183E+01    0.71810E-01   -0.47101E-08    0.21963E-04   -0.47101E-08    0.74659E-10
    44    0.12849E+04    0.14210E+01    0.21016E-04    0.14210E+01    0.77511E-01   -0.24780E-08    0.21016E-04   -0.24780E-08    0.71117E-10
    45    0.13035E+04    0.13099E+01    0.20128E-04    0.13099E+01    0.83478E-01   -0.18866E-08    0.20128E-04   -0.18866E-08    0.67798E-10
    46    0.13225E+04    0.11818E+01    0.19296E-04    0.11818E+01    0.89709E-01   -0.32588E-08    0.19296E-04   -0.32588E-08    0.64683E-10
    47    0.13416E+04    0.10384E+01    0.18516E-04    0.10384E+01    0.96204E-01   -0.60677E-08    0.18516E-04   -0.60677E-08    0.61756E-10
    48    0.13607E+04    0.88500E+00    0.17780E-04    0.88500E+00    0.10297E+00   -0.95734E-08    0.17780E-04   -0.95734E-08    0.59004E-10
    49    0.13800E+04    0.72647E+00    0.17084E-04    0.72647E+00    0.10999E+00   -0.13036E-07    0.17084E-04   -0.13036E-07    0.56415E-10
    50    0.13998E+04    0.56083E+00    0.16420E-04    0.56083E+00    0.11723E+00   -0.15717E-07    0.16420E-04   -0.15717E-07    0.53977E-10
    51    0.14196E+04    0.38434E+00    0.15785E-04    0.38434E+00    0.12469E+00   -0.17059E-07    0.15785E-04   -0.17059E-07    0.51676E-10
    52    0.14399E+04    0.19178E+00    0.15178E-04    0.19178E+00    0.13243E+00   -0.17250E-07    0.15178E-04   -0.17250E-07    0.49504E-10
    53    0.14602E+04   -0.20578E-01    0.14602E-04   -0.20578E-01    0.14061E+00   -0.16658E-07    0.14602E-04   -0.16658E-07    0.47453E-10
    54    0.14804E+04   -0.24852E+00    0.14056E-04   -0.24852E+00    0.14921E+00   -0.15653E-07    0.14056E-04   -0.15653E-07    0.45514E-10
    55    0.15008E+04   -0.48769E+00    0.13544E-04   -0.48769E+00    0.15822E+00   -0.14605E-07    0.13544E-04   -0.14605E-07    0.43679E-10
    56    0.15215E+04   -0.73981E+00    0.13066E-04   -0.73981E+00    0.16750E+00   -0.13803E-07    0.13066E-04   -0.13803E-07    0.41940E-10
    57    0.15426E+04   -0.10046E+01    0.12618E-04   -0.10046E+01    0.17692E+00   -0.13207E-07    0.12618E-04   -0.13207E-07    0.40291E-10
    58    0.15639E+04   -0.12824E+01    0.12197E-04   -0.12824E+01    0.18652E+00   -0.12697E-07    0.12197E-04   -0.12697E-07    0.38727E-10
    59    0.15854E+04   -0.15737E+01    0.11798E-04   -0.15737E+01    0.19631E+00   -0.12152E-07    0.11798E-04   -0.12152E-07    0.37242E-10
    60    0.16070E+04   -0.18774E+01    0.11417E-04   -0.18774E+01    0.20637E+00   -0.11453E-07    0.11417E-04   -0.11453E-07    0.35831E-10
    61    0.16291E+04   -0.21926E+01    0.11051E-04   -0.21926E+01    0.21678E+00   -0.10522E-07    0.11051E-04   -0.10522E-07    0.34490E-10
    62    0.16511E+04   -0.25205E+01    0.10699E-04   -0.25205E+01    0.22752E+00   -0.94560E-08    0.10699E-04   -0.94560E-08    0.33213E-10
    63    0.16732E+04   -0.28623E+01    0.10360E-04   -0.28623E+01    0.23856E+00   -0.83943E-08    0.10360E-04   -0.83943E-08    0.31997E-10
    64    0.16957E+04   -0.32197E+01    0.10032E-04   -0.32197E+01    0.24991E+00   -0.74770E-08    0.10032E-04   -0.74770E-08    0.30840E-10
    65    0.17182E+04   -0.35937E+01    0.97165E-05   -0.35937E+01    0.26153E+00   -0.68439E-08    0.97165E-05   -0.68439E-08    0.29737E-10
