#           k/h    P           
    0.10000E-03    0.91212E+01
    0.10202E-03    0.92990E+01
    0.10408E-03    0.94804E+01
    0.10618E-03    0.96653E+01
    0.10833E-03    0.98538E+01
    0.11052E-03    0.10046E+02
    0.11275E-03    0.10242E+02
    0.11503E-03    0.10442E+02
    0.11735E-03    0.10645E+02
    0.11972E-03    0.10853E+02
    0.12214E-03    0.11064E+02
    0.12461E-03    0.11280E+02
    0.12712E-03    0.11500E+02
    0.12969E-03    0.11724E+02
    0.13231E-03    0.11953E+02
    0.13499E-03    0.12186E+02
    0.13771E-03    0.12424E+02
    0.14049E-03    0.12666E+02
    0.14333E-03    0.12913E+02
    0.14623E-03    0.13164E+02
    0.14918E-03    0.13421E+02
    0.15220E-03    0.13683E+02
    0.15527E-03    0.13949E+02
    0.15841E-03    0.14221E+02
    0.16161E-03    0.14499E+02
    0.16487E-03    0.14781E+02
    0.16820E-03    0.15069E+02
    0.17160E-03    0.15363E+02
    0.17507E-03    0.15663E+02
    0.17860E-03    0.15968E+02
    0.18221E-03    0.16279E+02
    0.18589E-03    0.16596E+02
    0.18965E-03    0.16920E+02
    0.19348E-03    0.17249E+02
    0.19739E-03    0.17586E+02
    0.20138E-03    0.17928E+02
    0.20544E-03    0.18278E+02
    0.20959E-03    0.18634E+02
    0.21383E-03    0.18997E+02
    0.21815E-03    0.19367E+02
    0.22255E-03    0.19744E+02
    0.22705E-03    0.20129E+02
    0.23164E-03    0.20521E+02
    0.23632E-03    0.20920E+02
    0.24109E-03    0.21328E+02
    0.24596E-03    0.21743E+02
    0.25093E-03    0.22167E+02
    0.25600E-03    0.22598E+02
    0.26117E-03    0.23038E+02
    0.26645E-03    0.23487E+02
    0.27183E-03    0.23944E+02
    0.27732E-03    0.24410E+02
    0.28292E-03    0.24885E+02
    0.28864E-03    0.25370E+02
    0.29447E-03    0.25863E+02
    0.30042E-03    0.26367E+02
    0.30649E-03    0.26880E+02
    0.31268E-03    0.27402E+02
    0.31899E-03    0.27936E+02
    0.32544E-03    0.28479E+02
    0.33201E-03    0.29033E+02
    0.33872E-03    0.29597E+02
    0.34556E-03    0.30173E+02
    0.35254E-03    0.30759E+02
    0.35966E-03    0.31357E+02
    0.36693E-03    0.31967E+02
    0.37434E-03    0.32588E+02
    0.38190E-03    0.33221E+02
    0.38962E-03    0.33866E+02
    0.39749E-03    0.34524E+02
    0.40552E-03    0.35194E+02
    0.41371E-03    0.35878E+02
    0.42207E-03    0.36574E+02
    0.43060E-03    0.37284E+02
    0.43929E-03    0.38007E+02
    0.44817E-03    0.38745E+02
    0.45722E-03    0.39496E+02
    0.46646E-03    0.40262E+02
    0.47588E-03    0.41042E+02
    0.48550E-03    0.41838E+02
    0.49530E-03    0.42649E+02
    0.50531E-03    0.43475E+02
    0.51552E-03    0.44317E+02
    0.52593E-03    0.45174E+02
    0.53656E-03    0.46049E+02
    0.54739E-03    0.46940E+02
    0.55845E-03    0.47848E+02
    0.56973E-03    0.48773E+02
    0.58124E-03    0.49715E+02
    0.59299E-03    0.50676E+02
    0.60496E-03    0.51654E+02
    0.61719E-03    0.52652E+02
    0.62965E-03    0.53668E+02
    0.64237E-03    0.54703E+02
    0.65535E-03    0.55758E+02
    0.66859E-03    0.56832E+02
    0.68210E-03    0.57927E+02
    0.69588E-03    0.59042E+02
    0.70993E-03    0.60178E+02
    0.72427E-03    0.61336E+02
    0.73891E-03    0.62515E+02
    0.75383E-03    0.63716E+02
    0.76906E-03    0.64939E+02
    0.78460E-03    0.66185E+02
    0.80045E-03    0.67454E+02
    0.81662E-03    0.68747E+02
    0.83311E-03    0.70063E+02
    0.84994E-03    0.71404E+02
    0.86711E-03    0.72769E+02
    0.88463E-03    0.74159E+02
    0.90250E-03    0.75575E+02
    0.92073E-03    0.77017E+02
    0.93933E-03    0.78485E+02
    0.95831E-03    0.79979E+02
    0.97767E-03    0.81501E+02
    0.99742E-03    0.83050E+02
    0.10176E-02    0.84627E+02
    0.10381E-02    0.86232E+02
    0.10591E-02    0.87867E+02
    0.10805E-02    0.89530E+02
    0.11023E-02    0.91223E+02
    0.11246E-02    0.92945E+02
    0.11473E-02    0.94699E+02
    0.11705E-02    0.96483E+02
    0.11941E-02    0.98298E+02
    0.12182E-02    0.10015E+03
    0.12429E-02    0.10202E+03
    0.12680E-02    0.10394E+03
    0.12936E-02    0.10588E+03
    0.13197E-02    0.10786E+03
    0.13464E-02    0.10987E+03
    0.13736E-02    0.11192E+03
    0.14013E-02    0.11400E+03
    0.14296E-02    0.11612E+03
    0.14585E-02    0.11827E+03
    0.14880E-02    0.12046E+03
    0.15180E-02    0.12268E+03
    0.15487E-02    0.12494E+03
    0.15800E-02    0.12724E+03
    0.16119E-02    0.12957E+03
    0.16445E-02    0.13195E+03
    0.16777E-02    0.13436E+03
    0.17116E-02    0.13681E+03
    0.17462E-02    0.13930E+03
    0.17814E-02    0.14183E+03
    0.18174E-02    0.14440E+03
    0.18541E-02    0.14701E+03
    0.18916E-02    0.14966E+03
    0.19298E-02    0.15235E+03
    0.19688E-02    0.15508E+03
    0.20086E-02    0.15786E+03
    0.20491E-02    0.16067E+03
    0.20905E-02    0.16353E+03
    0.21328E-02    0.16643E+03
    0.21758E-02    0.16937E+03
    0.22198E-02    0.17236E+03
    0.22646E-02    0.17538E+03
    0.23104E-02    0.17846E+03
    0.23571E-02    0.18157E+03
    0.24047E-02    0.18473E+03
    0.24533E-02    0.18793E+03
    0.25028E-02    0.19118E+03
    0.25534E-02    0.19447E+03
    0.26050E-02    0.19781E+03
    0.26576E-02    0.20118E+03
    0.27113E-02    0.20461E+03
    0.27660E-02    0.20808E+03
    0.28219E-02    0.21159E+03
    0.28789E-02    0.21514E+03
    0.29371E-02    0.21874E+03
