#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105171E-04   0.364834E+07   0.364834E+07   0.486405E+07   0.486403E+07   0.364870E+07   0.364836E+07   0.364834E+07   0.365679E+07  -0.599680E+00   0.363301E+07   0.363300E+07   0.996318E+01
   0.116124E-04   0.364834E+07   0.364834E+07   0.486395E+07   0.486394E+07   0.364870E+07   0.364835E+07   0.364834E+07   0.365679E+07  -0.599680E+00   0.363300E+07   0.363300E+07   0.110007E+02
   0.128218E-04   0.364834E+07   0.364834E+07   0.486384E+07   0.486382E+07   0.364870E+07   0.364835E+07   0.364834E+07   0.365679E+07  -0.599680E+00   0.363300E+07   0.363300E+07   0.121461E+02
   0.141570E-04   0.364834E+07   0.364834E+07   0.486371E+07   0.486368E+07   0.364870E+07   0.364835E+07   0.364834E+07   0.365679E+07  -0.599680E+00   0.363300E+07   0.363300E+07   0.134109E+02
   0.156314E-04   0.364834E+07   0.364834E+07   0.486354E+07   0.486351E+07   0.364869E+07   0.364835E+07   0.364834E+07   0.365679E+07  -0.599680E+00   0.363300E+07   0.363300E+07   0.148072E+02
   0.172593E-04   0.364834E+07   0.364834E+07   0.486334E+07   0.486331E+07   0.364869E+07   0.364835E+07   0.364834E+07   0.365678E+07  -0.599679E+00   0.363300E+07   0.363300E+07   0.163489E+02
   0.190567E-04   0.364834E+07   0.364834E+07   0.486309E+07   0.486305E+07   0.364869E+07   0.364835E+07   0.364834E+07   0.365678E+07  -0.599679E+00   0.363300E+07   0.363300E+07   0.180510E+02
   0.210413E-04   0.364834E+07   0.364834E+07   0.486279E+07   0.486274E+07   0.364869E+07   0.364835E+07   0.364834E+07   0.365678E+07  -0.599678E+00   0.363300E+07   0.363300E+07   0.199303E+02
   0.232326E-04   0.364833E+07   0.364833E+07   0.486242E+07   0.486237E+07   0.364868E+07   0.364834E+07   0.364833E+07   0.365678E+07  -0.599678E+00   0.363299E+07   0.363299E+07   0.220049E+02
   0.256521E-04   0.364833E+07   0.364833E+07   0.486198E+07   0.486191E+07   0.364868E+07   0.364834E+07   0.364833E+07   0.365677E+07  -0.599677E+00   0.363299E+07   0.363299E+07   0.242954E+02
