#           k/h    P           
    0.10000E-03    0.11371E+03
    0.10202E-03    0.11593E+03
    0.10408E-03    0.11819E+03
    0.10618E-03    0.12049E+03
    0.10833E-03    0.12284E+03
    0.11052E-03    0.12524E+03
    0.11275E-03    0.12768E+03
    0.11503E-03    0.13017E+03
    0.11735E-03    0.13271E+03
    0.11972E-03    0.13530E+03
    0.12214E-03    0.13793E+03
    0.12461E-03    0.14062E+03
    0.12712E-03    0.14336E+03
    0.12969E-03    0.14616E+03
    0.13231E-03    0.14901E+03
    0.13499E-03    0.15191E+03
    0.13771E-03    0.15487E+03
    0.14049E-03    0.15789E+03
    0.14333E-03    0.16097E+03
    0.14623E-03    0.16411E+03
    0.14918E-03    0.16731E+03
    0.15220E-03    0.17057E+03
    0.15527E-03    0.17389E+03
    0.15841E-03    0.17728E+03
    0.16161E-03    0.18074E+03
    0.16487E-03    0.18426E+03
    0.16820E-03    0.18785E+03
    0.17160E-03    0.19151E+03
    0.17507E-03    0.19524E+03
    0.17860E-03    0.19904E+03
    0.18221E-03    0.20292E+03
    0.18589E-03    0.20688E+03
    0.18965E-03    0.21091E+03
    0.19348E-03    0.21501E+03
    0.19739E-03    0.21920E+03
    0.20138E-03    0.22347E+03
    0.20544E-03    0.22782E+03
    0.20959E-03    0.23226E+03
    0.21383E-03    0.23678E+03
    0.21815E-03    0.24139E+03
    0.22255E-03    0.24609E+03
    0.22705E-03    0.25088E+03
    0.23164E-03    0.25577E+03
    0.23632E-03    0.26075E+03
    0.24109E-03    0.26582E+03
    0.24596E-03    0.27100E+03
    0.25093E-03    0.27627E+03
    0.25600E-03    0.28164E+03
    0.26117E-03    0.28712E+03
    0.26645E-03    0.29271E+03
    0.27183E-03    0.29840E+03
    0.27732E-03    0.30421E+03
    0.28292E-03    0.31012E+03
    0.28864E-03    0.31615E+03
    0.29447E-03    0.32230E+03
    0.30042E-03    0.32857E+03
    0.30649E-03    0.33495E+03
    0.31268E-03    0.34146E+03
    0.31899E-03    0.34810E+03
    0.32544E-03    0.35486E+03
    0.33201E-03    0.36175E+03
    0.33872E-03    0.36878E+03
    0.34556E-03    0.37594E+03
    0.35254E-03    0.38324E+03
    0.35966E-03    0.39068E+03
    0.36693E-03    0.39826E+03
    0.37434E-03    0.40599E+03
    0.38190E-03    0.41386E+03
    0.38962E-03    0.42189E+03
    0.39749E-03    0.43007E+03
    0.40552E-03    0.43841E+03
    0.41371E-03    0.44691E+03
    0.42207E-03    0.45557E+03
    0.43060E-03    0.46439E+03
    0.43929E-03    0.47338E+03
    0.44817E-03    0.48255E+03
    0.45722E-03    0.49189E+03
    0.46646E-03    0.50141E+03
    0.47588E-03    0.51111E+03
    0.48550E-03    0.52099E+03
    0.49530E-03    0.53106E+03
    0.50531E-03    0.54132E+03
    0.51552E-03    0.55178E+03
    0.52593E-03    0.56244E+03
    0.53656E-03    0.57329E+03
    0.54739E-03    0.58435E+03
    0.55845E-03    0.59562E+03
    0.56973E-03    0.60711E+03
    0.58124E-03    0.61880E+03
    0.59299E-03    0.63072E+03
    0.60496E-03    0.64287E+03
    0.61719E-03    0.65524E+03
    0.62965E-03    0.66784E+03
    0.64237E-03    0.68068E+03
    0.65535E-03    0.69375E+03
    0.66859E-03    0.70707E+03
    0.68210E-03    0.72064E+03
    0.69588E-03    0.73447E+03
    0.70993E-03    0.74854E+03
    0.72427E-03    0.76288E+03
    0.73891E-03    0.77749E+03
    0.75383E-03    0.79236E+03
    0.76906E-03    0.80751E+03
    0.78460E-03    0.82293E+03
    0.80045E-03    0.83864E+03
    0.81662E-03    0.85464E+03
    0.83311E-03    0.87093E+03
    0.84994E-03    0.88751E+03
    0.86711E-03    0.90440E+03
    0.88463E-03    0.92159E+03
    0.90250E-03    0.93910E+03
    0.92073E-03    0.95692E+03
    0.93933E-03    0.97507E+03
    0.95831E-03    0.99353E+03
    0.97767E-03    0.10123E+04
    0.99742E-03    0.10315E+04
    0.10176E-02    0.10510E+04
    0.10381E-02    0.10708E+04
    0.10591E-02    0.10910E+04
    0.10805E-02    0.11115E+04
    0.11023E-02    0.11324E+04
    0.11246E-02    0.11537E+04
    0.11473E-02    0.11753E+04
    0.11705E-02    0.11973E+04
    0.11941E-02    0.12197E+04
    0.12182E-02    0.12425E+04
    0.12429E-02    0.12657E+04
    0.12680E-02    0.12893E+04
    0.12936E-02    0.13132E+04
    0.13197E-02    0.13376E+04
    0.13464E-02    0.13624E+04
    0.13736E-02    0.13877E+04
    0.14013E-02    0.14133E+04
    0.14296E-02    0.14394E+04
    0.14585E-02    0.14660E+04
    0.14880E-02    0.14929E+04
    0.15180E-02    0.15203E+04
    0.15487E-02    0.15482E+04
    0.15800E-02    0.15765E+04
    0.16119E-02    0.16053E+04
    0.16445E-02    0.16346E+04
    0.16777E-02    0.16643E+04
    0.17116E-02    0.16945E+04
    0.17462E-02    0.17252E+04
    0.17814E-02    0.17564E+04
    0.18174E-02    0.17881E+04
    0.18541E-02    0.18202E+04
    0.18916E-02    0.18529E+04
    0.19298E-02    0.18860E+04
    0.19688E-02    0.19197E+04
    0.20086E-02    0.19539E+04
    0.20491E-02    0.19886E+04
    0.20905E-02    0.20238E+04
    0.21328E-02    0.20596E+04
    0.21758E-02    0.20959E+04
    0.22198E-02    0.21326E+04
    0.22646E-02    0.21700E+04
    0.23104E-02    0.22078E+04
    0.23571E-02    0.22462E+04
    0.24047E-02    0.22852E+04
    0.24533E-02    0.23247E+04
    0.25028E-02    0.23647E+04
    0.25534E-02    0.24052E+04
    0.26050E-02    0.24463E+04
    0.26576E-02    0.24880E+04
    0.27113E-02    0.25302E+04
    0.27660E-02    0.25729E+04
    0.28219E-02    0.26162E+04
    0.28789E-02    0.26600E+04
    0.29371E-02    0.27043E+04
    0.29964E-02    0.27492E+04
    0.30569E-02    0.27946E+04
    0.31187E-02    0.28406E+04
    0.31817E-02    0.28871E+04
    0.32460E-02    0.29341E+04
    0.33115E-02    0.29816E+04
    0.33784E-02    0.30296E+04
    0.34467E-02    0.30782E+04
    0.35163E-02    0.31272E+04
    0.35874E-02    0.31767E+04
    0.36598E-02    0.32268E+04
    0.37338E-02    0.32773E+04
    0.38092E-02    0.33282E+04
    0.38861E-02    0.33797E+04
    0.39646E-02    0.34315E+04
    0.40447E-02    0.34838E+04
    0.41264E-02    0.35366E+04
    0.42098E-02    0.35897E+04
    0.42948E-02    0.36433E+04
    0.43816E-02    0.36972E+04
    0.44701E-02    0.37515E+04
    0.45604E-02    0.38061E+04
    0.46525E-02    0.38611E+04
    0.47465E-02    0.39164E+04
    0.48424E-02    0.39719E+04
    0.49402E-02    0.40278E+04
    0.50400E-02    0.40839E+04
    0.51419E-02    0.41402E+04
    0.52457E-02    0.41967E+04
    0.53517E-02    0.42534E+04
    0.54598E-02    0.43103E+04
    0.55701E-02    0.43673E+04
    0.56826E-02    0.44244E+04
    0.57974E-02    0.44815E+04
    0.59145E-02    0.45387E+04
    0.60340E-02    0.45960E+04
    0.61559E-02    0.46531E+04
    0.62803E-02    0.47103E+04
    0.64072E-02    0.47673E+04
    0.65366E-02    0.48242E+04
    0.66686E-02    0.48810E+04
    0.68033E-02    0.49375E+04
    0.69408E-02    0.49938E+04
    0.70810E-02    0.50498E+04
    0.72240E-02    0.51055E+04
    0.73700E-02    0.51608E+04
    0.75189E-02    0.52158E+04
    0.76708E-02    0.52702E+04
    0.78257E-02    0.53242E+04
    0.79838E-02    0.53776E+04
    0.81451E-02    0.54304E+04
    0.83096E-02    0.54825E+04
    0.84775E-02    0.55340E+04
    0.86488E-02    0.55847E+04
    0.88235E-02    0.56346E+04
    0.90017E-02    0.56836E+04
    0.91836E-02    0.57318E+04
    0.93691E-02    0.57790E+04
    0.95583E-02    0.58251E+04
    0.97514E-02    0.58702E+04
