#           k/h    P           
    0.10000E-03    0.32849E+02
    0.10202E-03    0.33489E+02
    0.10408E-03    0.34142E+02
    0.10618E-03    0.34808E+02
    0.10833E-03    0.35487E+02
    0.11052E-03    0.36179E+02
    0.11275E-03    0.36884E+02
    0.11503E-03    0.37604E+02
    0.11735E-03    0.38337E+02
    0.11972E-03    0.39084E+02
    0.12214E-03    0.39846E+02
    0.12461E-03    0.40623E+02
    0.12712E-03    0.41415E+02
    0.12969E-03    0.42223E+02
    0.13231E-03    0.43046E+02
    0.13499E-03    0.43885E+02
    0.13771E-03    0.44741E+02
    0.14049E-03    0.45613E+02
    0.14333E-03    0.46502E+02
    0.14623E-03    0.47409E+02
    0.14918E-03    0.48333E+02
    0.15220E-03    0.49275E+02
    0.15527E-03    0.50235E+02
    0.15841E-03    0.51214E+02
    0.16161E-03    0.52213E+02
    0.16487E-03    0.53230E+02
    0.16820E-03    0.54268E+02
    0.17160E-03    0.55325E+02
    0.17507E-03    0.56403E+02
    0.17860E-03    0.57503E+02
    0.18221E-03    0.58623E+02
    0.18589E-03    0.59765E+02
    0.18965E-03    0.60930E+02
    0.19348E-03    0.62117E+02
    0.19739E-03    0.63327E+02
    0.20138E-03    0.64561E+02
    0.20544E-03    0.65818E+02
    0.20959E-03    0.67100E+02
    0.21383E-03    0.68407E+02
    0.21815E-03    0.69740E+02
    0.22255E-03    0.71098E+02
    0.22705E-03    0.72482E+02
    0.23164E-03    0.73894E+02
    0.23632E-03    0.75333E+02
    0.24109E-03    0.76799E+02
    0.24596E-03    0.78294E+02
    0.25093E-03    0.79819E+02
    0.25600E-03    0.81372E+02
    0.26117E-03    0.82956E+02
    0.26645E-03    0.84570E+02
    0.27183E-03    0.86216E+02
    0.27732E-03    0.87894E+02
    0.28292E-03    0.89604E+02
    0.28864E-03    0.91347E+02
    0.29447E-03    0.93124E+02
    0.30042E-03    0.94935E+02
    0.30649E-03    0.96781E+02
    0.31268E-03    0.98663E+02
    0.31899E-03    0.10058E+03
    0.32544E-03    0.10254E+03
    0.33201E-03    0.10453E+03
    0.33872E-03    0.10656E+03
    0.34556E-03    0.10863E+03
    0.35254E-03    0.11074E+03
    0.35966E-03    0.11289E+03
    0.36693E-03    0.11508E+03
    0.37434E-03    0.11732E+03
    0.38190E-03    0.11960E+03
    0.38962E-03    0.12192E+03
    0.39749E-03    0.12428E+03
    0.40552E-03    0.12670E+03
    0.41371E-03    0.12915E+03
    0.42207E-03    0.13166E+03
    0.43060E-03    0.13421E+03
    0.43929E-03    0.13681E+03
    0.44817E-03    0.13946E+03
    0.45722E-03    0.14216E+03
    0.46646E-03    0.14492E+03
    0.47588E-03    0.14772E+03
    0.48550E-03    0.15058E+03
    0.49530E-03    0.15350E+03
    0.50531E-03    0.15647E+03
    0.51552E-03    0.15949E+03
    0.52593E-03    0.16258E+03
    0.53656E-03    0.16572E+03
    0.54739E-03    0.16892E+03
    0.55845E-03    0.17218E+03
    0.56973E-03    0.17551E+03
    0.58124E-03    0.17889E+03
    0.59299E-03    0.18234E+03
    0.60496E-03    0.18586E+03
    0.61719E-03    0.18944E+03
    0.62965E-03    0.19309E+03
    0.64237E-03    0.19681E+03
    0.65535E-03    0.20059E+03
    0.66859E-03    0.20445E+03
    0.68210E-03    0.20838E+03
    0.69588E-03    0.21238E+03
    0.70993E-03    0.21646E+03
    0.72427E-03    0.22061E+03
    0.73891E-03    0.22485E+03
    0.75383E-03    0.22915E+03
    0.76906E-03    0.23354E+03
    0.78460E-03    0.23801E+03
    0.80045E-03    0.24256E+03
    0.81662E-03    0.24720E+03
    0.83311E-03    0.25192E+03
    0.84994E-03    0.25673E+03
    0.86711E-03    0.26162E+03
    0.88463E-03    0.26661E+03
    0.90250E-03    0.27168E+03
    0.92073E-03    0.27685E+03
    0.93933E-03    0.28211E+03
    0.95831E-03    0.28746E+03
    0.97767E-03    0.29291E+03
    0.99742E-03    0.29846E+03
    0.10176E-02    0.30411E+03
    0.10381E-02    0.30985E+03
    0.10591E-02    0.31571E+03
    0.10805E-02    0.32166E+03
    0.11023E-02    0.32772E+03
    0.11246E-02    0.33388E+03
    0.11473E-02    0.34016E+03
    0.11705E-02    0.34654E+03
    0.11941E-02    0.35304E+03
    0.12182E-02    0.35965E+03
    0.12429E-02    0.36637E+03
    0.12680E-02    0.37321E+03
    0.12936E-02    0.38016E+03
    0.13197E-02    0.38724E+03
    0.13464E-02    0.39443E+03
    0.13736E-02    0.40175E+03
    0.14013E-02    0.40919E+03
    0.14296E-02    0.41675E+03
    0.14585E-02    0.42445E+03
    0.14880E-02    0.43227E+03
    0.15180E-02    0.44022E+03
    0.15487E-02    0.44830E+03
    0.15800E-02    0.45651E+03
    0.16119E-02    0.46486E+03
    0.16445E-02    0.47334E+03
    0.16777E-02    0.48196E+03
    0.17116E-02    0.49072E+03
    0.17462E-02    0.49962E+03
    0.17814E-02    0.50866E+03
    0.18174E-02    0.51784E+03
    0.18541E-02    0.52716E+03
    0.18916E-02    0.53663E+03
    0.19298E-02    0.54625E+03
    0.19688E-02    0.55601E+03
    0.20086E-02    0.56593E+03
    0.20491E-02    0.57599E+03
    0.20905E-02    0.58620E+03
    0.21328E-02    0.59657E+03
    0.21758E-02    0.60708E+03
    0.22198E-02    0.61775E+03
    0.22646E-02    0.62858E+03
    0.23104E-02    0.63956E+03
    0.23571E-02    0.65069E+03
    0.24047E-02    0.66198E+03
    0.24533E-02    0.67343E+03
    0.25028E-02    0.68504E+03
    0.25534E-02    0.69680E+03
    0.26050E-02    0.70872E+03
    0.26576E-02    0.72080E+03
    0.27113E-02    0.73303E+03
    0.27660E-02    0.74543E+03
    0.28219E-02    0.75798E+03
    0.28789E-02    0.77069E+03
    0.29371E-02    0.78355E+03
    0.29964E-02    0.79657E+03
    0.30569E-02    0.80975E+03
    0.31187E-02    0.82308E+03
    0.31817E-02    0.83656E+03
    0.32460E-02    0.85020E+03
    0.33115E-02    0.86398E+03
    0.33784E-02    0.87792E+03
    0.34467E-02    0.89200E+03
    0.35163E-02    0.90623E+03
    0.35874E-02    0.92061E+03
    0.36598E-02    0.93512E+03
    0.37338E-02    0.94978E+03
    0.38092E-02    0.96457E+03
    0.38861E-02    0.97950E+03
    0.39646E-02    0.99456E+03
    0.40447E-02    0.10097E+04
    0.41264E-02    0.10250E+04
    0.42098E-02    0.10405E+04
    0.42948E-02    0.10560E+04
    0.43816E-02    0.10717E+04
    0.44701E-02    0.10874E+04
    0.45604E-02    0.11033E+04
    0.46525E-02    0.11193E+04
    0.47465E-02    0.11353E+04
    0.48424E-02    0.11515E+04
    0.49402E-02    0.11677E+04
    0.50400E-02    0.11840E+04
    0.51419E-02    0.12004E+04
    0.52457E-02    0.12168E+04
    0.53517E-02    0.12333E+04
    0.54598E-02    0.12498E+04
    0.55701E-02    0.12664E+04
    0.56826E-02    0.12830E+04
    0.57974E-02    0.12996E+04
    0.59145E-02    0.13162E+04
    0.60340E-02    0.13329E+04
    0.61559E-02    0.13495E+04
    0.62803E-02    0.13661E+04
    0.64072E-02    0.13827E+04
    0.65366E-02    0.13993E+04
    0.66686E-02    0.14158E+04
    0.68033E-02    0.14323E+04
    0.69408E-02    0.14487E+04
    0.70810E-02    0.14650E+04
    0.72240E-02    0.14812E+04
    0.73700E-02    0.14973E+04
    0.75189E-02    0.15133E+04
    0.76708E-02    0.15292E+04
    0.78257E-02    0.15449E+04
    0.79838E-02    0.15605E+04
    0.81451E-02    0.15759E+04
    0.83096E-02    0.15911E+04
    0.84775E-02    0.16061E+04
    0.86488E-02    0.16209E+04
    0.88235E-02    0.16355E+04
    0.90017E-02    0.16498E+04
    0.91836E-02    0.16639E+04
    0.93691E-02    0.16776E+04
    0.95583E-02    0.16911E+04
    0.97514E-02    0.17043E+04
    0.99484E-02    0.17172E+04
    0.10149E-01    0.17297E+04
    0.10354E-01    0.17418E+04
    0.10564E-01    0.17536E+04
    0.10777E-01    0.17649E+04
    0.10995E-01    0.17759E+04
    0.11217E-01    0.17864E+04
    0.11443E-01    0.17965E+04
    0.11675E-01    0.18061E+04
    0.11910E-01    0.18152E+04
    0.12151E-01    0.18238E+04
    0.12397E-01    0.18318E+04
    0.12647E-01    0.18394E+04
    0.12902E-01    0.18463E+04
    0.13163E-01    0.18527E+04
    0.13429E-01    0.18585E+04
    0.13700E-01    0.18636E+04
    0.13977E-01    0.18681E+04
    0.14259E-01    0.18720E+04
    0.14547E-01    0.18752E+04
    0.14841E-01    0.18777E+04
    0.15141E-01    0.18795E+04
    0.15447E-01    0.18805E+04
    0.15759E-01    0.18808E+04
    0.16077E-01    0.18804E+04
    0.16402E-01    0.18792E+04
    0.16734E-01    0.18772E+04
    0.17072E-01    0.18744E+04
    0.17416E-01    0.18708E+04
    0.17768E-01    0.18664E+04
    0.18127E-01    0.18610E+04
    0.18493E-01    0.18549E+04
    0.18867E-01    0.18479E+04
    0.19248E-01    0.18400E+04
    0.19637E-01    0.18314E+04
    0.20034E-01    0.18220E+04
    0.20438E-01    0.18117E+04
    0.20851E-01    0.18006E+04
    0.21272E-01    0.17886E+04
    0.21702E-01    0.17756E+04
    0.22141E-01    0.17617E+04
    0.22588E-01    0.17469E+04
    0.23044E-01    0.17311E+04
    0.23510E-01    0.17146E+04
    0.23985E-01    0.16972E+04
    0.24469E-01    0.16791E+04
    0.24964E-01    0.16602E+04
    0.25468E-01    0.16406E+04
    0.25982E-01    0.16202E+04
    0.26507E-01    0.15991E+04
    0.27043E-01    0.15774E+04
    0.27589E-01    0.15550E+04
    0.28146E-01    0.15321E+04
    0.28715E-01    0.15087E+04
    0.29295E-01    0.14848E+04
    0.29887E-01    0.14606E+04
    0.30490E-01    0.14360E+04
    0.31106E-01    0.14111E+04
    0.31735E-01    0.13860E+04
    0.32376E-01    0.13607E+04
    0.33030E-01    0.13353E+04
    0.33697E-01    0.13099E+04
    0.34378E-01    0.12845E+04
    0.35072E-01    0.12591E+04
    0.35781E-01    0.12338E+04
    0.36504E-01    0.12088E+04
    0.37241E-01    0.11840E+04
    0.37993E-01    0.11596E+04
    0.38761E-01    0.11356E+04
    0.39544E-01    0.11120E+04
    0.40343E-01    0.10890E+04
    0.41158E-01    0.10665E+04
    0.41989E-01    0.10447E+04
    0.42838E-01    0.10234E+04
    0.43703E-01    0.10027E+04
    0.44586E-01    0.98275E+03
    0.45486E-01    0.96351E+03
    0.46405E-01    0.94508E+03
    0.47343E-01    0.92751E+03
    0.48299E-01    0.91085E+03
    0.49275E-01    0.89506E+03
    0.50270E-01    0.88006E+03
    0.51286E-01    0.86578E+03
    0.52322E-01    0.85215E+03
    0.53379E-01    0.83910E+03
    0.54457E-01    0.82657E+03
    0.55557E-01    0.81448E+03
    0.56680E-01    0.80277E+03
    0.57825E-01    0.79139E+03
    0.58993E-01    0.78025E+03
    0.60184E-01    0.76930E+03
