#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105171E-04   0.125633E+08   0.125633E+08   0.167459E+08   0.167457E+08   0.125635E+08   0.125633E+08   0.125633E+08   0.125713E+08  -0.570211E+00   0.108206E+08   0.108206E+08   0.913222E+01
   0.116124E-04   0.125633E+08   0.125633E+08   0.167448E+08   0.167446E+08   0.125635E+08   0.125633E+08   0.125633E+08   0.125713E+08  -0.570211E+00   0.108206E+08   0.108206E+08   0.100830E+02
   0.128218E-04   0.125633E+08   0.125633E+08   0.167434E+08   0.167432E+08   0.125635E+08   0.125633E+08   0.125633E+08   0.125713E+08  -0.570211E+00   0.108206E+08   0.108206E+08   0.111328E+02
   0.141570E-04   0.125632E+08   0.125632E+08   0.167418E+08   0.167414E+08   0.125635E+08   0.125633E+08   0.125632E+08   0.125713E+08  -0.570210E+00   0.108206E+08   0.108206E+08   0.122918E+02
   0.156314E-04   0.125632E+08   0.125632E+08   0.167398E+08   0.167393E+08   0.125635E+08   0.125633E+08   0.125632E+08   0.125713E+08  -0.570210E+00   0.108206E+08   0.108206E+08   0.135714E+02
   0.172593E-04   0.125632E+08   0.125632E+08   0.167373E+08   0.167368E+08   0.125635E+08   0.125632E+08   0.125632E+08   0.125713E+08  -0.570210E+00   0.108206E+08   0.108206E+08   0.149840E+02
   0.190567E-04   0.125632E+08   0.125632E+08   0.167343E+08   0.167337E+08   0.125635E+08   0.125632E+08   0.125632E+08   0.125713E+08  -0.570209E+00   0.108206E+08   0.108206E+08   0.165435E+02
   0.210413E-04   0.125632E+08   0.125632E+08   0.167306E+08   0.167299E+08   0.125635E+08   0.125632E+08   0.125632E+08   0.125713E+08  -0.570209E+00   0.108206E+08   0.108206E+08   0.182650E+02
   0.232326E-04   0.125632E+08   0.125632E+08   0.167261E+08   0.167252E+08   0.125635E+08   0.125632E+08   0.125632E+08   0.125712E+08  -0.570208E+00   0.108206E+08   0.108206E+08   0.201654E+02
   0.256521E-04   0.125632E+08   0.125632E+08   0.167207E+08   0.167196E+08   0.125634E+08   0.125632E+08   0.125632E+08   0.125712E+08  -0.570207E+00   0.108206E+08   0.108206E+08   0.222631E+02
   0.283236E-04   0.125632E+08   0.125632E+08   0.167140E+08   0.167127E+08   0.125634E+08   0.125632E+08   0.125632E+08   0.125712E+08  -0.570206E+00   0.108206E+08   0.108206E+08   0.245783E+02
   0.312733E-04   0.125632E+08   0.125631E+08   0.167059E+08   0.167043E+08   0.125634E+08   0.125632E+08   0.125632E+08   0.125712E+08  -0.570205E+00   0.108206E+08   0.108206E+08   0.271336E+02
   0.345301E-04   0.125631E+08   0.125631E+08   0.166961E+08   0.166941E+08   0.125634E+08   0.125631E+08   0.125631E+08   0.125711E+08  -0.570203E+00   0.108205E+08   0.108205E+08   0.299535E+02
   0.381262E-04   0.125631E+08   0.125631E+08   0.166841E+08   0.166816E+08   0.125633E+08   0.125631E+08   0.125631E+08   0.125711E+08  -0.570201E+00   0.108205E+08   0.108205E+08   0.330651E+02
   0.420968E-04   0.125630E+08   0.125630E+08   0.166694E+08   0.166665E+08   0.125633E+08   0.125631E+08   0.125630E+08   0.125711E+08  -0.570199E+00   0.108205E+08   0.108205E+08   0.364979E+02
   0.464808E-04   0.125630E+08   0.125630E+08   0.166516E+08   0.166480E+08   0.125632E+08   0.125630E+08   0.125630E+08   0.125710E+08  -0.570196E+00   0.108204E+08   0.108204E+08   0.402846E+02
   0.513214E-04   0.125629E+08   0.125629E+08   0.166299E+08   0.166255E+08   0.125632E+08   0.125629E+08   0.125629E+08   0.125709E+08  -0.570193E+00   0.108204E+08   0.108204E+08   0.444607E+02
   0.566662E-04   0.125629E+08   0.125629E+08   0.166034E+08   0.165981E+08   0.125631E+08   0.125629E+08   0.125629E+08   0.125708E+08  -0.570189E+00   0.108203E+08   0.108203E+08   0.490651E+02
   0.625675E-04   0.125628E+08   0.125628E+08   0.165713E+08   0.165647E+08   0.125630E+08   0.125628E+08   0.125628E+08   0.125707E+08  -0.570184E+00   0.108202E+08   0.108202E+08   0.541400E+02
   0.690835E-04   0.125627E+08   0.125626E+08   0.165321E+08   0.165242E+08   0.125629E+08   0.125627E+08   0.125627E+08   0.125706E+08  -0.570177E+00   0.108201E+08   0.108201E+08   0.597315E+02
   0.762780E-04   0.125625E+08   0.125625E+08   0.164845E+08   0.164749E+08   0.125627E+08   0.125625E+08   0.125625E+08   0.125705E+08  -0.570170E+00   0.108200E+08   0.108200E+08   0.658891E+02
   0.842218E-04   0.125624E+08   0.125623E+08   0.164266E+08   0.164149E+08   0.125626E+08   0.125624E+08   0.125624E+08   0.125703E+08  -0.570161E+00   0.108199E+08   0.108199E+08   0.726664E+02
   0.929929E-04   0.125622E+08   0.125621E+08   0.163564E+08   0.163421E+08   0.125623E+08   0.125622E+08   0.125622E+08   0.125700E+08  -0.570150E+00   0.108197E+08   0.108197E+08   0.801203E+02
   0.102677E-03   0.125619E+08   0.125619E+08   0.162711E+08   0.162538E+08   0.125621E+08   0.125619E+08   0.125619E+08   0.125697E+08  -0.570136E+00   0.108195E+08   0.108195E+08   0.883115E+02
   0.113370E-03   0.125616E+08   0.125616E+08   0.161677E+08   0.161467E+08   0.125618E+08   0.125616E+08   0.125616E+08   0.125694E+08  -0.570120E+00   0.108193E+08   0.108192E+08   0.973034E+02
   0.125177E-03   0.125613E+08   0.125612E+08   0.160424E+08   0.160170E+08   0.125614E+08   0.125613E+08   0.125613E+08   0.125690E+08  -0.570099E+00   0.108190E+08   0.108189E+08   0.107162E+03
   0.138213E-03   0.125609E+08   0.125608E+08   0.158910E+08   0.158602E+08   0.125609E+08   0.125608E+08   0.125608E+08   0.125685E+08  -0.570075E+00   0.108186E+08   0.108185E+08   0.117953E+03
   0.152607E-03   0.125603E+08   0.125602E+08   0.157083E+08   0.156711E+08   0.125603E+08   0.125603E+08   0.125603E+08   0.125679E+08  -0.570045E+00   0.108181E+08   0.108181E+08   0.129742E+03
   0.168500E-03   0.125597E+08   0.125596E+08   0.154882E+08   0.154434E+08   0.125596E+08   0.125597E+08   0.125597E+08   0.125671E+08  -0.570009E+00   0.108176E+08   0.108175E+08   0.142592E+03
   0.186048E-03   0.125589E+08   0.125588E+08   0.152239E+08   0.151700E+08   0.125588E+08   0.125589E+08   0.125589E+08   0.125662E+08  -0.569965E+00   0.108169E+08   0.108168E+08   0.156556E+03
   0.205424E-03   0.125580E+08   0.125578E+08   0.149075E+08   0.148428E+08   0.125578E+08   0.125579E+08   0.125579E+08   0.125651E+08  -0.569912E+00   0.108161E+08   0.108160E+08   0.171678E+03
   0.226817E-03   0.125568E+08   0.125566E+08   0.145303E+08   0.144530E+08   0.125565E+08   0.125568E+08   0.125568E+08   0.125637E+08  -0.569848E+00   0.108151E+08   0.108149E+08   0.187982E+03
   0.250438E-03   0.125554E+08   0.125551E+08   0.140828E+08   0.139909E+08   0.125550E+08   0.125553E+08   0.125554E+08   0.125621E+08  -0.569769E+00   0.108139E+08   0.108137E+08   0.205465E+03
