#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105171E-04   0.134446E+08   0.134446E+08   0.179203E+08   0.179201E+08   0.134449E+08   0.134446E+08   0.134446E+08   0.134526E+08  -0.563281E+00   0.111876E+08   0.111876E+08   0.875292E+01
   0.116124E-04   0.134446E+08   0.134446E+08   0.179190E+08   0.179187E+08   0.134449E+08   0.134446E+08   0.134446E+08   0.134525E+08  -0.563281E+00   0.111876E+08   0.111876E+08   0.966425E+01
   0.128218E-04   0.134446E+08   0.134446E+08   0.179174E+08   0.179171E+08   0.134448E+08   0.134446E+08   0.134446E+08   0.134525E+08  -0.563281E+00   0.111876E+08   0.111876E+08   0.106704E+02
   0.141570E-04   0.134446E+08   0.134446E+08   0.179155E+08   0.179151E+08   0.134448E+08   0.134446E+08   0.134446E+08   0.134525E+08  -0.563281E+00   0.111876E+08   0.111876E+08   0.117812E+02
   0.156314E-04   0.134446E+08   0.134446E+08   0.179132E+08   0.179127E+08   0.134448E+08   0.134446E+08   0.134446E+08   0.134525E+08  -0.563280E+00   0.111876E+08   0.111876E+08   0.130076E+02
   0.172593E-04   0.134446E+08   0.134446E+08   0.179103E+08   0.179098E+08   0.134448E+08   0.134446E+08   0.134446E+08   0.134525E+08  -0.563280E+00   0.111876E+08   0.111876E+08   0.143615E+02
   0.190567E-04   0.134446E+08   0.134446E+08   0.179068E+08   0.179062E+08   0.134448E+08   0.134446E+08   0.134446E+08   0.134525E+08  -0.563280E+00   0.111876E+08   0.111876E+08   0.158562E+02
   0.210413E-04   0.134446E+08   0.134446E+08   0.179026E+08   0.179018E+08   0.134448E+08   0.134446E+08   0.134446E+08   0.134525E+08  -0.563279E+00   0.111876E+08   0.111876E+08   0.175062E+02
   0.232326E-04   0.134445E+08   0.134445E+08   0.178975E+08   0.178964E+08   0.134448E+08   0.134445E+08   0.134445E+08   0.134525E+08  -0.563278E+00   0.111876E+08   0.111876E+08   0.193275E+02
   0.256521E-04   0.134445E+08   0.134445E+08   0.178912E+08   0.178899E+08   0.134448E+08   0.134445E+08   0.134445E+08   0.134525E+08  -0.563277E+00   0.111876E+08   0.111876E+08   0.213379E+02
   0.283236E-04   0.134445E+08   0.134445E+08   0.178835E+08   0.178820E+08   0.134448E+08   0.134445E+08   0.134445E+08   0.134524E+08  -0.563276E+00   0.111876E+08   0.111876E+08   0.235568E+02
   0.312733E-04   0.134445E+08   0.134445E+08   0.178742E+08   0.178724E+08   0.134447E+08   0.134445E+08   0.134445E+08   0.134524E+08  -0.563275E+00   0.111876E+08   0.111875E+08   0.260057E+02
   0.345301E-04   0.134445E+08   0.134444E+08   0.178628E+08   0.178606E+08   0.134447E+08   0.134445E+08   0.134445E+08   0.134524E+08  -0.563274E+00   0.111875E+08   0.111875E+08   0.287082E+02
   0.381262E-04   0.134444E+08   0.134444E+08   0.178490E+08   0.178463E+08   0.134447E+08   0.134444E+08   0.134444E+08   0.134523E+08  -0.563272E+00   0.111875E+08   0.111875E+08   0.316900E+02
   0.420968E-04   0.134444E+08   0.134444E+08   0.178321E+08   0.178288E+08   0.134446E+08   0.134444E+08   0.134444E+08   0.134523E+08  -0.563269E+00   0.111875E+08   0.111875E+08   0.349796E+02
   0.464808E-04   0.134443E+08   0.134443E+08   0.178116E+08   0.178075E+08   0.134446E+08   0.134443E+08   0.134443E+08   0.134522E+08  -0.563267E+00   0.111874E+08   0.111874E+08   0.386081E+02
   0.513214E-04   0.134443E+08   0.134442E+08   0.177866E+08   0.177816E+08   0.134445E+08   0.134443E+08   0.134442E+08   0.134521E+08  -0.563263E+00   0.111874E+08   0.111874E+08   0.426096E+02
   0.566662E-04   0.134442E+08   0.134442E+08   0.177561E+08   0.177501E+08   0.134444E+08   0.134442E+08   0.134442E+08   0.134520E+08  -0.563259E+00   0.111873E+08   0.111873E+08   0.470212E+02
   0.625675E-04   0.134441E+08   0.134441E+08   0.177191E+08   0.177118E+08   0.134443E+08   0.134441E+08   0.134441E+08   0.134519E+08  -0.563254E+00   0.111872E+08   0.111872E+08   0.518832E+02
   0.690835E-04   0.134440E+08   0.134439E+08   0.176740E+08   0.176651E+08   0.134442E+08   0.134440E+08   0.134440E+08   0.134518E+08  -0.563248E+00   0.111871E+08   0.111871E+08   0.572395E+02
   0.762780E-04   0.134438E+08   0.134438E+08   0.176192E+08   0.176084E+08   0.134440E+08   0.134438E+08   0.134438E+08   0.134516E+08  -0.563240E+00   0.111870E+08   0.111870E+08   0.631375E+02
   0.842218E-04   0.134436E+08   0.134436E+08   0.175526E+08   0.175394E+08   0.134438E+08   0.134436E+08   0.134436E+08   0.134514E+08  -0.563231E+00   0.111868E+08   0.111868E+08   0.696281E+02
   0.929929E-04   0.134434E+08   0.134434E+08   0.174717E+08   0.174558E+08   0.134436E+08   0.134434E+08   0.134434E+08   0.134512E+08  -0.563220E+00   0.111867E+08   0.111866E+08   0.767655E+02
