#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10813E+04    0.34798E+01    0.12896E-02    0.34798E+01    0.51413E-01   -0.65865E-05    0.12896E-02   -0.65865E-05    0.87878E-08
     3    0.10215E+04    0.43485E+01    0.91595E-03    0.43485E+01    0.85920E-01   -0.57550E-05    0.91595E-03   -0.57550E-05    0.53390E-08
     4    0.96144E+03    0.44906E+01    0.69496E-03    0.44906E+01    0.99195E-01   -0.45574E-05    0.69496E-03   -0.45574E-05    0.36865E-08
     5    0.91415E+03    0.41942E+01    0.54978E-03    0.41942E+01    0.90728E-01   -0.33505E-05    0.54978E-03   -0.33505E-05    0.27362E-08
     6    0.87950E+03    0.36847E+01    0.44788E-03    0.36847E+01    0.69399E-01   -0.22624E-05    0.44788E-03   -0.22624E-05    0.21275E-08
     7    0.85550E+03    0.31061E+01    0.37315E-03    0.31061E+01    0.45790E-01   -0.13544E-05    0.37315E-03   -0.13544E-05    0.17094E-08
     8    0.83956E+03    0.25476E+01    0.31608E-03    0.25476E+01    0.27108E-01   -0.65416E-06    0.31608E-03   -0.65416E-06    0.14075E-08
     9    0.82989E+03    0.20569E+01    0.27100E-03    0.20569E+01    0.15753E-01   -0.16320E-06    0.27100E-03   -0.16320E-06    0.11813E-08
    10    0.82511E+03    0.16619E+01    0.23472E-03    0.16619E+01    0.10540E-01    0.14212E-06    0.23472E-03    0.14212E-06    0.10067E-08
    11    0.82386E+03    0.13744E+01    0.20543E-03    0.13744E+01    0.88254E-02    0.29940E-06    0.20543E-03    0.29940E-06    0.86877E-09
    12    0.82635E+03    0.11968E+01    0.18158E-03    0.11968E+01    0.83057E-02    0.34401E-06    0.18158E-03    0.34401E-06    0.75746E-09
    13    0.83077E+03    0.11103E+01    0.16194E-03    0.11103E+01    0.76947E-02    0.30660E-06    0.16194E-03    0.30660E-06    0.66646E-09
    14    0.83619E+03    0.10908E+01    0.14543E-03    0.10908E+01    0.68414E-02    0.21765E-06    0.14543E-03    0.21765E-06    0.59080E-09
    15    0.84297E+03    0.11199E+01    0.13132E-03    0.11199E+01    0.60379E-02    0.11079E-06    0.13132E-03    0.11079E-06    0.52728E-09
    16    0.85158E+03    0.11816E+01    0.11903E-03    0.11816E+01    0.55861E-02    0.15538E-07    0.11903E-03    0.15538E-07    0.47331E-09
    17    0.86189E+03    0.12586E+01    0.10834E-03    0.12586E+01    0.56033E-02   -0.57956E-07    0.10834E-03   -0.57956E-07    0.42713E-09
    18    0.87293E+03    0.13369E+01    0.99066E-04    0.13369E+01    0.59385E-02   -0.10608E-06    0.99066E-04   -0.10608E-06    0.38724E-09
    19    0.88552E+03    0.14085E+01    0.90956E-04    0.14085E+01    0.64017E-02   -0.13190E-06    0.90956E-04   -0.13190E-06    0.35256E-09
    20    0.89800E+03    0.14663E+01    0.83760E-04    0.14663E+01    0.68845E-02   -0.13933E-06    0.83760E-04   -0.13933E-06    0.32216E-09
    21    0.91072E+03    0.15142E+01    0.77331E-04    0.15142E+01    0.73756E-02   -0.12909E-06    0.77331E-04   -0.12909E-06    0.29540E-09
    22    0.92398E+03    0.15566E+01    0.71559E-04    0.15566E+01    0.79767E-02   -0.10305E-06    0.71559E-04   -0.10305E-06    0.27172E-09
    23    0.93759E+03    0.15951E+01    0.66376E-04    0.15951E+01    0.87842E-02   -0.70683E-07    0.66376E-04   -0.70683E-07    0.25068E-09
    24    0.95161E+03    0.16309E+01    0.61724E-04    0.16309E+01    0.98469E-02   -0.42043E-07    0.61724E-04   -0.42043E-07    0.23186E-09
    25    0.96597E+03    0.16673E+01    0.57536E-04    0.16673E+01    0.11199E-01   -0.21744E-07    0.57536E-04   -0.21744E-07    0.21499E-09
    26    0.98050E+03    0.17083E+01    0.53751E-04    0.17083E+01    0.12822E-01   -0.11690E-07    0.53751E-04   -0.11690E-07    0.19981E-09
    27    0.99543E+03    0.17521E+01    0.50313E-04    0.17521E+01    0.14664E-01   -0.83602E-08    0.50313E-04   -0.83602E-08    0.18609E-09
    28    0.10106E+04    0.17971E+01    0.47179E-04    0.17971E+01    0.16700E-01   -0.78380E-08    0.47179E-04   -0.78380E-08    0.17367E-09
    29    0.10261E+04    0.18420E+01    0.44327E-04    0.18420E+01    0.18934E-01   -0.10046E-07    0.44327E-04   -0.10046E-07    0.16236E-09
    30    0.10418E+04    0.18842E+01    0.41737E-04    0.18842E+01    0.21380E-01   -0.15593E-07    0.41737E-04   -0.15593E-07    0.15205E-09
    31    0.10576E+04    0.19206E+01    0.39370E-04    0.19206E+01    0.24024E-01   -0.23987E-07    0.39370E-04   -0.23987E-07    0.14262E-09
    32    0.10737E+04    0.19481E+01    0.37187E-04    0.19481E+01    0.26842E-01   -0.33935E-07    0.37187E-04   -0.33935E-07    0.13399E-09
    33    0.10902E+04    0.19637E+01    0.35163E-04    0.19637E+01    0.29841E-01   -0.42032E-07    0.35163E-04   -0.42032E-07    0.12606E-09
    34    0.11069E+04    0.19667E+01    0.33279E-04    0.19667E+01    0.33040E-01   -0.45097E-07    0.33279E-04   -0.45097E-07    0.11877E-09
    35    0.11238E+04    0.19597E+01    0.31525E-04    0.19597E+01    0.36447E-01   -0.42964E-07    0.31525E-04   -0.42964E-07    0.11204E-09
    36    0.11407E+04    0.19441E+01    0.29896E-04    0.19441E+01    0.40068E-01   -0.36730E-07    0.29896E-04   -0.36730E-07    0.10582E-09
    37    0.11577E+04    0.19157E+01    0.28391E-04    0.19157E+01    0.43913E-01   -0.29510E-07    0.28391E-04   -0.29510E-07    0.10007E-09
    38    0.11752E+04    0.18723E+01    0.27008E-04    0.18723E+01    0.47997E-01   -0.24131E-07    0.27008E-04   -0.24131E-07    0.94734E-10
    39    0.11930E+04    0.18169E+01    0.25731E-04    0.18169E+01    0.52333E-01   -0.20245E-07    0.25731E-04   -0.20245E-07    0.89779E-10
    40    0.12110E+04    0.17534E+01    0.24540E-04    0.17534E+01    0.56937E-01   -0.16712E-07    0.24540E-04   -0.16712E-07    0.85169E-10
    41    0.12292E+04    0.16846E+01    0.23418E-04    0.16846E+01    0.61829E-01   -0.12689E-07    0.23418E-04   -0.12689E-07    0.80871E-10
    42    0.12474E+04    0.16086E+01    0.22361E-04    0.16086E+01    0.67012E-01   -0.85282E-08    0.22361E-04   -0.85282E-08    0.76859E-10
    43    0.12657E+04    0.15226E+01    0.21365E-04    0.15226E+01    0.72485E-01   -0.48819E-08    0.21365E-04   -0.48819E-08    0.73113E-10
    44    0.12841E+04    0.14246E+01    0.20431E-04    0.14246E+01    0.78233E-01   -0.24010E-08    0.20431E-04   -0.24010E-08    0.69611E-10
    45    0.13028E+04    0.13126E+01    0.19555E-04    0.13126E+01    0.84252E-01   -0.17368E-08    0.19555E-04   -0.17368E-08    0.66331E-10
    46    0.13217E+04    0.11834E+01    0.18735E-04    0.11834E+01    0.90538E-01   -0.32893E-08    0.18735E-04   -0.32893E-08    0.63252E-10
    47    0.13409E+04    0.10386E+01    0.17967E-04    0.10386E+01    0.97092E-01   -0.64540E-08    0.17967E-04   -0.64540E-08    0.60360E-10
    48    0.13601E+04    0.88376E+00    0.17244E-04    0.88376E+00    0.10392E+00   -0.10375E-07    0.17244E-04   -0.10375E-07    0.57643E-10
    49    0.13794E+04    0.72362E+00    0.16559E-04    0.72362E+00    0.11100E+00   -0.14196E-07    0.16559E-04   -0.14196E-07    0.55088E-10
    50    0.13992E+04    0.55628E+00    0.15907E-04    0.55628E+00    0.11831E+00   -0.17061E-07    0.15907E-04   -0.17061E-07    0.52682E-10
    51    0.14192E+04    0.37802E+00    0.15284E-04    0.37802E+00    0.12582E+00   -0.18335E-07    0.15284E-04   -0.18335E-07    0.50413E-10
    52    0.14395E+04    0.18361E+00    0.14689E-04    0.18361E+00    0.13362E+00   -0.18262E-07    0.14689E-04   -0.18262E-07    0.48271E-10
    53    0.14599E+04   -0.30709E-01    0.14124E-04   -0.30709E-01    0.14186E+00   -0.17308E-07    0.14124E-04   -0.17308E-07    0.46249E-10
    54    0.14803E+04   -0.26074E+00    0.13590E-04   -0.26074E+00    0.15053E+00   -0.15939E-07    0.13590E-04   -0.15939E-07    0.44339E-10
    55    0.15008E+04   -0.50214E+00    0.13090E-04   -0.50214E+00    0.15961E+00   -0.14619E-07    0.13090E-04   -0.14619E-07    0.42531E-10
    56    0.15216E+04   -0.75667E+00    0.12624E-04   -0.75667E+00    0.16895E+00   -0.13706E-07    0.12624E-04   -0.13706E-07    0.40819E-10
    57    0.15428E+04   -0.10240E+01    0.12188E-04   -0.10240E+01    0.17845E+00   -0.13128E-07    0.12188E-04   -0.13128E-07    0.39196E-10
    58    0.15642E+04   -0.13045E+01    0.11778E-04   -0.13045E+01    0.18812E+00   -0.12706E-07    0.11778E-04   -0.12706E-07    0.37657E-10
    59    0.15859E+04   -0.15986E+01    0.11390E-04   -0.15986E+01    0.19799E+00   -0.12259E-07    0.11390E-04   -0.12259E-07    0.36197E-10
    60    0.16077E+04   -0.19053E+01    0.11020E-04   -0.19053E+01    0.20812E+00   -0.11609E-07    0.11020E-04   -0.11609E-07    0.34810E-10
    61    0.16300E+04   -0.22235E+01    0.10663E-04   -0.22235E+01    0.21860E+00   -0.10636E-07    0.10663E-04   -0.10636E-07    0.33491E-10
    62    0.16521E+04   -0.25544E+01    0.10319E-04   -0.25544E+01    0.22942E+00   -0.94684E-08    0.10319E-04   -0.94684E-08    0.32237E-10
    63    0.16744E+04   -0.28994E+01    0.99868E-05   -0.28994E+01    0.24054E+00   -0.82961E-08    0.99868E-05   -0.82961E-08    0.31043E-10
    64    0.16971E+04   -0.32600E+01    0.96669E-05   -0.32600E+01    0.25195E+00   -0.73083E-08    0.96669E-05   -0.73083E-08    0.29907E-10
    65    0.17199E+04   -0.36374E+01    0.93586E-05   -0.36374E+01    0.26365E+00   -0.66945E-08    0.93586E-05   -0.66945E-08    0.28825E-10
    66    0.17430E+04   -0.40298E+01    0.90617E-05   -0.40298E+01    0.27554E+00   -0.65939E-08    0.90617E-05   -0.65939E-08    0.27792E-10
    67    0.17663E+04   -0.44343E+01    0.87767E-05   -0.44343E+01    0.28765E+00   -0.69450E-08    0.87767E-05   -0.69450E-08    0.26808E-10
    68    0.17900E+04   -0.48489E+01    0.85039E-05   -0.48489E+01    0.30001E+00   -0.76363E-08    0.85039E-05   -0.76363E-08    0.25869E-10
    69    0.18139E+04   -0.52716E+01    0.82441E-05   -0.52716E+01    0.31258E+00   -0.85562E-08    0.82441E-05   -0.85562E-08    0.24972E-10
    70    0.18381E+04   -0.57036E+01    0.79978E-05   -0.57036E+01    0.32540E+00   -0.95931E-08    0.79978E-05   -0.95931E-08    0.24116E-10
    71    0.18625E+04   -0.61472E+01    0.77650E-05   -0.61472E+01    0.33847E+00   -0.10633E-07    0.77650E-05   -0.10633E-07    0.23297E-10
    72    0.18871E+04   -0.66037E+01    0.75449E-05   -0.66037E+01    0.35176E+00   -0.11549E-07    0.75449E-05   -0.11549E-07    0.22514E-10
    73    0.19119E+04   -0.70738E+01    0.73358E-05   -0.70738E+01    0.36523E+00   -0.12216E-07    0.73358E-05   -0.12216E-07    0.21765E-10
    74    0.19369E+04   -0.75568E+01    0.71363E-05   -0.75568E+01    0.37887E+00   -0.12504E-07    0.71363E-05   -0.12504E-07    0.21048E-10
    75    0.19622E+04   -0.80513E+01    0.69450E-05   -0.80513E+01    0.39269E+00   -0.12286E-07    0.69450E-05   -0.12286E-07    0.20361E-10
    76    0.19878E+04   -0.85568E+01    0.67606E-05   -0.85568E+01    0.40668E+00   -0.11494E-07    0.67606E-05   -0.11494E-07    0.19702E-10
    77    0.20137E+04   -0.90731E+01    0.65825E-05   -0.90731E+01    0.42085E+00   -0.10303E-07    0.65825E-05   -0.10303E-07    0.19071E-10
    78    0.20400E+04   -0.96017E+01    0.64101E-05   -0.96017E+01    0.43521E+00   -0.89454E-08    0.64101E-05   -0.89454E-08    0.18465E-10
    79    0.20665E+04   -0.10139E+02    0.62430E-05   -0.10139E+02    0.44970E+00   -0.76569E-08    0.62430E-05   -0.76569E-08    0.17884E-10
    80    0.20933E+04   -0.10686E+02    0.60807E-05   -0.10686E+02    0.46433E+00   -0.66713E-08    0.60807E-05   -0.66713E-08    0.17327E-10
    81    0.21203E+04   -0.11243E+02    0.59229E-05   -0.11243E+02    0.47906E+00   -0.61691E-08    0.59229E-05   -0.61691E-08    0.16791E-10
    82    0.21476E+04   -0.11810E+02    0.57697E-05   -0.11810E+02    0.49389E+00   -0.61156E-08    0.57697E-05   -0.61156E-08    0.16276E-10
    83    0.21751E+04   -0.12386E+02    0.56214E-05   -0.12386E+02    0.50880E+00   -0.64224E-08    0.56214E-05   -0.64224E-08    0.15782E-10
    84    0.22028E+04   -0.12968E+02    0.54782E-05   -0.12968E+02    0.52380E+00   -0.70008E-08    0.54782E-05   -0.70008E-08    0.15307E-10
    85    0.22307E+04   -0.13559E+02    0.53405E-05   -0.13559E+02    0.53885E+00   -0.77624E-08    0.53405E-05   -0.77624E-08    0.14850E-10
    86    0.22588E+04   -0.14156E+02    0.52082E-05   -0.14156E+02    0.55397E+00   -0.86242E-08    0.52082E-05   -0.86242E-08    0.14411E-10
    87    0.22874E+04   -0.14759E+02    0.50812E-05   -0.14759E+02    0.56913E+00   -0.95262E-08    0.50812E-05   -0.95262E-08    0.13988E-10
    88    0.23159E+04   -0.15368E+02    0.49591E-05   -0.15368E+02    0.58435E+00   -0.10414E-07    0.49591E-05   -0.10414E-07    0.13581E-10
    89    0.23448E+04   -0.15985E+02    0.48415E-05   -0.15985E+02    0.59959E+00   -0.11233E-07    0.48415E-05   -0.11233E-07    0.13189E-10
    90    0.23740E+04   -0.16607E+02    0.47279E-05   -0.16607E+02    0.61484E+00   -0.11928E-07    0.47279E-05   -0.11928E-07    0.12811E-10
    91    0.24032E+04   -0.17234E+02    0.46181E-05   -0.17234E+02    0.63008E+00   -0.12457E-07    0.46181E-05   -0.12457E-07    0.12446E-10
    92    0.24328E+04   -0.17866E+02    0.45118E-05   -0.17866E+02    0.64529E+00   -0.12820E-07    0.45118E-05   -0.12820E-07    0.12094E-10
    93    0.24627E+04   -0.18503E+02    0.44090E-05   -0.18503E+02    0.66047E+00   -0.13032E-07    0.44090E-05   -0.13032E-07    0.11754E-10
    94    0.24927E+04   -0.19143E+02    0.43096E-05   -0.19143E+02    0.67558E+00   -0.13104E-07    0.43096E-05   -0.13104E-07    0.11426E-10
    95    0.25229E+04   -0.19788E+02    0.42135E-05   -0.19788E+02    0.69062E+00   -0.13049E-07    0.42135E-05   -0.13049E-07    0.11109E-10
    96    0.25532E+04   -0.20436E+02    0.41204E-05   -0.20436E+02    0.70558E+00   -0.12881E-07    0.41204E-05   -0.12881E-07    0.10804E-10
    97    0.25839E+04   -0.21086E+02    0.40304E-05   -0.21086E+02    0.72044E+00   -0.12612E-07    0.40304E-05   -0.12612E-07    0.10510E-10
    98    0.26148E+04   -0.21737E+02    0.39433E-05   -0.21737E+02    0.73519E+00   -0.12255E-07    0.39433E-05   -0.12255E-07    0.10226E-10
    99    0.26459E+04   -0.22392E+02    0.38590E-05   -0.22392E+02    0.74980E+00   -0.11823E-07    0.38590E-05   -0.11823E-07    0.99518E-11
   100    0.26772E+04   -0.23046E+02    0.37774E-05   -0.23046E+02    0.76427E+00   -0.11329E-07    0.37774E-05   -0.11329E-07    0.96875E-11
   101    0.27087E+04   -0.23701E+02    0.36984E-05   -0.23701E+02    0.77865E+00   -0.10785E-07    0.36984E-05   -0.10785E-07    0.94325E-11
   102    0.27407E+04   -0.24357E+02    0.36218E-05   -0.24357E+02    0.79280E+00   -0.10205E-07    0.36218E-05   -0.10205E-07    0.91864E-11
   103    0.27726E+04   -0.25012E+02    0.35476E-05   -0.25012E+02    0.80680E+00   -0.96006E-08    0.35476E-05   -0.96006E-08    0.89488E-11
   104    0.28048E+04   -0.25666E+02    0.34757E-05   -0.25666E+02    0.82063E+00   -0.89856E-08    0.34757E-05   -0.89856E-08    0.87194E-11
   105    0.28371E+04   -0.26318E+02    0.34059E-05   -0.26318E+02    0.83423E+00   -0.83726E-08    0.34059E-05   -0.83726E-08    0.84977E-11
   106    0.28696E+04   -0.26969E+02    0.33381E-05   -0.26969E+02    0.84768E+00   -0.77743E-08    0.33381E-05   -0.77743E-08    0.82835E-11
   107    0.29021E+04   -0.27616E+02    0.32722E-05   -0.27616E+02    0.86082E+00   -0.72036E-08    0.32722E-05   -0.72036E-08    0.80762E-11
   108    0.29350E+04   -0.28262E+02    0.32081E-05   -0.28262E+02    0.87373E+00   -0.66735E-08    0.32081E-05   -0.66735E-08    0.78755E-11
   109    0.29680E+04   -0.28903E+02    0.31457E-05   -0.28903E+02    0.88633E+00   -0.61966E-08    0.31457E-05   -0.61966E-08    0.76812E-11
   110    0.30011E+04   -0.29539E+02    0.30849E-05   -0.29539E+02    0.89862E+00   -0.57860E-08    0.30849E-05   -0.57860E-08    0.74926E-11
   111    0.30344E+04   -0.30171E+02    0.30256E-05   -0.30171E+02    0.91068E+00   -0.54513E-08    0.30256E-05   -0.54513E-08    0.73096E-11
   112    0.30678E+04   -0.30798E+02    0.29677E-05   -0.30798E+02    0.92244E+00   -0.51900E-08    0.29677E-05   -0.51900E-08    0.71320E-11
   113    0.31015E+04   -0.31419E+02    0.29112E-05   -0.31419E+02    0.93389E+00   -0.49966E-08    0.29112E-05   -0.49966E-08    0.69595E-11
   114    0.31353E+04   -0.32033E+02    0.28561E-05   -0.32033E+02    0.94496E+00   -0.48655E-08    0.28561E-05   -0.48655E-08    0.67922E-11
   115    0.31692E+04   -0.32640E+02    0.28024E-05   -0.32640E+02    0.95580E+00   -0.47911E-08    0.28024E-05   -0.47911E-08    0.66298E-11
   116    0.32032E+04   -0.33240E+02    0.27499E-05   -0.33240E+02    0.96618E+00   -0.47679E-08    0.27499E-05   -0.47679E-08    0.64722E-11
   117    0.32375E+04   -0.33831E+02    0.26988E-05   -0.33831E+02    0.97618E+00   -0.47902E-08    0.26988E-05   -0.47902E-08    0.63192E-11
