#           k/h    P           
    0.10000E-03    0.80593E+00
    0.10202E-03    0.82165E+00
    0.10408E-03    0.83767E+00
    0.10618E-03    0.85401E+00
    0.10833E-03    0.87067E+00
    0.11052E-03    0.88765E+00
    0.11275E-03    0.90496E+00
    0.11503E-03    0.92261E+00
    0.11735E-03    0.94060E+00
    0.11972E-03    0.95895E+00
    0.12214E-03    0.97765E+00
    0.12461E-03    0.99672E+00
    0.12712E-03    0.10162E+01
    0.12969E-03    0.10360E+01
    0.13231E-03    0.10562E+01
    0.13499E-03    0.10768E+01
    0.13771E-03    0.10978E+01
    0.14049E-03    0.11192E+01
    0.14333E-03    0.11410E+01
    0.14623E-03    0.11633E+01
    0.14918E-03    0.11859E+01
    0.15220E-03    0.12091E+01
    0.15527E-03    0.12326E+01
    0.15841E-03    0.12567E+01
    0.16161E-03    0.12812E+01
    0.16487E-03    0.13062E+01
    0.16820E-03    0.13316E+01
    0.17160E-03    0.13576E+01
    0.17507E-03    0.13841E+01
    0.17860E-03    0.14110E+01
    0.18221E-03    0.14385E+01
    0.18589E-03    0.14666E+01
    0.18965E-03    0.14952E+01
    0.19348E-03    0.15243E+01
    0.19739E-03    0.15540E+01
    0.20138E-03    0.15843E+01
    0.20544E-03    0.16152E+01
    0.20959E-03    0.16467E+01
    0.21383E-03    0.16788E+01
    0.21815E-03    0.17115E+01
    0.22255E-03    0.17449E+01
    0.22705E-03    0.17789E+01
    0.23164E-03    0.18136E+01
    0.23632E-03    0.18489E+01
    0.24109E-03    0.18849E+01
    0.24596E-03    0.19217E+01
    0.25093E-03    0.19591E+01
    0.25600E-03    0.19973E+01
    0.26117E-03    0.20362E+01
    0.26645E-03    0.20759E+01
    0.27183E-03    0.21163E+01
    0.27732E-03    0.21575E+01
    0.28292E-03    0.21996E+01
    0.28864E-03    0.22424E+01
    0.29447E-03    0.22861E+01
    0.30042E-03    0.23306E+01
    0.30649E-03    0.23760E+01
    0.31268E-03    0.24223E+01
    0.31899E-03    0.24694E+01
    0.32544E-03    0.25175E+01
    0.33201E-03    0.25665E+01
    0.33872E-03    0.26165E+01
    0.34556E-03    0.26674E+01
    0.35254E-03    0.27193E+01
    0.35966E-03    0.27723E+01
    0.36693E-03    0.28262E+01
    0.37434E-03    0.28812E+01
    0.38190E-03    0.29373E+01
    0.38962E-03    0.29944E+01
    0.39749E-03    0.30527E+01
    0.40552E-03    0.31120E+01
    0.41371E-03    0.31726E+01
    0.42207E-03    0.32343E+01
    0.43060E-03    0.32971E+01
    0.43929E-03    0.33612E+01
    0.44817E-03    0.34266E+01
    0.45722E-03    0.34932E+01
    0.46646E-03    0.35610E+01
    0.47588E-03    0.36302E+01
    0.48550E-03    0.37007E+01
    0.49530E-03    0.37726E+01
    0.50531E-03    0.38459E+01
    0.51552E-03    0.39205E+01
    0.52593E-03    0.39966E+01
    0.53656E-03    0.40742E+01
    0.54739E-03    0.41533E+01
    0.55845E-03    0.42338E+01
    0.56973E-03    0.43159E+01
    0.58124E-03    0.43996E+01
    0.59299E-03    0.44849E+01
    0.60496E-03    0.45718E+01
