#    L    TT             EE             BB             TE          
     2    0.10813E+04    0.51414E-01    0.15162E-05    0.34798E+01
     3    0.10215E+04    0.85923E-01    0.30329E-05    0.43485E+01
     4    0.96145E+03    0.99200E-01    0.50560E-05    0.44906E+01
     5    0.91417E+03    0.90735E-01    0.75862E-05    0.41942E+01
     6    0.87952E+03    0.69410E-01    0.10624E-04    0.36847E+01
     7    0.85552E+03    0.45804E-01    0.14171E-04    0.31061E+01
     8    0.83960E+03    0.27126E-01    0.18228E-04    0.25475E+01
     9    0.82993E+03    0.15775E-01    0.22796E-04    0.20569E+01
    10    0.82517E+03    0.10568E-01    0.27877E-04    0.16619E+01
    11    0.82393E+03    0.88589E-02    0.33472E-04    0.13743E+01
    12    0.82643E+03    0.83453E-02    0.39583E-04    0.11967E+01
    13    0.83086E+03    0.77410E-02    0.46212E-04    0.11103E+01
    14    0.83630E+03    0.68947E-02    0.53359E-04    0.10908E+01
    15    0.84309E+03    0.60989E-02    0.61028E-04    0.11199E+01
    16    0.85171E+03    0.56553E-02    0.69220E-04    0.11815E+01
    17    0.86204E+03    0.56812E-02    0.77936E-04    0.12585E+01
    18    0.87310E+03    0.60256E-02    0.87180E-04    0.13368E+01
    19    0.88571E+03    0.64986E-02    0.96952E-04    0.14084E+01
    20    0.89820E+03    0.69917E-02    0.10725E-03    0.14662E+01
    21    0.91094E+03    0.74936E-02    0.11809E-03    0.15140E+01
    22    0.92422E+03    0.81060E-02    0.12946E-03    0.15564E+01
    23    0.93785E+03    0.89254E-02    0.14137E-03    0.15949E+01
    24    0.95189E+03    0.10000E-01    0.15381E-03    0.16306E+01
    25    0.96627E+03    0.11366E-01    0.16679E-03    0.16670E+01
    26    0.98083E+03    0.13002E-01    0.18032E-03    0.17079E+01
    27    0.99577E+03    0.14858E-01    0.19438E-03    0.17517E+01
    28    0.10110E+04    0.16909E-01    0.20899E-03    0.17966E+01
    29    0.10265E+04    0.19158E-01    0.22415E-03    0.18415E+01
    30    0.10422E+04    0.21619E-01    0.23985E-03    0.18836E+01
    31    0.10580E+04    0.24280E-01    0.25610E-03    0.19200E+01
    32    0.10742E+04    0.27114E-01    0.27290E-03    0.19474E+01
    33    0.10907E+04    0.30130E-01    0.29024E-03    0.19630E+01
    34    0.11074E+04    0.33347E-01    0.30814E-03    0.19658E+01
    35    0.11243E+04    0.36771E-01    0.32658E-03    0.19588E+01
    36    0.11413E+04    0.40411E-01    0.34557E-03    0.19431E+01
    37    0.11583E+04    0.44276E-01    0.36512E-03    0.19146E+01
    38    0.11758E+04    0.48379E-01    0.38521E-03    0.18711E+01
    39    0.11937E+04    0.52735E-01    0.40585E-03    0.18156E+01
    40    0.12117E+04    0.57360E-01    0.42704E-03    0.17520E+01
    41    0.12299E+04    0.62273E-01    0.44878E-03    0.16831E+01
    42    0.12481E+04    0.67477E-01    0.47106E-03    0.16070E+01
    43    0.12665E+04    0.72973E-01    0.49389E-03    0.15209E+01
    44    0.12848E+04    0.78743E-01    0.51727E-03    0.14227E+01
    45    0.13036E+04    0.84785E-01    0.54120E-03    0.13106E+01
    46    0.13226E+04    0.91095E-01    0.56566E-03    0.11813E+01
    47    0.13417E+04    0.97672E-01    0.59068E-03    0.10365E+01
    48    0.13610E+04    0.10452E+00    0.61623E-03    0.88147E+00
    49    0.13804E+04    0.11163E+00    0.64232E-03    0.72122E+00
    50    0.14002E+04    0.11896E+00    0.66896E-03    0.55376E+00
    51    0.14202E+04    0.12650E+00    0.69613E-03    0.37539E+00
    52    0.14406E+04    0.13433E+00    0.72384E-03    0.18087E+00
    53    0.14610E+04    0.14259E+00    0.75208E-03   -0.33555E-01
    54    0.14813E+04    0.15129E+00    0.78086E-03   -0.26368E+00
    55    0.15019E+04    0.16039E+00    0.81018E-03   -0.50519E+00
    56    0.15227E+04    0.16976E+00    0.84002E-03   -0.75981E+00
    57    0.15439E+04    0.17929E+00    0.87040E-03   -0.10272E+01
    58    0.15654E+04    0.18898E+00    0.90131E-03   -0.13078E+01
    59    0.15871E+04    0.19888E+00    0.93275E-03   -0.16020E+01
    60    0.16089E+04    0.20904E+00    0.96472E-03   -0.19087E+01
    61    0.16312E+04    0.21955E+00    0.99722E-03   -0.22270E+01
    62    0.16535E+04    0.23040E+00    0.10302E-02   -0.25579E+01
    63    0.16758E+04    0.24154E+00    0.10638E-02   -0.29029E+01
    64    0.16985E+04    0.25299E+00    0.10979E-02   -0.32636E+01
    65    0.17213E+04    0.26471E+00    0.11325E-02   -0.36409E+01
    66    0.17444E+04    0.27664E+00    0.11676E-02   -0.40333E+01
    67    0.17677E+04    0.28877E+00    0.12033E-02   -0.44378E+01
    68    0.17915E+04    0.30116E+00    0.12395E-02   -0.48524E+01
    69    0.18155E+04    0.31376E+00    0.12762E-02   -0.52750E+01
    70    0.18397E+04    0.32661E+00    0.13135E-02   -0.57069E+01
    71    0.18642E+04    0.33971E+00    0.13513E-02   -0.61504E+01
    72    0.18888E+04    0.35303E+00    0.13896E-02   -0.66068E+01
    73    0.19136E+04    0.36653E+00    0.14285E-02   -0.70767E+01
    74    0.19386E+04    0.38020E+00    0.14679E-02   -0.75596E+01
    75    0.19639E+04    0.39404E+00    0.15078E-02   -0.80539E+01
    76    0.19895E+04    0.40807E+00    0.15483E-02   -0.85591E+01
    77    0.20155E+04    0.42226E+00    0.15893E-02   -0.90752E+01
    78    0.20418E+04    0.43665E+00    0.16309E-02   -0.96034E+01
    79    0.20684E+04    0.45117E+00    0.16730E-02   -0.10140E+02
    80    0.20952E+04    0.46584E+00    0.17157E-02   -0.10687E+02
    81    0.21223E+04    0.48059E+00    0.17589E-02   -0.11244E+02
    82    0.21496E+04    0.49545E+00    0.18027E-02   -0.11810E+02
    83    0.21771E+04    0.51039E+00    0.18470E-02   -0.12385E+02
    84    0.22048E+04    0.52542E+00    0.18919E-02   -0.12968E+02
    85    0.22327E+04    0.54050E+00    0.19374E-02   -0.13557E+02
    86    0.22609E+04    0.55565E+00    0.19834E-02   -0.14154E+02
    87    0.22895E+04    0.57084E+00    0.20300E-02   -0.14757E+02
    88    0.23180E+04    0.58608E+00    0.20772E-02   -0.15365E+02
    89    0.23470E+04    0.60136E+00    0.21250E-02   -0.15981E+02
    90    0.23761E+04    0.61664E+00    0.21733E-02   -0.16602E+02
    91    0.24054E+04    0.63190E+00    0.22222E-02   -0.17229E+02
    92    0.24350E+04    0.64714E+00    0.22717E-02   -0.17860E+02
    93    0.24649E+04    0.66235E+00    0.23218E-02   -0.18496E+02
    94    0.24949E+04    0.67749E+00    0.23725E-02   -0.19136E+02
    95    0.25252E+04    0.69256E+00    0.24238E-02   -0.19779E+02
    96    0.25555E+04    0.70755E+00    0.24757E-02   -0.20426E+02
    97    0.25862E+04    0.72244E+00    0.25282E-02   -0.21076E+02
    98    0.26171E+04    0.73722E+00    0.25813E-02   -0.21726E+02
    99    0.26482E+04    0.75186E+00    0.26350E-02   -0.22379E+02
   100    0.26795E+04    0.76636E+00    0.26894E-02   -0.23032E+02
   101    0.27110E+04    0.78077E+00    0.27443E-02   -0.23686E+02
   102    0.27430E+04    0.79496E+00    0.27999E-02   -0.24340E+02
   103    0.27750E+04    0.80898E+00    0.28561E-02   -0.24995E+02
   104    0.28071E+04    0.82285E+00    0.29130E-02   -0.25647E+02
   105    0.28395E+04    0.83648E+00    0.29704E-02   -0.26298E+02
   106    0.28720E+04    0.84996E+00    0.30285E-02   -0.26947E+02
   107    0.29045E+04    0.86313E+00    0.30873E-02   -0.27593E+02
   108    0.29374E+04    0.87607E+00    0.31467E-02   -0.28236E+02
   109    0.29704E+04    0.88870E+00    0.32067E-02   -0.28876E+02
   110    0.30035E+04    0.90103E+00    0.32674E-02   -0.29510E+02
   111    0.30368E+04    0.91313E+00    0.33288E-02   -0.30140E+02
   112    0.30702E+04    0.92492E+00    0.33908E-02   -0.30766E+02
   113    0.31039E+04    0.93641E+00    0.34535E-02   -0.31385E+02
   114    0.31376E+04    0.94752E+00    0.35169E-02   -0.31997E+02
   115    0.31716E+04    0.95839E+00    0.35809E-02   -0.32603E+02
   116    0.32055E+04    0.96881E+00    0.36456E-02   -0.33200E+02
   117    0.32398E+04    0.97886E+00    0.37110E-02   -0.33789E+02
   118    0.32742E+04    0.98867E+00    0.37771E-02   -0.34370E+02
   119    0.33087E+04    0.99810E+00    0.38438E-02   -0.34940E+02
   120    0.33433E+04    0.10070E+01    0.39113E-02   -0.35501E+02
   121    0.33778E+04    0.10157E+01    0.39794E-02   -0.36051E+02
   122    0.34125E+04    0.10238E+01    0.40483E-02   -0.36591E+02
   123    0.34472E+04    0.10315E+01    0.41179E-02   -0.37119E+02
   124    0.34820E+04    0.10388E+01    0.41882E-02   -0.37633E+02
   125    0.35168E+04    0.10457E+01    0.42592E-02   -0.38135E+02
   126    0.35517E+04    0.10522E+01    0.43310E-02   -0.38625E+02
   127    0.35866E+04    0.10581E+01    0.44035E-02   -0.39101E+02
   128    0.36215E+04    0.10637E+01    0.44767E-02   -0.39563E+02
   129    0.36564E+04    0.10688E+01    0.45507E-02   -0.40010E+02
   130    0.36913E+04    0.10733E+01    0.46254E-02   -0.40442E+02
   131    0.37263E+04    0.10774E+01    0.47009E-02   -0.40859E+02
   132    0.37613E+04    0.10810E+01    0.47772E-02   -0.41259E+02
   133    0.37962E+04    0.10842E+01    0.48542E-02   -0.41643E+02
   134    0.38311E+04    0.10869E+01    0.49320E-02   -0.42009E+02
   135    0.38660E+04    0.10891E+01    0.50106E-02   -0.42358E+02
   136    0.39007E+04    0.10908E+01    0.50900E-02   -0.42686E+02
   137    0.39355E+04    0.10920E+01    0.51702E-02   -0.42997E+02
   138    0.39702E+04    0.10927E+01    0.52512E-02   -0.43289E+02
   139    0.40046E+04    0.10931E+01    0.53331E-02   -0.43560E+02
   140    0.40391E+04    0.10928E+01    0.54157E-02   -0.43812E+02
   141    0.40734E+04    0.10920E+01    0.54992E-02   -0.44043E+02
   142    0.41076E+04    0.10908E+01    0.55835E-02   -0.44252E+02
   143    0.41418E+04    0.10891E+01    0.56687E-02   -0.44441E+02
   144    0.41758E+04    0.10869E+01    0.57547E-02   -0.44609E+02
   145    0.42096E+04    0.10844E+01    0.58416E-02   -0.44754E+02
   146    0.42435E+04    0.10813E+01    0.59293E-02   -0.44877E+02
   147    0.42770E+04    0.10778E+01    0.60179E-02   -0.44976E+02
   148    0.43103E+04    0.10738E+01    0.61074E-02   -0.45053E+02
   149    0.43436E+04    0.10693E+01    0.61978E-02   -0.45107E+02
   150    0.43765E+04    0.10645E+01    0.62891E-02   -0.45134E+02
   151    0.44093E+04    0.10593E+01    0.63812E-02   -0.45139E+02
   152    0.44418E+04    0.10535E+01    0.64743E-02   -0.45119E+02
   153    0.44742E+04    0.10474E+01    0.65682E-02   -0.45073E+02
   154    0.45063E+04    0.10410E+01    0.66631E-02   -0.45003E+02
   155    0.45382E+04    0.10341E+01    0.67589E-02   -0.44907E+02
   156    0.45697E+04    0.10270E+01    0.68556E-02   -0.44786E+02
   157    0.46011E+04    0.10194E+01    0.69532E-02   -0.44639E+02
   158    0.46322E+04    0.10116E+01    0.70518E-02   -0.44465E+02
   159    0.46629E+04    0.10034E+01    0.71513E-02   -0.44266E+02
   160    0.46935E+04    0.99492E+00    0.72517E-02   -0.44040E+02
   161    0.47237E+04    0.98622E+00    0.73530E-02   -0.43787E+02
   162    0.47537E+04    0.97718E+00    0.74553E-02   -0.43509E+02
   163    0.47835E+04    0.96786E+00    0.75585E-02   -0.43203E+02
   164    0.48128E+04    0.95835E+00    0.76627E-02   -0.42872E+02
   165    0.48419E+04    0.94858E+00    0.77678E-02   -0.42512E+02
   166    0.48707E+04    0.93868E+00    0.78738E-02   -0.42125E+02
   167    0.48992E+04    0.92845E+00    0.79808E-02   -0.41713E+02
   168    0.49273E+04    0.91825E+00    0.80887E-02   -0.41272E+02
   169    0.49550E+04    0.90778E+00    0.81975E-02   -0.40804E+02
   170    0.49824E+04    0.89728E+00    0.83072E-02   -0.40308E+02
   171    0.50093E+04    0.88674E+00    0.84179E-02   -0.39784E+02
   172    0.50358E+04    0.87609E+00    0.85295E-02   -0.39232E+02
   173    0.50618E+04    0.86533E+00    0.86420E-02   -0.38653E+02
   174    0.50875E+04    0.85476E+00    0.87555E-02   -0.38047E+02
   175    0.51127E+04    0.84408E+00    0.88698E-02   -0.37412E+02
   176    0.51374E+04    0.83352E+00    0.89851E-02   -0.36749E+02
   177    0.51616E+04    0.82301E+00    0.91012E-02   -0.36059E+02
   178    0.51854E+04    0.81276E+00    0.92183E-02   -0.35341E+02
   179    0.52086E+04    0.80249E+00    0.93362E-02   -0.34595E+02
   180    0.52316E+04    0.79242E+00    0.94551E-02   -0.33823E+02
   181    0.52539E+04    0.78254E+00    0.95748E-02   -0.33024E+02
   182    0.52758E+04    0.77294E+00    0.96953E-02   -0.32196E+02
   183    0.52971E+04    0.76354E+00    0.98167E-02   -0.31343E+02
   184    0.53180E+04    0.75441E+00    0.99390E-02   -0.30462E+02
   185    0.53384E+04    0.74572E+00    0.10062E-01   -0.29557E+02
   186    0.53580E+04    0.73731E+00    0.10186E-01   -0.28623E+02
   187    0.53774E+04    0.72933E+00    0.10311E-01   -0.27663E+02
   188    0.53962E+04    0.72177E+00    0.10437E-01   -0.26679E+02
   189    0.54144E+04    0.71467E+00    0.10563E-01   -0.25668E+02
   190    0.54324E+04    0.70807E+00    0.10690E-01   -0.24633E+02
   191    0.54495E+04    0.70200E+00    0.10818E-01   -0.23571E+02
   192    0.54662E+04    0.69649E+00    0.10947E-01   -0.22485E+02
   193    0.54823E+04    0.69158E+00    0.11077E-01   -0.21375E+02
   194    0.54979E+04    0.68731E+00    0.11207E-01   -0.20240E+02
   195    0.55130E+04    0.68370E+00    0.11338E-01   -0.19082E+02
   196    0.55274E+04    0.68081E+00    0.11470E-01   -0.17900E+02
   197    0.55414E+04    0.67867E+00    0.11603E-01   -0.16696E+02
   198    0.55548E+04    0.67731E+00    0.11736E-01   -0.15469E+02
   199    0.55677E+04    0.67676E+00    0.11870E-01   -0.14220E+02
   200    0.55801E+04    0.67707E+00    0.12005E-01   -0.12949E+02
   201    0.55918E+04    0.67828E+00    0.12140E-01   -0.11656E+02
   202    0.56030E+04    0.68041E+00    0.12276E-01   -0.10343E+02
   203    0.56136E+04    0.68351E+00    0.12413E-01   -0.90082E+01
   204    0.56235E+04    0.68761E+00    0.12550E-01   -0.76552E+01
   205    0.56329E+04    0.69276E+00    0.12688E-01   -0.62816E+01
   206    0.56415E+04    0.69898E+00    0.12827E-01   -0.48889E+01
   207    0.56497E+04    0.70631E+00    0.12967E-01   -0.34773E+01
   208    0.56571E+04    0.71479E+00    0.13107E-01   -0.20476E+01
   209    0.56638E+04    0.72444E+00    0.13247E-01   -0.60007E+00
   210    0.56700E+04    0.73532E+00    0.13388E-01    0.86434E+00
   211    0.56756E+04    0.74746E+00    0.13530E-01    0.23455E+01
   212    0.56804E+04    0.76088E+00    0.13672E-01    0.38425E+01
   213    0.56846E+04    0.77564E+00    0.13815E-01    0.53554E+01
   214    0.56882E+04    0.79171E+00    0.13959E-01    0.68828E+01
   215    0.56912E+04    0.80931E+00    0.14103E-01    0.84241E+01
   216    0.56935E+04    0.82823E+00    0.14247E-01    0.99797E+01
   217    0.56952E+04    0.84864E+00    0.14392E-01    0.11548E+02
   218    0.56963E+04    0.87053E+00    0.14538E-01    0.13128E+02
   219    0.56968E+04    0.89391E+00    0.14684E-01    0.14722E+02
   220    0.56966E+04    0.91893E+00    0.14830E-01    0.16325E+02
   221    0.56959E+04    0.94550E+00    0.14977E-01    0.17938E+02
   222    0.56945E+04    0.97378E+00    0.15124E-01    0.19562E+02
   223    0.56924E+04    0.10037E+01    0.15272E-01    0.21196E+02
   224    0.56899E+04    0.10352E+01    0.15420E-01    0.22836E+02
   225    0.56866E+04    0.10686E+01    0.15568E-01    0.24486E+02
   226    0.56827E+04    0.11037E+01    0.15717E-01    0.26142E+02
   227    0.56782E+04    0.11405E+01    0.15866E-01    0.27805E+02
   228    0.56731E+04    0.11792E+01    0.16016E-01    0.29474E+02
   229    0.56675E+04    0.12197E+01    0.16166E-01    0.31147E+02
   230    0.56611E+04    0.12621E+01    0.16316E-01    0.32824E+02
   231    0.56541E+04    0.13064E+01    0.16466E-01    0.34507E+02
   232    0.56465E+04    0.13526E+01    0.16617E-01    0.36191E+02
   233    0.56384E+04    0.14008E+01    0.16768E-01    0.37877E+02
   234    0.56294E+04    0.14509E+01    0.16919E-01    0.39565E+02
   235    0.56200E+04    0.15031E+01    0.17070E-01    0.41253E+02
   236    0.56099E+04    0.15572E+01    0.17222E-01    0.42942E+02
   237    0.55991E+04    0.16135E+01    0.17373E-01    0.44629E+02
   238    0.55878E+04    0.16718E+01    0.17525E-01    0.46315E+02
   239    0.55759E+04    0.17322E+01    0.17677E-01    0.47999E+02
