#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10813E+04    0.51413E-01    0.00000E+00    0.34798E+01    0.52727E-07    0.31589E-02   -0.16134E-04
     3    0.10215E+04    0.85920E-01    0.00000E+00    0.43485E+01    0.64068E-07    0.31729E-02   -0.19936E-04
     4    0.96144E+03    0.99195E-01    0.00000E+00    0.44906E+01    0.73730E-07    0.31079E-02   -0.20381E-04
     5    0.91415E+03    0.90728E-01    0.00000E+00    0.41942E+01    0.82087E-07    0.30113E-02   -0.18351E-04
     6    0.87950E+03    0.69399E-01    0.00000E+00    0.36847E+01    0.89354E-07    0.29026E-02   -0.14662E-04
     7    0.85550E+03    0.45790E-01    0.00000E+00    0.31061E+01    0.95726E-07    0.27924E-02   -0.10135E-04
     8    0.83956E+03    0.27108E-01    0.00000E+00    0.25476E+01    0.10134E-06    0.26820E-02   -0.55507E-05
     9    0.82989E+03    0.15753E-01    0.00000E+00    0.20569E+01    0.10632E-06    0.25709E-02   -0.15483E-05
    10    0.82511E+03    0.10540E-01    0.00000E+00    0.16619E+01    0.11073E-06    0.24617E-02    0.14906E-05
    11    0.82386E+03    0.88254E-02    0.00000E+00    0.13744E+01    0.11468E-06    0.23602E-02    0.34398E-05
    12    0.82635E+03    0.83057E-02    0.00000E+00    0.11968E+01    0.11818E-06    0.22683E-02    0.42907E-05
    13    0.83077E+03    0.76947E-02    0.00000E+00    0.11103E+01    0.12130E-06    0.21847E-02    0.41363E-05
    14    0.83619E+03    0.68414E-02    0.00000E+00    0.10908E+01    0.12407E-06    0.21076E-02    0.31442E-05
    15    0.84297E+03    0.60379E-02    0.00000E+00    0.11199E+01    0.12655E-06    0.20343E-02    0.17163E-05
    16    0.85158E+03    0.55861E-02    0.00000E+00    0.11816E+01    0.12875E-06    0.19631E-02    0.25756E-06
    17    0.86189E+03    0.56033E-02    0.00000E+00    0.12586E+01    0.13070E-06    0.18952E-02   -0.10138E-05
    18    0.87293E+03    0.59385E-02    0.00000E+00    0.13369E+01    0.13244E-06    0.18321E-02   -0.19596E-05
    19    0.88552E+03    0.64017E-02    0.00000E+00    0.14085E+01    0.13397E-06    0.17731E-02   -0.25712E-05
    20    0.89800E+03    0.68845E-02    0.00000E+00    0.14663E+01    0.13531E-06    0.17166E-02   -0.28577E-05
    21    0.91072E+03    0.73756E-02    0.00000E+00    0.15142E+01    0.13648E-06    0.16622E-02   -0.27748E-05
