#    L    TT             EE             TE             PP             TP          
    75    0.19622E+04    0.39269E+00   -0.80513E+01    0.52751E+07    0.88026E+04
    76    0.19878E+04    0.40668E+00   -0.85568E+01    0.52425E+07    0.86845E+04
    77    0.20137E+04    0.42085E+00   -0.90731E+01    0.52098E+07    0.85684E+04
    78    0.20400E+04    0.43521E+00   -0.96017E+01    0.51771E+07    0.84538E+04
    79    0.20665E+04    0.44970E+00   -0.10139E+02    0.51444E+07    0.83403E+04
    80    0.20933E+04    0.46433E+00   -0.10686E+02    0.51118E+07    0.82276E+04
    81    0.21203E+04    0.47906E+00   -0.11243E+02    0.50792E+07    0.81155E+04
    82    0.21476E+04    0.49389E+00   -0.11810E+02    0.50466E+07    0.80044E+04
    83    0.21751E+04    0.50880E+00   -0.12386E+02    0.50142E+07    0.78949E+04
    84    0.22028E+04    0.52380E+00   -0.12968E+02    0.49818E+07    0.77876E+04
    85    0.22307E+04    0.53885E+00   -0.13559E+02    0.49495E+07    0.76832E+04
    86    0.22588E+04    0.55397E+00   -0.14156E+02    0.49174E+07    0.75821E+04
    87    0.22874E+04    0.56913E+00   -0.14759E+02    0.48854E+07    0.74842E+04
    88    0.23159E+04    0.58435E+00   -0.15368E+02    0.48535E+07    0.73892E+04
    89    0.23448E+04    0.59959E+00   -0.15985E+02    0.48217E+07    0.72968E+04
    90    0.23740E+04    0.61484E+00   -0.16607E+02    0.47901E+07    0.72067E+04
    91    0.24032E+04    0.63008E+00   -0.17234E+02    0.47586E+07    0.71188E+04
    92    0.24328E+04    0.64529E+00   -0.17866E+02    0.47273E+07    0.70328E+04
    93    0.24627E+04    0.66047E+00   -0.18503E+02    0.46962E+07    0.69488E+04
    94    0.24927E+04    0.67558E+00   -0.19143E+02    0.46652E+07    0.68666E+04
    95    0.25229E+04    0.69062E+00   -0.19788E+02    0.46344E+07    0.67863E+04
    96    0.25532E+04    0.70558E+00   -0.20436E+02    0.46037E+07    0.67078E+04
