#           k/h    P           
    0.10000E-03    0.61707E+02
    0.10202E-03    0.62910E+02
    0.10408E-03    0.64137E+02
    0.10618E-03    0.65388E+02
    0.10833E-03    0.66663E+02
    0.11052E-03    0.67963E+02
    0.11275E-03    0.69288E+02
    0.11503E-03    0.70639E+02
    0.11735E-03    0.72016E+02
    0.11972E-03    0.73420E+02
    0.12214E-03    0.74852E+02
    0.12461E-03    0.76311E+02
    0.12712E-03    0.77799E+02
    0.12969E-03    0.79316E+02
    0.13231E-03    0.80862E+02
    0.13499E-03    0.82438E+02
    0.13771E-03    0.84045E+02
    0.14049E-03    0.85684E+02
    0.14333E-03    0.87354E+02
    0.14623E-03    0.89057E+02
    0.14918E-03    0.90793E+02
    0.15220E-03    0.92562E+02
    0.15527E-03    0.94366E+02
    0.15841E-03    0.96205E+02
    0.16161E-03    0.98080E+02
    0.16487E-03    0.99992E+02
    0.16820E-03    0.10194E+03
    0.17160E-03    0.10393E+03
    0.17507E-03    0.10595E+03
    0.17860E-03    0.10802E+03
    0.18221E-03    0.11012E+03
    0.18589E-03    0.11227E+03
    0.18965E-03    0.11445E+03
    0.19348E-03    0.11668E+03
    0.19739E-03    0.11896E+03
    0.20138E-03    0.12127E+03
    0.20544E-03    0.12364E+03
    0.20959E-03    0.12604E+03
    0.21383E-03    0.12850E+03
    0.21815E-03    0.13100E+03
    0.22255E-03    0.13355E+03
    0.22705E-03    0.13615E+03
    0.23164E-03    0.13880E+03
    0.23632E-03    0.14150E+03
    0.24109E-03    0.14426E+03
    0.24596E-03    0.14707E+03
    0.25093E-03    0.14993E+03
    0.25600E-03    0.15285E+03
    0.26117E-03    0.15582E+03
    0.26645E-03    0.15885E+03
    0.27183E-03    0.16194E+03
    0.27732E-03    0.16509E+03
    0.28292E-03    0.16830E+03
    0.28864E-03    0.17158E+03
    0.29447E-03    0.17491E+03
    0.30042E-03    0.17831E+03
    0.30649E-03    0.18178E+03
    0.31268E-03    0.18531E+03
    0.31899E-03    0.18892E+03
    0.32544E-03    0.19259E+03
    0.33201E-03    0.19633E+03
    0.33872E-03    0.20014E+03
    0.34556E-03    0.20403E+03
    0.35254E-03    0.20799E+03
    0.35966E-03    0.21203E+03
    0.36693E-03    0.21615E+03
    0.37434E-03    0.22034E+03
    0.38190E-03    0.22462E+03
    0.38962E-03    0.22898E+03
    0.39749E-03    0.23342E+03
    0.40552E-03    0.23794E+03
    0.41371E-03    0.24256E+03
    0.42207E-03    0.24726E+03
    0.43060E-03    0.25205E+03
    0.43929E-03    0.25693E+03
    0.44817E-03    0.26191E+03
    0.45722E-03    0.26698E+03
    0.46646E-03    0.27215E+03
    0.47588E-03    0.27741E+03
    0.48550E-03    0.28278E+03
    0.49530E-03    0.28825E+03
    0.50531E-03    0.29382E+03
    0.51552E-03    0.29950E+03
    0.52593E-03    0.30528E+03
    0.53656E-03    0.31118E+03
    0.54739E-03    0.31719E+03
    0.55845E-03    0.32331E+03
    0.56973E-03    0.32954E+03
    0.58124E-03    0.33589E+03
    0.59299E-03    0.34237E+03
    0.60496E-03    0.34896E+03
    0.61719E-03    0.35568E+03
    0.62965E-03    0.36252E+03
    0.64237E-03    0.36950E+03
    0.65535E-03    0.37660E+03
    0.66859E-03    0.38383E+03
    0.68210E-03    0.39120E+03
    0.69588E-03    0.39871E+03
    0.70993E-03    0.40636E+03
    0.72427E-03    0.41414E+03
    0.73891E-03    0.42207E+03
    0.75383E-03    0.43015E+03
    0.76906E-03    0.43838E+03
    0.78460E-03    0.44676E+03
    0.80045E-03    0.45529E+03
    0.81662E-03    0.46398E+03
    0.83311E-03    0.47283E+03
    0.84994E-03    0.48184E+03
    0.86711E-03    0.49101E+03
    0.88463E-03    0.50035E+03
    0.90250E-03    0.50986E+03
    0.92073E-03    0.51954E+03
    0.93933E-03    0.52939E+03
    0.95831E-03    0.53942E+03
    0.97767E-03    0.54963E+03
    0.99742E-03    0.56003E+03
    0.10176E-02    0.57060E+03
    0.10381E-02    0.58137E+03
    0.10591E-02    0.59233E+03
    0.10805E-02    0.60348E+03
    0.11023E-02    0.61483E+03
    0.11246E-02    0.62638E+03
    0.11473E-02    0.63812E+03
    0.11705E-02    0.65008E+03
    0.11941E-02    0.66224E+03
    0.12182E-02    0.67461E+03
    0.12429E-02    0.68720E+03
    0.12680E-02    0.70000E+03
    0.12936E-02    0.71302E+03
    0.13197E-02    0.72626E+03
    0.13464E-02    0.73973E+03
    0.13736E-02    0.75342E+03
    0.14013E-02    0.76735E+03
    0.14296E-02    0.78151E+03
    0.14585E-02    0.79590E+03
    0.14880E-02    0.81053E+03
    0.15180E-02    0.82541E+03
    0.15487E-02    0.84053E+03
    0.15800E-02    0.85590E+03
    0.16119E-02    0.87151E+03
    0.16445E-02    0.88738E+03
    0.16777E-02    0.90351E+03
    0.17116E-02    0.91989E+03
    0.17462E-02    0.93653E+03
    0.17814E-02    0.95344E+03
    0.18174E-02    0.97061E+03
    0.18541E-02    0.98804E+03
    0.18916E-02    0.10057E+04
    0.19298E-02    0.10237E+04
    0.19688E-02    0.10420E+04
    0.20086E-02    0.10605E+04
    0.20491E-02    0.10793E+04
    0.20905E-02    0.10984E+04
    0.21328E-02    0.11178E+04
    0.21758E-02    0.11374E+04
    0.22198E-02    0.11573E+04
    0.22646E-02    0.11776E+04
    0.23104E-02    0.11981E+04
    0.23571E-02    0.12189E+04
    0.24047E-02    0.12400E+04
    0.24533E-02    0.12613E+04
    0.25028E-02    0.12830E+04
    0.25534E-02    0.13049E+04
    0.26050E-02    0.13272E+04
    0.26576E-02    0.13497E+04
    0.27113E-02    0.13725E+04
    0.27660E-02    0.13957E+04
    0.28219E-02    0.14191E+04
    0.28789E-02    0.14428E+04
