#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105184E-04   0.143603E+08   0.143603E+08   0.191404E+08   0.191402E+08   0.143609E+08   0.143604E+08   0.143603E+08   0.143682E+08  -0.554962E+00   0.114652E+08   0.114652E+08   0.835906E+01
   0.116143E-04   0.143603E+08   0.143603E+08   0.191389E+08   0.191386E+08   0.143609E+08   0.143603E+08   0.143603E+08   0.143682E+08  -0.554962E+00   0.114652E+08   0.114652E+08   0.922976E+01
   0.128244E-04   0.143603E+08   0.143603E+08   0.191371E+08   0.191368E+08   0.143609E+08   0.143603E+08   0.143603E+08   0.143682E+08  -0.554962E+00   0.114652E+08   0.114652E+08   0.101911E+02
   0.141606E-04   0.143603E+08   0.143603E+08   0.191349E+08   0.191345E+08   0.143609E+08   0.143603E+08   0.143603E+08   0.143682E+08  -0.554962E+00   0.114652E+08   0.114652E+08   0.112525E+02
   0.156360E-04   0.143603E+08   0.143603E+08   0.191322E+08   0.191317E+08   0.143609E+08   0.143603E+08   0.143603E+08   0.143682E+08  -0.554961E+00   0.114652E+08   0.114652E+08   0.124243E+02
   0.172651E-04   0.143603E+08   0.143603E+08   0.191289E+08   0.191283E+08   0.143609E+08   0.143603E+08   0.143603E+08   0.143681E+08  -0.554961E+00   0.114652E+08   0.114652E+08   0.137181E+02
   0.190639E-04   0.143603E+08   0.143603E+08   0.191249E+08   0.191242E+08   0.143609E+08   0.143603E+08   0.143603E+08   0.143681E+08  -0.554960E+00   0.114652E+08   0.114652E+08   0.151464E+02
   0.210501E-04   0.143603E+08   0.143603E+08   0.191201E+08   0.191192E+08   0.143608E+08   0.143603E+08   0.143603E+08   0.143681E+08  -0.554960E+00   0.114652E+08   0.114652E+08   0.167231E+02
   0.232433E-04   0.143603E+08   0.143603E+08   0.191142E+08   0.191130E+08   0.143608E+08   0.143603E+08   0.143603E+08   0.143681E+08  -0.554959E+00   0.114652E+08   0.114652E+08   0.184637E+02
   0.256650E-04   0.143603E+08   0.143603E+08   0.191069E+08   0.191055E+08   0.143608E+08   0.143603E+08   0.143603E+08   0.143681E+08  -0.554958E+00   0.114652E+08   0.114652E+08   0.203850E+02
