#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105184E-04   0.163030E+07   0.163030E+07   0.217365E+07   0.217364E+07   0.163184E+07   0.163032E+07   0.163030E+07   0.163873E+07  -0.600796E+00   0.162768E+07   0.162768E+07   0.906849E-01
   0.116143E-04   0.163030E+07   0.163030E+07   0.217363E+07   0.217363E+07   0.163184E+07   0.163032E+07   0.163030E+07   0.163873E+07  -0.600796E+00   0.162768E+07   0.162768E+07   0.100133E+00
   0.128244E-04   0.163030E+07   0.163030E+07   0.217361E+07   0.217360E+07   0.163184E+07   0.163032E+07   0.163030E+07   0.163873E+07  -0.600795E+00   0.162768E+07   0.162768E+07   0.110566E+00
   0.141606E-04   0.163029E+07   0.163029E+07   0.217358E+07   0.217358E+07   0.163184E+07   0.163032E+07   0.163029E+07   0.163873E+07  -0.600795E+00   0.162768E+07   0.162768E+07   0.122085E+00
   0.156360E-04   0.163029E+07   0.163029E+07   0.217355E+07   0.217354E+07   0.163184E+07   0.163032E+07   0.163029E+07   0.163873E+07  -0.600795E+00   0.162768E+07   0.162768E+07   0.134805E+00
   0.172651E-04   0.163029E+07   0.163029E+07   0.217351E+07   0.217350E+07   0.163184E+07   0.163032E+07   0.163029E+07   0.163872E+07  -0.600795E+00   0.162768E+07   0.162768E+07   0.148849E+00
   0.190639E-04   0.163029E+07   0.163029E+07   0.217346E+07   0.217345E+07   0.163184E+07   0.163032E+07   0.163029E+07   0.163872E+07  -0.600795E+00   0.162768E+07   0.162768E+07   0.164357E+00
   0.210501E-04   0.163029E+07   0.163029E+07   0.217340E+07   0.217339E+07   0.163183E+07   0.163032E+07   0.163029E+07   0.163872E+07  -0.600794E+00   0.162768E+07   0.162768E+07   0.181480E+00
   0.232433E-04   0.163029E+07   0.163029E+07   0.217333E+07   0.217332E+07   0.163183E+07   0.163031E+07   0.163029E+07   0.163872E+07  -0.600794E+00   0.162767E+07   0.162767E+07   0.200387E+00
   0.256650E-04   0.163029E+07   0.163029E+07   0.217324E+07   0.217323E+07   0.163183E+07   0.163031E+07   0.163029E+07   0.163872E+07  -0.600793E+00   0.162767E+07   0.162767E+07   0.221264E+00
   0.283390E-04   0.163029E+07   0.163029E+07   0.217313E+07   0.217312E+07   0.163182E+07   0.163031E+07   0.163029E+07   0.163872E+07  -0.600792E+00   0.162767E+07   0.162767E+07   0.244315E+00
   0.312916E-04   0.163029E+07   0.163029E+07   0.217300E+07   0.217299E+07   0.163182E+07   0.163031E+07   0.163029E+07   0.163872E+07  -0.600792E+00   0.162767E+07   0.162767E+07   0.269767E+00
   0.345519E-04   0.163029E+07   0.163029E+07   0.217284E+07   0.217282E+07   0.163181E+07   0.163031E+07   0.163029E+07   0.163871E+07  -0.600791E+00   0.162767E+07   0.162767E+07   0.297869E+00
   0.381518E-04   0.163028E+07   0.163028E+07   0.217264E+07   0.217263E+07   0.163181E+07   0.163031E+07   0.163028E+07   0.163871E+07  -0.600789E+00   0.162767E+07   0.162767E+07   0.328899E+00
   0.421268E-04   0.163028E+07   0.163028E+07   0.217241E+07   0.217238E+07   0.163180E+07   0.163030E+07   0.163028E+07   0.163871E+07  -0.600788E+00   0.162766E+07   0.162766E+07   0.363159E+00
   0.465159E-04   0.163028E+07   0.163028E+07   0.217212E+07   0.217209E+07   0.163179E+07   0.163030E+07   0.163028E+07   0.163870E+07  -0.600786E+00   0.162766E+07   0.162766E+07   0.400986E+00
   0.513623E-04   0.163027E+07   0.163027E+07   0.217176E+07   0.217173E+07   0.163178E+07   0.163029E+07   0.163027E+07   0.163870E+07  -0.600783E+00   0.162765E+07   0.162765E+07   0.442752E+00
   0.567137E-04   0.163027E+07   0.163027E+07   0.217133E+07   0.217129E+07   0.163176E+07   0.163029E+07   0.163027E+07   0.163869E+07  -0.600781E+00   0.162765E+07   0.162765E+07   0.488864E+00
   0.626227E-04   0.163026E+07   0.163026E+07   0.217081E+07   0.217076E+07   0.163175E+07   0.163028E+07   0.163026E+07   0.163868E+07  -0.600777E+00   0.162764E+07   0.162764E+07   0.539774E+00
   0.691473E-04   0.163025E+07   0.163025E+07   0.217017E+07   0.217011E+07   0.163172E+07   0.163027E+07   0.163025E+07   0.163867E+07  -0.600773E+00   0.162763E+07   0.162763E+07   0.595980E+00
   0.763516E-04   0.163024E+07   0.163024E+07   0.216939E+07   0.216931E+07   0.163170E+07   0.163026E+07   0.163024E+07   0.163866E+07  -0.600768E+00   0.162762E+07   0.162762E+07   0.658032E+00
   0.843066E-04   0.163023E+07   0.163023E+07   0.216844E+07   0.216834E+07   0.163166E+07   0.163025E+07   0.163023E+07   0.163864E+07  -0.600762E+00   0.162761E+07   0.162761E+07   0.726533E+00
   0.930904E-04   0.163022E+07   0.163021E+07   0.216728E+07   0.216717E+07   0.163162E+07   0.163024E+07   0.163021E+07   0.163862E+07  -0.600754E+00   0.162760E+07   0.162760E+07   0.802152E+00
   0.102789E-03   0.163020E+07   0.163020E+07   0.216587E+07   0.216573E+07   0.163158E+07   0.163022E+07   0.163020E+07   0.163860E+07  -0.600745E+00   0.162758E+07   0.162758E+07   0.885622E+00
   0.113499E-03   0.163018E+07   0.163017E+07   0.216415E+07   0.216398E+07   0.163152E+07   0.163020E+07   0.163018E+07   0.163857E+07  -0.600734E+00   0.162756E+07   0.162756E+07   0.977752E+00
   0.125324E-03   0.163015E+07   0.163015E+07   0.216205E+07   0.216185E+07   0.163145E+07   0.163017E+07   0.163015E+07   0.163853E+07  -0.600720E+00   0.162753E+07   0.162753E+07   0.107943E+01
   0.138382E-03   0.163012E+07   0.163011E+07   0.215950E+07   0.215925E+07   0.163136E+07   0.163013E+07   0.163012E+07   0.163849E+07  -0.600703E+00   0.162750E+07   0.162750E+07   0.119164E+01
   0.152799E-03   0.163008E+07   0.163007E+07   0.215640E+07   0.215609E+07   0.163125E+07   0.163009E+07   0.163008E+07   0.163844E+07  -0.600683E+00   0.162746E+07   0.162746E+07   0.131545E+01
   0.168719E-03   0.163003E+07   0.163003E+07   0.215261E+07   0.215224E+07   0.163112E+07   0.163004E+07   0.163003E+07   0.163837E+07  -0.600658E+00   0.162741E+07   0.162741E+07   0.145204E+01
   0.186298E-03   0.162997E+07   0.162997E+07   0.214801E+07   0.214756E+07   0.163097E+07   0.162998E+07   0.162997E+07   0.163829E+07  -0.600628E+00   0.162735E+07   0.162735E+07   0.160271E+01
   0.205708E-03   0.162990E+07   0.162989E+07   0.214241E+07   0.214186E+07   0.163077E+07   0.162991E+07   0.162990E+07   0.163820E+07  -0.600591E+00   0.162728E+07   0.162728E+07   0.176885E+01
   0.227141E-03   0.162981E+07   0.162981E+07   0.213560E+07   0.213493E+07   0.163054E+07   0.162982E+07   0.162981E+07   0.163808E+07  -0.600546E+00   0.162720E+07   0.162719E+07   0.195202E+01
   0.250806E-03   0.162971E+07   0.162970E+07   0.212732E+07   0.212651E+07   0.163025E+07   0.162971E+07   0.162970E+07   0.163794E+07  -0.600492E+00   0.162709E+07   0.162709E+07   0.215389E+01
   0.276938E-03   0.162958E+07   0.162957E+07   0.211727E+07   0.211629E+07   0.162990E+07   0.162958E+07   0.162958E+07   0.163777E+07  -0.600425E+00   0.162696E+07   0.162696E+07   0.237626E+01
   0.305791E-03   0.162942E+07   0.162941E+07   0.210507E+07   0.210389E+07   0.162948E+07   0.162942E+07   0.162942E+07   0.163756E+07  -0.600344E+00   0.162680E+07   0.162680E+07   0.262112E+01
   0.337651E-03   0.162923E+07   0.162922E+07   0.209029E+07   0.208886E+07   0.162896E+07   0.162922E+07   0.162923E+07   0.163731E+07  -0.600246E+00   0.162661E+07   0.162661E+07   0.289055E+01
