#           k/h    P           
    0.10000E-03    0.25089E+01
    0.10202E-03    0.25578E+01
    0.10408E-03    0.26077E+01
    0.10618E-03    0.26586E+01
    0.10833E-03    0.27104E+01
    0.11052E-03    0.27633E+01
    0.11275E-03    0.28172E+01
    0.11503E-03    0.28721E+01
    0.11735E-03    0.29281E+01
    0.11972E-03    0.29852E+01
    0.12214E-03    0.30434E+01
    0.12461E-03    0.31028E+01
    0.12712E-03    0.31633E+01
    0.12969E-03    0.32250E+01
    0.13231E-03    0.32878E+01
    0.13499E-03    0.33520E+01
    0.13771E-03    0.34173E+01
    0.14049E-03    0.34840E+01
    0.14333E-03    0.35519E+01
    0.14623E-03    0.36211E+01
    0.14918E-03    0.36917E+01
    0.15220E-03    0.37637E+01
    0.15527E-03    0.38371E+01
    0.15841E-03    0.39119E+01
    0.16161E-03    0.39882E+01
    0.16487E-03    0.40659E+01
    0.16820E-03    0.41452E+01
    0.17160E-03    0.42260E+01
    0.17507E-03    0.43084E+01
    0.17860E-03    0.43924E+01
    0.18221E-03    0.44780E+01
    0.18589E-03    0.45653E+01
    0.18965E-03    0.46543E+01
    0.19348E-03    0.47450E+01
    0.19739E-03    0.48375E+01
    0.20138E-03    0.49318E+01
    0.20544E-03    0.50279E+01
    0.20959E-03    0.51259E+01
    0.21383E-03    0.52257E+01
    0.21815E-03    0.53276E+01
    0.22255E-03    0.54314E+01
    0.22705E-03    0.55372E+01
    0.23164E-03    0.56451E+01
    0.23632E-03    0.57551E+01
    0.24109E-03    0.58672E+01
    0.24596E-03    0.59815E+01
    0.25093E-03    0.60980E+01
    0.25600E-03    0.62168E+01
    0.26117E-03    0.63379E+01
    0.26645E-03    0.64613E+01
    0.27183E-03    0.65872E+01
    0.27732E-03    0.67154E+01
    0.28292E-03    0.68462E+01
    0.28864E-03    0.69795E+01
    0.29447E-03    0.71154E+01
    0.30042E-03    0.72539E+01
    0.30649E-03    0.73951E+01
    0.31268E-03    0.75390E+01
    0.31899E-03    0.76858E+01
    0.32544E-03    0.78353E+01
    0.33201E-03    0.79878E+01
    0.33872E-03    0.81432E+01
    0.34556E-03    0.83016E+01
    0.35254E-03    0.84631E+01
    0.35966E-03    0.86277E+01
    0.36693E-03    0.87955E+01
    0.37434E-03    0.89666E+01
    0.38190E-03    0.91409E+01
    0.38962E-03    0.93186E+01
    0.39749E-03    0.94997E+01
    0.40552E-03    0.96843E+01
    0.41371E-03    0.98725E+01
    0.42207E-03    0.10064E+02
    0.43060E-03    0.10260E+02
    0.43929E-03    0.10459E+02
    0.44817E-03    0.10662E+02
    0.45722E-03    0.10869E+02
    0.46646E-03    0.11080E+02
    0.47588E-03    0.11295E+02
    0.48550E-03    0.11514E+02
    0.49530E-03    0.11738E+02
    0.50531E-03    0.11965E+02
    0.51552E-03    0.12197E+02
    0.52593E-03    0.12434E+02
    0.53656E-03    0.12675E+02
    0.54739E-03    0.12920E+02
    0.55845E-03    0.13171E+02
    0.56973E-03    0.13426E+02
    0.58124E-03    0.13686E+02
    0.59299E-03    0.13951E+02
    0.60496E-03    0.14220E+02
    0.61719E-03    0.14495E+02
    0.62965E-03    0.14776E+02
    0.64237E-03    0.15061E+02
    0.65535E-03    0.15352E+02
    0.66859E-03    0.15649E+02
    0.68210E-03    0.15951E+02
    0.69588E-03    0.16259E+02
    0.70993E-03    0.16572E+02
    0.72427E-03    0.16892E+02
    0.73891E-03    0.17217E+02
    0.75383E-03    0.17549E+02
    0.76906E-03    0.17886E+02
    0.78460E-03    0.18231E+02
    0.80045E-03    0.18581E+02
    0.81662E-03    0.18938E+02
    0.83311E-03    0.19302E+02
    0.84994E-03    0.19673E+02
    0.86711E-03    0.20050E+02
    0.88463E-03    0.20434E+02
    0.90250E-03    0.20826E+02
    0.92073E-03    0.21224E+02
    0.93933E-03    0.21630E+02
    0.95831E-03    0.22044E+02
    0.97767E-03    0.22465E+02
    0.99742E-03    0.22894E+02
    0.10176E-02    0.23330E+02
    0.10381E-02    0.23774E+02
    0.10591E-02    0.24227E+02
    0.10805E-02    0.24688E+02
    0.11023E-02    0.25156E+02
    0.11246E-02    0.25634E+02
    0.11473E-02    0.26120E+02
    0.11705E-02    0.26614E+02
    0.11941E-02    0.27118E+02
    0.12182E-02    0.27630E+02
    0.12429E-02    0.28151E+02
    0.12680E-02    0.28681E+02
    0.12936E-02    0.29221E+02
    0.13197E-02    0.29770E+02
    0.13464E-02    0.30329E+02
    0.13736E-02    0.30897E+02
    0.14013E-02    0.31475E+02
    0.14296E-02    0.32063E+02
    0.14585E-02    0.32661E+02
    0.14880E-02    0.33269E+02
    0.15180E-02    0.33887E+02
    0.15487E-02    0.34515E+02
    0.15800E-02    0.35154E+02
    0.16119E-02    0.35804E+02
    0.16445E-02    0.36464E+02
    0.16777E-02    0.37135E+02
    0.17116E-02    0.37817E+02
    0.17462E-02    0.38510E+02
    0.17814E-02    0.39214E+02
    0.18174E-02    0.39930E+02
    0.18541E-02    0.40656E+02
    0.18916E-02    0.41394E+02
    0.19298E-02    0.42143E+02
    0.19688E-02    0.42904E+02
    0.20086E-02    0.43677E+02
    0.20491E-02    0.44461E+02
    0.20905E-02    0.45257E+02
    0.21328E-02    0.46065E+02
    0.21758E-02    0.46885E+02
    0.22198E-02    0.47716E+02
    0.22646E-02    0.48560E+02
    0.23104E-02    0.49416E+02
    0.23571E-02    0.50284E+02
    0.24047E-02    0.51164E+02
    0.24533E-02    0.52056E+02
    0.25028E-02    0.52960E+02
    0.25534E-02    0.53877E+02
    0.26050E-02    0.54805E+02
    0.26576E-02    0.55746E+02
    0.27113E-02    0.56699E+02
    0.27660E-02    0.57665E+02
    0.28219E-02    0.58642E+02
    0.28789E-02    0.59632E+02
    0.29371E-02    0.60634E+02
    0.29964E-02    0.61648E+02
    0.30569E-02    0.62674E+02
    0.31187E-02    0.63712E+02
    0.31817E-02    0.64761E+02
    0.32460E-02    0.65823E+02
    0.33115E-02    0.66896E+02
    0.33784E-02    0.67981E+02
    0.34467E-02    0.69078E+02
    0.35163E-02    0.70186E+02
    0.35874E-02    0.71305E+02
    0.36598E-02    0.72435E+02
    0.37338E-02    0.73576E+02
    0.38092E-02    0.74728E+02
    0.38861E-02    0.75890E+02
    0.39646E-02    0.77063E+02
    0.40447E-02    0.78245E+02
    0.41264E-02    0.79438E+02
    0.42098E-02    0.80640E+02
    0.42948E-02    0.81851E+02
    0.43816E-02    0.83072E+02
    0.44701E-02    0.84301E+02
    0.45604E-02    0.85538E+02
    0.46525E-02    0.86784E+02
    0.47465E-02    0.88037E+02
    0.48424E-02    0.89297E+02
    0.49402E-02    0.90564E+02
    0.50400E-02    0.91838E+02
    0.51419E-02    0.93117E+02
    0.52457E-02    0.94401E+02
    0.53517E-02    0.95691E+02
    0.54598E-02    0.96985E+02
    0.55701E-02    0.98283E+02
    0.56826E-02    0.99584E+02
    0.57974E-02    0.10089E+03
    0.59145E-02    0.10219E+03
    0.60340E-02    0.10350E+03
    0.61559E-02    0.10481E+03
    0.62803E-02    0.10612E+03
    0.64072E-02    0.10742E+03
    0.65366E-02    0.10873E+03
    0.66686E-02    0.11003E+03
    0.68033E-02    0.11134E+03
    0.69408E-02    0.11263E+03
    0.70810E-02    0.11393E+03
    0.72240E-02    0.11522E+03
    0.73700E-02    0.11650E+03
    0.75189E-02    0.11777E+03
    0.76708E-02    0.11904E+03
    0.78257E-02    0.12030E+03
    0.79838E-02    0.12155E+03
    0.81451E-02    0.12278E+03
    0.83096E-02    0.12401E+03
    0.84775E-02    0.12522E+03
    0.86488E-02    0.12642E+03
    0.88235E-02    0.12760E+03
    0.90017E-02    0.12877E+03
    0.91836E-02    0.12992E+03
    0.93691E-02    0.13105E+03
    0.95583E-02    0.13216E+03
    0.97514E-02    0.13325E+03
    0.99484E-02    0.13432E+03
    0.10149E-01    0.13537E+03
    0.10354E-01    0.13638E+03
    0.10564E-01    0.13738E+03
    0.10777E-01    0.13834E+03
    0.10995E-01    0.13928E+03
    0.11217E-01    0.14018E+03
    0.11443E-01    0.14105E+03
    0.11675E-01    0.14189E+03
    0.11910E-01    0.14270E+03
    0.12151E-01    0.14347E+03
    0.12397E-01    0.14421E+03
    0.12647E-01    0.14491E+03
    0.12902E-01    0.14557E+03
    0.13163E-01    0.14619E+03
    0.13429E-01    0.14675E+03
    0.13700E-01    0.14727E+03
    0.13977E-01    0.14774E+03
    0.14259E-01    0.14816E+03
    0.14547E-01    0.14852E+03
    0.14841E-01    0.14884E+03
    0.15141E-01    0.14910E+03
    0.15447E-01    0.14931E+03
    0.15759E-01    0.14946E+03
