#           k/h    P           
    0.10000E-03    0.20057E+03
    0.10202E-03    0.20448E+03
    0.10408E-03    0.20846E+03
    0.10618E-03    0.21253E+03
    0.10833E-03    0.21667E+03
    0.11052E-03    0.22090E+03
    0.11275E-03    0.22520E+03
    0.11503E-03    0.22959E+03
    0.11735E-03    0.23407E+03
    0.11972E-03    0.23863E+03
    0.12214E-03    0.24329E+03
    0.12461E-03    0.24803E+03
    0.12712E-03    0.25286E+03
    0.12969E-03    0.25779E+03
    0.13231E-03    0.26282E+03
    0.13499E-03    0.26794E+03
    0.13771E-03    0.27316E+03
    0.14049E-03    0.27849E+03
    0.14333E-03    0.28392E+03
    0.14623E-03    0.28945E+03
    0.14918E-03    0.29509E+03
    0.15220E-03    0.30084E+03
    0.15527E-03    0.30671E+03
    0.15841E-03    0.31268E+03
    0.16161E-03    0.31877E+03
    0.16487E-03    0.32499E+03
    0.16820E-03    0.33132E+03
    0.17160E-03    0.33777E+03
    0.17507E-03    0.34435E+03
    0.17860E-03    0.35106E+03
    0.18221E-03    0.35790E+03
    0.18589E-03    0.36487E+03
    0.18965E-03    0.37198E+03
    0.19348E-03    0.37923E+03
    0.19739E-03    0.38661E+03
    0.20138E-03    0.39414E+03
    0.20544E-03    0.40182E+03
    0.20959E-03    0.40964E+03
    0.21383E-03    0.41762E+03
    0.21815E-03    0.42575E+03
    0.22255E-03    0.43403E+03
    0.22705E-03    0.44248E+03
    0.23164E-03    0.45110E+03
    0.23632E-03    0.45987E+03
    0.24109E-03    0.46882E+03
    0.24596E-03    0.47795E+03
    0.25093E-03    0.48725E+03
    0.25600E-03    0.49672E+03
    0.26117E-03    0.50639E+03
    0.26645E-03    0.51624E+03
    0.27183E-03    0.52628E+03
    0.27732E-03    0.53651E+03
    0.28292E-03    0.54694E+03
    0.28864E-03    0.55757E+03
    0.29447E-03    0.56841E+03
    0.30042E-03    0.57946E+03
    0.30649E-03    0.59072E+03
    0.31268E-03    0.60220E+03
    0.31899E-03    0.61389E+03
    0.32544E-03    0.62582E+03
    0.33201E-03    0.63797E+03
    0.33872E-03    0.65036E+03
    0.34556E-03    0.66298E+03
    0.35254E-03    0.67585E+03
    0.35966E-03    0.68896E+03
    0.36693E-03    0.70233E+03
    0.37434E-03    0.71595E+03
    0.38190E-03    0.72984E+03
    0.38962E-03    0.74399E+03
    0.39749E-03    0.75841E+03
    0.40552E-03    0.77311E+03
    0.41371E-03    0.78808E+03
    0.42207E-03    0.80335E+03
    0.43060E-03    0.81890E+03
    0.43929E-03    0.83475E+03
    0.44817E-03    0.85091E+03
    0.45722E-03    0.86737E+03
    0.46646E-03    0.88415E+03
    0.47588E-03    0.90124E+03
    0.48550E-03    0.91866E+03
    0.49530E-03    0.93640E+03
    0.50531E-03    0.95449E+03
    0.51552E-03    0.97292E+03
    0.52593E-03    0.99169E+03
    0.53656E-03    0.10108E+04
    0.54739E-03    0.10303E+04
    0.55845E-03    0.10502E+04
    0.56973E-03    0.10704E+04
    0.58124E-03    0.10910E+04
    0.59299E-03    0.11120E+04
    0.60496E-03    0.11334E+04
    0.61719E-03    0.11552E+04
    0.62965E-03    0.11774E+04
    0.64237E-03    0.12000E+04
    0.65535E-03    0.12231E+04
    0.66859E-03    0.12465E+04
    0.68210E-03    0.12704E+04
    0.69588E-03    0.12948E+04
    0.70993E-03    0.13196E+04
    0.72427E-03    0.13448E+04
    0.73891E-03    0.13705E+04
    0.75383E-03    0.13967E+04
    0.76906E-03    0.14234E+04
    0.78460E-03    0.14506E+04
    0.80045E-03    0.14782E+04
    0.81662E-03    0.15064E+04
    0.83311E-03    0.15351E+04
    0.84994E-03    0.15643E+04
    0.86711E-03    0.15940E+04
    0.88463E-03    0.16243E+04
    0.90250E-03    0.16551E+04
    0.92073E-03    0.16865E+04
    0.93933E-03    0.17185E+04
    0.95831E-03    0.17510E+04
    0.97767E-03    0.17841E+04
    0.99742E-03    0.18178E+04
    0.10176E-02    0.18521E+04
    0.10381E-02    0.18870E+04
    0.10591E-02    0.19225E+04
    0.10805E-02    0.19586E+04
    0.11023E-02    0.19954E+04
    0.11246E-02    0.20329E+04
    0.11473E-02    0.20709E+04
    0.11705E-02    0.21097E+04
    0.11941E-02    0.21491E+04
    0.12182E-02    0.21892E+04
    0.12429E-02    0.22300E+04
    0.12680E-02    0.22715E+04
    0.12936E-02    0.23137E+04
    0.13197E-02    0.23566E+04
    0.13464E-02    0.24003E+04
    0.13736E-02    0.24447E+04
    0.14013E-02    0.24898E+04
    0.14296E-02    0.25357E+04
    0.14585E-02    0.25824E+04
    0.14880E-02    0.26298E+04
    0.15180E-02    0.26780E+04
    0.15487E-02    0.27271E+04
    0.15800E-02    0.27769E+04
    0.16119E-02    0.28275E+04
    0.16445E-02    0.28789E+04
