#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105184E-04   0.180776E+08   0.180776E+08   0.240924E+08   0.240920E+08   0.180781E+08   0.180776E+08   0.180776E+08   0.180848E+08  -0.506815E+00   0.113396E+08   0.113396E+08   0.675957E+01
   0.116143E-04   0.180776E+08   0.180776E+08   0.240899E+08   0.240895E+08   0.180781E+08   0.180776E+08   0.180776E+08   0.180848E+08  -0.506815E+00   0.113396E+08   0.113396E+08   0.746363E+01
   0.128244E-04   0.180776E+08   0.180776E+08   0.240869E+08   0.240864E+08   0.180781E+08   0.180776E+08   0.180776E+08   0.180847E+08  -0.506815E+00   0.113396E+08   0.113396E+08   0.824097E+01
   0.141606E-04   0.180776E+08   0.180776E+08   0.240833E+08   0.240827E+08   0.180781E+08   0.180776E+08   0.180776E+08   0.180847E+08  -0.506814E+00   0.113396E+08   0.113395E+08   0.909921E+01
   0.156360E-04   0.180776E+08   0.180776E+08   0.240789E+08   0.240781E+08   0.180781E+08   0.180776E+08   0.180776E+08   0.180847E+08  -0.506814E+00   0.113395E+08   0.113395E+08   0.100467E+02
   0.172651E-04   0.180776E+08   0.180776E+08   0.240735E+08   0.240726E+08   0.180781E+08   0.180776E+08   0.180776E+08   0.180847E+08  -0.506814E+00   0.113395E+08   0.113395E+08   0.110928E+02
   0.190639E-04   0.180776E+08   0.180775E+08   0.240669E+08   0.240658E+08   0.180781E+08   0.180776E+08   0.180776E+08   0.180847E+08  -0.506813E+00   0.113395E+08   0.113395E+08   0.122476E+02
   0.210501E-04   0.180775E+08   0.180775E+08   0.240589E+08   0.240575E+08   0.180780E+08   0.180775E+08   0.180775E+08   0.180847E+08  -0.506813E+00   0.113395E+08   0.113395E+08   0.135224E+02
   0.232433E-04   0.180775E+08   0.180775E+08   0.240491E+08   0.240474E+08   0.180780E+08   0.180775E+08   0.180775E+08   0.180847E+08  -0.506812E+00   0.113395E+08   0.113395E+08   0.149296E+02
   0.256650E-04   0.180775E+08   0.180775E+08   0.240372E+08   0.240352E+08   0.180780E+08   0.180775E+08   0.180775E+08   0.180846E+08  -0.506811E+00   0.113395E+08   0.113395E+08   0.164829E+02
