#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105184E-04   0.286697E+07   0.286697E+07   0.382237E+07   0.382237E+07   0.286807E+07   0.286699E+07   0.286697E+07   0.287542E+07  -0.600161E+00   0.285975E+07   0.285975E+07   0.727560E+01
   0.116143E-04   0.286697E+07   0.286697E+07   0.382232E+07   0.382231E+07   0.286806E+07   0.286699E+07   0.286697E+07   0.287542E+07  -0.600161E+00   0.285975E+07   0.285975E+07   0.803356E+01
   0.128244E-04   0.286697E+07   0.286697E+07   0.382225E+07   0.382224E+07   0.286806E+07   0.286699E+07   0.286697E+07   0.287542E+07  -0.600161E+00   0.285975E+07   0.285975E+07   0.887048E+01
   0.141606E-04   0.286697E+07   0.286697E+07   0.382216E+07   0.382215E+07   0.286806E+07   0.286699E+07   0.286697E+07   0.287542E+07  -0.600160E+00   0.285975E+07   0.285975E+07   0.979455E+01
   0.156360E-04   0.286697E+07   0.286697E+07   0.382206E+07   0.382205E+07   0.286806E+07   0.286699E+07   0.286697E+07   0.287542E+07  -0.600160E+00   0.285974E+07   0.285974E+07   0.108149E+02
   0.172651E-04   0.286697E+07   0.286697E+07   0.382194E+07   0.382192E+07   0.286806E+07   0.286698E+07   0.286697E+07   0.287542E+07  -0.600160E+00   0.285974E+07   0.285974E+07   0.119414E+02
   0.190639E-04   0.286697E+07   0.286697E+07   0.382178E+07   0.382177E+07   0.286806E+07   0.286698E+07   0.286697E+07   0.287541E+07  -0.600160E+00   0.285974E+07   0.285974E+07   0.131853E+02
   0.210501E-04   0.286697E+07   0.286697E+07   0.382160E+07   0.382158E+07   0.286805E+07   0.286698E+07   0.286697E+07   0.287541E+07  -0.600159E+00   0.285974E+07   0.285974E+07   0.145586E+02
   0.232433E-04   0.286696E+07   0.286696E+07   0.382137E+07   0.382134E+07   0.286805E+07   0.286698E+07   0.286696E+07   0.287541E+07  -0.600159E+00   0.285974E+07   0.285974E+07   0.160749E+02
   0.256650E-04   0.286696E+07   0.286696E+07   0.382109E+07   0.382106E+07   0.286804E+07   0.286698E+07   0.286696E+07   0.287541E+07  -0.600158E+00   0.285974E+07   0.285974E+07   0.177489E+02
   0.283390E-04   0.286696E+07   0.286696E+07   0.382075E+07   0.382072E+07   0.286804E+07   0.286697E+07   0.286696E+07   0.287540E+07  -0.600157E+00   0.285973E+07   0.285973E+07   0.195971E+02
   0.312916E-04   0.286696E+07   0.286695E+07   0.382034E+07   0.382030E+07   0.286803E+07   0.286697E+07   0.286695E+07   0.287540E+07  -0.600156E+00   0.285973E+07   0.285973E+07   0.216376E+02
   0.345519E-04   0.286695E+07   0.286695E+07   0.381984E+07   0.381978E+07   0.286802E+07   0.286697E+07   0.286695E+07   0.287539E+07  -0.600155E+00   0.285973E+07   0.285972E+07   0.238901E+02
   0.381518E-04   0.286695E+07   0.286694E+07   0.381923E+07   0.381916E+07   0.286801E+07   0.286696E+07   0.286695E+07   0.287539E+07  -0.600153E+00   0.285972E+07   0.285972E+07   0.263767E+02
   0.421268E-04   0.286694E+07   0.286694E+07   0.381848E+07   0.381840E+07   0.286800E+07   0.286696E+07   0.286694E+07   0.287538E+07  -0.600152E+00   0.285971E+07   0.285971E+07   0.291214E+02
   0.465159E-04   0.286693E+07   0.286693E+07   0.381758E+07   0.381747E+07   0.286798E+07   0.286695E+07   0.286693E+07   0.287537E+07  -0.600149E+00   0.285971E+07   0.285970E+07   0.321510E+02
   0.513623E-04   0.286692E+07   0.286692E+07   0.381647E+07   0.381634E+07   0.286796E+07   0.286694E+07   0.286692E+07   0.287536E+07  -0.600147E+00   0.285970E+07   0.285969E+07   0.354947E+02
   0.567137E-04   0.286691E+07   0.286691E+07   0.381512E+07   0.381496E+07   0.286794E+07   0.286693E+07   0.286691E+07   0.287534E+07  -0.600143E+00   0.285969E+07   0.285968E+07   0.391846E+02
   0.626227E-04   0.286690E+07   0.286689E+07   0.381347E+07   0.381329E+07   0.286791E+07   0.286691E+07   0.286690E+07   0.287532E+07  -0.600140E+00   0.285967E+07   0.285967E+07   0.432561E+02
   0.691473E-04   0.286688E+07   0.286688E+07   0.381146E+07   0.381124E+07   0.286787E+07   0.286689E+07   0.286688E+07   0.287530E+07  -0.600135E+00   0.285965E+07   0.285965E+07   0.477479E+02
   0.763516E-04   0.286686E+07   0.286686E+07   0.380902E+07   0.380875E+07   0.286783E+07   0.286687E+07   0.286686E+07   0.287528E+07  -0.600129E+00   0.285963E+07   0.285963E+07   0.527026E+02
   0.843066E-04   0.286683E+07   0.286683E+07   0.380604E+07   0.380571E+07   0.286778E+07   0.286685E+07   0.286683E+07   0.287524E+07  -0.600122E+00   0.285961E+07   0.285960E+07   0.581666E+02
   0.930904E-04   0.286680E+07   0.286680E+07   0.380241E+07   0.380201E+07   0.286771E+07   0.286681E+07   0.286680E+07   0.287520E+07  -0.600113E+00   0.285958E+07   0.285957E+07   0.641905E+02
   0.102789E-03   0.286676E+07   0.286676E+07   0.379799E+07   0.379750E+07   0.286764E+07   0.286678E+07   0.286676E+07   0.287515E+07  -0.600102E+00   0.285954E+07   0.285953E+07   0.708295E+02
   0.113499E-03   0.286672E+07   0.286671E+07   0.379261E+07   0.379201E+07   0.286754E+07   0.286673E+07   0.286672E+07   0.287510E+07  -0.600089E+00   0.285949E+07   0.285948E+07   0.781432E+02
   0.125324E-03   0.286666E+07   0.286666E+07   0.378606E+07   0.378533E+07   0.286742E+07   0.286667E+07   0.286666E+07   0.287502E+07  -0.600073E+00   0.285944E+07   0.285942E+07   0.861963E+02
   0.138382E-03   0.286659E+07   0.286659E+07   0.377809E+07   0.377719E+07   0.286728E+07   0.286660E+07   0.286659E+07   0.287494E+07  -0.600054E+00   0.285937E+07   0.285935E+07   0.950578E+02
   0.152799E-03   0.286651E+07   0.286650E+07   0.376839E+07   0.376730E+07   0.286711E+07   0.286652E+07   0.286651E+07   0.287483E+07  -0.600031E+00   0.285929E+07   0.285926E+07   0.104802E+03
   0.168719E-03   0.286641E+07   0.286640E+07   0.375659E+07   0.375527E+07   0.286690E+07   0.286641E+07   0.286640E+07   0.287470E+07  -0.600002E+00   0.285918E+07   0.285915E+07   0.115506E+03
   0.186298E-03   0.286628E+07   0.286627E+07   0.374226E+07   0.374065E+07   0.286664E+07   0.286628E+07   0.286628E+07   0.287454E+07  -0.599967E+00   0.285906E+07   0.285902E+07   0.127251E+03
   0.205708E-03   0.286613E+07   0.286612E+07   0.372485E+07   0.372290E+07   0.286633E+07   0.286613E+07   0.286613E+07   0.287435E+07  -0.599925E+00   0.285891E+07   0.285886E+07   0.140121E+03
   0.227141E-03   0.286594E+07   0.286593E+07   0.370373E+07   0.370136E+07   0.286595E+07   0.286594E+07   0.286594E+07   0.287411E+07  -0.599873E+00   0.285873E+07   0.285866E+07   0.154199E+03
   0.250806E-03   0.286572E+07   0.286570E+07   0.367813E+07   0.367526E+07   0.286549E+07   0.286571E+07   0.286572E+07   0.287383E+07  -0.599810E+00   0.285850E+07   0.285843E+07   0.169566E+03
   0.276938E-03   0.286545E+07   0.286542E+07   0.364714E+07   0.364367E+07   0.286492E+07   0.286543E+07   0.286544E+07   0.287348E+07  -0.599733E+00   0.285823E+07   0.285814E+07   0.186296E+03
   0.305791E-03   0.286511E+07   0.286508E+07   0.360969E+07   0.360550E+07   0.286423E+07   0.286509E+07   0.286511E+07   0.287306E+07  -0.599640E+00   0.285790E+07   0.285779E+07   0.204453E+03
   0.337651E-03   0.286471E+07   0.286467E+07   0.356451E+07   0.355947E+07   0.286340E+07   0.286468E+07   0.286470E+07   0.287254E+07  -0.599527E+00   0.285750E+07   0.285736E+07   0.224079E+03
   0.372831E-03   0.286421E+07   0.286417E+07   0.351016E+07   0.350410E+07   0.286238E+07   0.286418E+07   0.286421E+07   0.287192E+07  -0.599390E+00   0.285700E+07   0.285684E+07   0.245189E+03
   0.411676E-03   0.286361E+07   0.286356E+07   0.344494E+07   0.343769E+07   0.286113E+07   0.286357E+07   0.286360E+07   0.287116E+07  -0.599223E+00   0.285641E+07   0.285621E+07   0.267756E+03
   0.454568E-03   0.286288E+07   0.286282E+07   0.336696E+07   0.335832E+07   0.285962E+07   0.286282E+07   0.286287E+07   0.287025E+07  -0.599022E+00   0.285568E+07   0.285544E+07   0.291693E+03
   0.501929E-03   0.286200E+07   0.286192E+07   0.327415E+07   0.326389E+07   0.285779E+07   0.286192E+07   0.286199E+07   0.286914E+07  -0.598777E+00   0.285480E+07   0.285451E+07   0.316836E+03
   0.554224E-03   0.286092E+07   0.286083E+07   0.316426E+07   0.315216E+07   0.285556E+07   0.286083E+07   0.286091E+07   0.286780E+07  -0.598482E+00   0.285372E+07   0.285338E+07   0.342913E+03
   0.611968E-03   0.285962E+07   0.285951E+07   0.303500E+07   0.302083E+07   0.285285E+07   0.285950E+07   0.285960E+07   0.286619E+07  -0.598127E+00   0.285242E+07   0.285202E+07   0.369520E+03
   0.675728E-03   0.285805E+07   0.285791E+07   0.288421E+07   0.286776E+07   0.284957E+07   0.285790E+07   0.285803E+07   0.286425E+07  -0.597699E+00   0.285085E+07   0.285037E+07   0.396086E+03
   0.746132E-03   0.285615E+07   0.285598E+07   0.271003E+07   0.269116E+07   0.284559E+07   0.285596E+07   0.285612E+07   0.286193E+07  -0.597185E+00   0.284894E+07   0.284838E+07   0.421833E+03
   0.823870E-03   0.285385E+07   0.285365E+07   0.251132E+07   0.248996E+07   0.284077E+07   0.285362E+07   0.285382E+07   0.285915E+07  -0.596571E+00   0.284664E+07   0.284598E+07   0.445757E+03
   0.909708E-03   0.285109E+07   0.285085E+07   0.228811E+07   0.226432E+07   0.283495E+07   0.285081E+07   0.285105E+07   0.285584E+07  -0.595839E+00   0.284387E+07   0.284310E+07   0.466600E+03
   0.100449E-02   0.284777E+07   0.284749E+07   0.204213E+07   0.201618E+07   0.282793E+07   0.284743E+07   0.284773E+07   0.285192E+07  -0.594971E+00   0.284053E+07   0.283966E+07   0.482870E+03
   0.110915E-02   0.284380E+07   0.284348E+07   0.177756E+07   0.174996E+07   0.281948E+07   0.284339E+07   0.284375E+07   0.284729E+07  -0.593946E+00   0.283652E+07   0.283554E+07   0.492895E+03
   0.122471E-02   0.283907E+07   0.283870E+07   0.150154E+07   0.147308E+07   0.280934E+07   0.283856E+07   0.283901E+07   0.284186E+07  -0.592744E+00   0.283173E+07   0.283064E+07   0.494951E+03
   0.135231E-02   0.283345E+07   0.283302E+07   0.122464E+07   0.119637E+07   0.279712E+07   0.283284E+07   0.283339E+07   0.283552E+07  -0.591341E+00   0.282603E+07   0.282485E+07   0.487493E+03
