#           k/h    P           
    0.10000E-03    0.17338E+02
    0.10202E-03    0.17677E+02
    0.10408E-03    0.18021E+02
    0.10618E-03    0.18373E+02
    0.10833E-03    0.18731E+02
    0.11052E-03    0.19096E+02
    0.11275E-03    0.19469E+02
    0.11503E-03    0.19848E+02
    0.11735E-03    0.20235E+02
    0.11972E-03    0.20630E+02
    0.12214E-03    0.21032E+02
    0.12461E-03    0.21442E+02
    0.12712E-03    0.21860E+02
    0.12969E-03    0.22286E+02
    0.13231E-03    0.22721E+02
    0.13499E-03    0.23164E+02
    0.13771E-03    0.23616E+02
    0.14049E-03    0.24076E+02
    0.14333E-03    0.24545E+02
    0.14623E-03    0.25024E+02
    0.14918E-03    0.25512E+02
    0.15220E-03    0.26009E+02
    0.15527E-03    0.26516E+02
    0.15841E-03    0.27033E+02
    0.16161E-03    0.27560E+02
    0.16487E-03    0.28097E+02
    0.16820E-03    0.28644E+02
    0.17160E-03    0.29203E+02
    0.17507E-03    0.29772E+02
    0.17860E-03    0.30352E+02
    0.18221E-03    0.30944E+02
    0.18589E-03    0.31547E+02
    0.18965E-03    0.32161E+02
    0.19348E-03    0.32788E+02
    0.19739E-03    0.33427E+02
    0.20138E-03    0.34078E+02
    0.20544E-03    0.34742E+02
    0.20959E-03    0.35419E+02
    0.21383E-03    0.36109E+02
    0.21815E-03    0.36812E+02
    0.22255E-03    0.37529E+02
    0.22705E-03    0.38260E+02
    0.23164E-03    0.39005E+02
    0.23632E-03    0.39765E+02
    0.24109E-03    0.40539E+02
    0.24596E-03    0.41328E+02
    0.25093E-03    0.42133E+02
    0.25600E-03    0.42953E+02
    0.26117E-03    0.43789E+02
    0.26645E-03    0.44642E+02
    0.27183E-03    0.45510E+02
    0.27732E-03    0.46396E+02
    0.28292E-03    0.47299E+02
    0.28864E-03    0.48219E+02
    0.29447E-03    0.49157E+02
    0.30042E-03    0.50114E+02
    0.30649E-03    0.51088E+02
    0.31268E-03    0.52082E+02
    0.31899E-03    0.53095E+02
    0.32544E-03    0.54127E+02
    0.33201E-03    0.55179E+02
    0.33872E-03    0.56252E+02
    0.34556E-03    0.57345E+02
    0.35254E-03    0.58460E+02
    0.35966E-03    0.59595E+02
    0.36693E-03    0.60753E+02
    0.37434E-03    0.61933E+02
