#    L    TT             EE             TE             PP             TP          
     2    0.10809E+04    0.51280E-01    0.34672E+01    0.11046E+07    0.29507E+05
     3    0.10214E+04    0.85702E-01    0.43300E+01    0.17020E+07    0.35418E+05
     4    0.96155E+03    0.98968E-01    0.44689E+01    0.22320E+07    0.38282E+05
     5    0.91433E+03    0.90553E-01    0.41717E+01    0.27005E+07    0.39506E+05
     6    0.87968E+03    0.69293E-01    0.36633E+01    0.31146E+07    0.39802E+05
     7    0.85563E+03    0.45741E-01    0.30876E+01    0.34823E+07    0.39570E+05
     8    0.83962E+03    0.27101E-01    0.25334E+01    0.38102E+07    0.38989E+05
     9    0.82987E+03    0.15782E-01    0.20473E+01    0.41038E+07    0.38154E+05
    10    0.82502E+03    0.10606E-01    0.16559E+01    0.43671E+07    0.37167E+05
    11    0.82371E+03    0.89269E-02    0.13708E+01    0.46049E+07    0.36155E+05
    12    0.82613E+03    0.84275E-02    0.11948E+01    0.48190E+07    0.35178E+05
    13    0.83051E+03    0.78127E-02    0.11092E+01    0.50119E+07    0.34245E+05
    14    0.83591E+03    0.69268E-02    0.10894E+01    0.51866E+07    0.33349E+05
    15    0.84268E+03    0.60736E-02    0.11172E+01    0.53447E+07    0.32465E+05
    16    0.85126E+03    0.55692E-02    0.11768E+01    0.54877E+07    0.31569E+05
    17    0.86155E+03    0.55422E-02    0.12516E+01    0.56174E+07    0.30688E+05
    18    0.87257E+03    0.58494E-02    0.13280E+01    0.57350E+07    0.29852E+05
    19    0.88514E+03    0.62963E-02    0.13981E+01    0.58414E+07    0.29053E+05
    20    0.89760E+03    0.67672E-02    0.14544E+01    0.59371E+07    0.28277E+05
    21    0.91030E+03    0.72451E-02    0.15006E+01    0.60234E+07    0.27517E+05
    22    0.92354E+03    0.78269E-02    0.15412E+01    0.61014E+07    0.26771E+05
    23    0.93712E+03    0.86067E-02    0.15782E+01    0.61715E+07    0.26045E+05
    24    0.95109E+03    0.96329E-02    0.16133E+01    0.62343E+07    0.25349E+05
    25    0.96542E+03    0.10944E-01    0.16491E+01    0.62904E+07    0.24682E+05
    26    0.97990E+03    0.12527E-01    0.16893E+01    0.63404E+07    0.24046E+05
    27    0.99477E+03    0.14326E-01    0.17325E+01    0.63848E+07    0.23433E+05
    28    0.10099E+04    0.16315E-01    0.17771E+01    0.64240E+07    0.22841E+05
    29    0.10253E+04    0.18498E-01    0.18220E+01    0.64581E+07    0.22276E+05
    30    0.10409E+04    0.20888E-01    0.18645E+01    0.64871E+07    0.21740E+05
    31    0.10566E+04    0.23475E-01    0.19017E+01    0.65118E+07    0.21230E+05
    32    0.10726E+04    0.26236E-01    0.19308E+01    0.65327E+07    0.20737E+05
    33    0.10890E+04    0.29171E-01    0.19482E+01    0.65499E+07    0.20258E+05
    34    0.11055E+04    0.32299E-01    0.19526E+01    0.65638E+07    0.19788E+05
    35    0.11222E+04    0.35629E-01    0.19469E+01    0.65745E+07    0.19326E+05
    36    0.11389E+04    0.39175E-01    0.19331E+01    0.65822E+07    0.18876E+05
    37    0.11558E+04    0.42941E-01    0.19071E+01    0.65871E+07    0.18446E+05
    38    0.11730E+04    0.46936E-01    0.18666E+01    0.65895E+07    0.18042E+05
    39    0.11906E+04    0.51174E-01    0.18144E+01    0.65894E+07    0.17659E+05
    40    0.12083E+04    0.55677E-01    0.17542E+01    0.65871E+07    0.17290E+05
    41    0.12263E+04    0.60466E-01    0.16884E+01    0.65825E+07    0.16927E+05
    42    0.12442E+04    0.65545E-01    0.16154E+01    0.65759E+07    0.16571E+05
    43    0.12622E+04    0.70911E-01    0.15324E+01    0.65674E+07    0.16223E+05
    44    0.12802E+04    0.76547E-01    0.14376E+01    0.65571E+07    0.15886E+05
    45    0.12986E+04    0.82446E-01    0.13293E+01    0.65452E+07    0.15562E+05
    46    0.13172E+04    0.88606E-01    0.12044E+01    0.65317E+07    0.15252E+05
    47    0.13360E+04    0.95026E-01    0.10645E+01    0.65168E+07    0.14953E+05
    48    0.13548E+04    0.10171E+00    0.91493E+00    0.65006E+07    0.14664E+05
    49    0.13737E+04    0.10865E+00    0.76042E+00    0.64832E+07    0.14381E+05
    50    0.13931E+04    0.11582E+00    0.59893E+00    0.64646E+07    0.14102E+05
    51    0.14126E+04    0.12319E+00    0.42668E+00    0.64450E+07    0.13825E+05
    52    0.14325E+04    0.13085E+00    0.23845E+00    0.64244E+07    0.13552E+05
    53    0.14524E+04    0.13894E+00    0.30552E-01    0.64029E+07    0.13285E+05
    54    0.14722E+04    0.14746E+00   -0.19276E+00    0.63804E+07    0.13028E+05
    55    0.14921E+04    0.15638E+00   -0.42711E+00    0.63572E+07    0.12783E+05
    56    0.15124E+04    0.16556E+00   -0.67418E+00    0.63332E+07    0.12551E+05
    57    0.15330E+04    0.17490E+00   -0.93369E+00    0.63086E+07    0.12332E+05
    58    0.15538E+04    0.18439E+00   -0.12061E+01    0.62832E+07    0.12123E+05
    59    0.15748E+04    0.19409E+00   -0.14917E+01    0.62572E+07    0.11922E+05
    60    0.15960E+04    0.20404E+00   -0.17897E+01    0.62305E+07    0.11726E+05
    61    0.16176E+04    0.21435E+00   -0.20990E+01    0.62033E+07    0.11533E+05
    62    0.16391E+04    0.22500E+00   -0.24208E+01    0.61756E+07    0.11344E+05
    63    0.16607E+04    0.23594E+00   -0.27564E+01    0.61474E+07    0.11156E+05
    64    0.16827E+04    0.24718E+00   -0.31075E+01    0.61188E+07    0.10971E+05
    65    0.17047E+04    0.25870E+00   -0.34750E+01    0.60898E+07    0.10787E+05
    66    0.17271E+04    0.27042E+00   -0.38573E+01    0.60605E+07    0.10604E+05
    67    0.17496E+04    0.28235E+00   -0.42515E+01    0.60310E+07    0.10423E+05
    68    0.17725E+04    0.29454E+00   -0.46557E+01    0.60012E+07    0.10246E+05
    69    0.17956E+04    0.30693E+00   -0.50677E+01    0.59711E+07    0.10074E+05
    70    0.18190E+04    0.31958E+00   -0.54891E+01    0.59409E+07    0.99083E+04
    71    0.18425E+04    0.33248E+00   -0.59218E+01    0.59105E+07    0.97499E+04
    72    0.18662E+04    0.34560E+00   -0.63674E+01    0.58800E+07    0.95984E+04
    73    0.18901E+04    0.35889E+00   -0.68265E+01    0.58493E+07    0.94532E+04
    74    0.19142E+04    0.37236E+00   -0.72981E+01    0.58184E+07    0.93134E+04
    75    0.19385E+04    0.38602E+00   -0.77810E+01    0.57874E+07    0.91783E+04
    76    0.19632E+04    0.39985E+00   -0.82744E+01    0.57562E+07    0.90473E+04
    77    0.19882E+04    0.41385E+00   -0.87784E+01    0.57249E+07    0.89199E+04
    78    0.20135E+04    0.42806E+00   -0.92944E+01    0.56936E+07    0.87954E+04
    79    0.20390E+04    0.44240E+00   -0.98188E+01    0.56621E+07    0.86736E+04
    80    0.20648E+04    0.45690E+00   -0.10353E+02    0.56306E+07    0.85539E+04
    81    0.20908E+04    0.47149E+00   -0.10898E+02    0.55991E+07    0.84359E+04
    82    0.21170E+04    0.48620E+00   -0.11452E+02    0.55675E+07    0.83194E+04
    83    0.21434E+04    0.50100E+00   -0.12015E+02    0.55360E+07    0.82043E+04
    84    0.21701E+04    0.51588E+00   -0.12586E+02    0.55044E+07    0.80904E+04
    85    0.21969E+04    0.53083E+00   -0.13164E+02    0.54729E+07    0.79776E+04
    86    0.22239E+04    0.54585E+00   -0.13750E+02    0.54415E+07    0.78658E+04
    87    0.22513E+04    0.56091E+00   -0.14342E+02    0.54101E+07    0.77554E+04
    88    0.22787E+04    0.57603E+00   -0.14940E+02    0.53787E+07    0.76467E+04
    89    0.23065E+04    0.59119E+00   -0.15547E+02    0.53475E+07    0.75401E+04
    90    0.23345E+04    0.60637E+00   -0.16157E+02    0.53163E+07    0.74360E+04
    91    0.23626E+04    0.62154E+00   -0.16774E+02    0.52852E+07    0.73347E+04
    92    0.23910E+04    0.63670E+00   -0.17395E+02    0.52542E+07    0.72361E+04
    93    0.24197E+04    0.65184E+00   -0.18021E+02    0.52234E+07    0.71402E+04
    94    0.24484E+04    0.66693E+00   -0.18650E+02    0.51926E+07    0.70468E+04
    95    0.24775E+04    0.68196E+00   -0.19284E+02    0.51619E+07    0.69558E+04
    96    0.25065E+04    0.69691E+00   -0.19921E+02    0.51313E+07    0.68673E+04
    97    0.25360E+04    0.71178E+00   -0.20560E+02    0.51009E+07    0.67809E+04
    98    0.25657E+04    0.72655E+00   -0.21201E+02    0.50706E+07    0.66967E+04
    99    0.25955E+04    0.74120E+00   -0.21845E+02    0.50404E+07    0.66146E+04
   100    0.26256E+04    0.75571E+00   -0.22488E+02    0.50103E+07    0.65344E+04
   101    0.26558E+04    0.77016E+00   -0.23134E+02    0.49804E+07    0.64560E+04
   102    0.26865E+04    0.78438E+00   -0.23779E+02    0.49506E+07    0.63794E+04
   103    0.27172E+04    0.79846E+00   -0.24426E+02    0.49209E+07    0.63044E+04
   104    0.27481E+04    0.81240E+00   -0.25070E+02    0.48914E+07    0.62309E+04
   105    0.27791E+04    0.82611E+00   -0.25714E+02    0.48621E+07    0.61589E+04
   106    0.28104E+04    0.83969E+00   -0.26356E+02    0.48329E+07    0.60882E+04
   107    0.28416E+04    0.85297E+00   -0.26996E+02    0.48038E+07    0.60187E+04
   108    0.28732E+04    0.86603E+00   -0.27634E+02    0.47749E+07    0.59504E+04
   109    0.29050E+04    0.87880E+00   -0.28268E+02    0.47462E+07    0.58831E+04
   110    0.29368E+04    0.89128E+00   -0.28898E+02    0.47177E+07    0.58167E+04
   111    0.29688E+04    0.90354E+00   -0.29525E+02    0.46893E+07    0.57511E+04
   112    0.30009E+04    0.91551E+00   -0.30147E+02    0.46611E+07    0.56864E+04
   113    0.30333E+04    0.92718E+00   -0.30764E+02    0.46331E+07    0.56225E+04
   114    0.30657E+04    0.93849E+00   -0.31375E+02    0.46052E+07    0.55595E+04
   115    0.30984E+04    0.94959E+00   -0.31980E+02    0.45776E+07    0.54973E+04
   116    0.31311E+04    0.96024E+00   -0.32577E+02    0.45501E+07    0.54360E+04
   117    0.31641E+04    0.97052E+00   -0.33166E+02    0.45228E+07    0.53755E+04
   118    0.31972E+04    0.98059E+00   -0.33749E+02    0.44956E+07    0.53159E+04
   119    0.32304E+04    0.99028E+00   -0.34322E+02    0.44687E+07    0.52571E+04
   120    0.32637E+04    0.99947E+00   -0.34885E+02    0.44419E+07    0.51993E+04
   121    0.32970E+04    0.10084E+01   -0.35439E+02    0.44153E+07    0.51423E+04
   122    0.33304E+04    0.10169E+01   -0.35983E+02    0.43889E+07    0.50862E+04
   123    0.33639E+04    0.10249E+01   -0.36517E+02    0.43626E+07    0.50310E+04
   124    0.33974E+04    0.10325E+01   -0.37037E+02    0.43366E+07    0.49767E+04
   125    0.34310E+04    0.10397E+01   -0.37546E+02    0.43107E+07    0.49234E+04
   126    0.34646E+04    0.10465E+01   -0.38044E+02    0.42850E+07    0.48709E+04
   127    0.34983E+04    0.10528E+01   -0.38528E+02    0.42595E+07    0.48194E+04
   128    0.35320E+04    0.10588E+01   -0.39000E+02    0.42342E+07    0.47688E+04
   129    0.35657E+04    0.10642E+01   -0.39457E+02    0.42091E+07    0.47191E+04
   130    0.35994E+04    0.10691E+01   -0.39900E+02    0.41841E+07    0.46703E+04
   131    0.36332E+04    0.10736E+01   -0.40329E+02    0.41594E+07    0.46225E+04
   132    0.36670E+04    0.10776E+01   -0.40741E+02    0.41348E+07    0.45757E+04
   133    0.37007E+04    0.10812E+01   -0.41140E+02    0.41104E+07    0.45297E+04
   134    0.37345E+04    0.10843E+01   -0.41519E+02    0.40862E+07    0.44845E+04
   135    0.37683E+04    0.10869E+01   -0.41884E+02    0.40622E+07    0.44402E+04
   136    0.38019E+04    0.10890E+01   -0.42229E+02    0.40383E+07    0.43967E+04
   137    0.38355E+04    0.10907E+01   -0.42557E+02    0.40147E+07    0.43539E+04
   138    0.38691E+04    0.10918E+01   -0.42866E+02    0.39912E+07    0.43118E+04
   139    0.39024E+04    0.10926E+01   -0.43157E+02    0.39679E+07    0.42705E+04
   140    0.39359E+04    0.10927E+01   -0.43429E+02    0.39447E+07    0.42298E+04
   141    0.39691E+04    0.10924E+01   -0.43680E+02    0.39218E+07    0.41897E+04
   142    0.40023E+04    0.10916E+01   -0.43911E+02    0.38990E+07    0.41502E+04
   143    0.40355E+04    0.10903E+01   -0.44123E+02    0.38764E+07    0.41113E+04
   144    0.40684E+04    0.10886E+01   -0.44314E+02    0.38539E+07    0.40729E+04
