#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10809E+04    0.51280E-01    0.00000E+00    0.34672E+01    0.53248E-07    0.31655E-02   -0.16099E-04
     3    0.10214E+04    0.85702E-01    0.00000E+00    0.43300E+01    0.64827E-07    0.31842E-02   -0.19887E-04
     4    0.96155E+03    0.98968E-01    0.00000E+00    0.44689E+01    0.74721E-07    0.31242E-02   -0.20323E-04
     5    0.91433E+03    0.90553E-01    0.00000E+00    0.41717E+01    0.83317E-07    0.30326E-02   -0.18291E-04
     6    0.87968E+03    0.69293E-01    0.00000E+00    0.36633E+01    0.90828E-07    0.29288E-02   -0.14609E-04
     7    0.85563E+03    0.45741E-01    0.00000E+00    0.30876E+01    0.97450E-07    0.28231E-02   -0.10088E-04
     8    0.83962E+03    0.27101E-01    0.00000E+00    0.25334E+01    0.10332E-06    0.27167E-02   -0.54964E-05
     9    0.82987E+03    0.15782E-01    0.00000E+00    0.20473E+01    0.10855E-06    0.26094E-02   -0.14802E-05
    10    0.82502E+03    0.10606E-01    0.00000E+00    0.16559E+01    0.11321E-06    0.25039E-02    0.15634E-05
    11    0.82371E+03    0.89269E-02    0.00000E+00    0.13708E+01    0.11742E-06    0.24056E-02    0.35100E-05
    12    0.82613E+03    0.84275E-02    0.00000E+00    0.11948E+01    0.12117E-06    0.23163E-02    0.43755E-05
    13    0.83051E+03    0.78127E-02    0.00000E+00    0.11092E+01    0.12454E-06    0.22348E-02    0.42483E-05
    14    0.83591E+03    0.69268E-02    0.00000E+00    0.10894E+01    0.12757E-06    0.21598E-02    0.32807E-05
    15    0.84268E+03    0.60736E-02    0.00000E+00    0.11172E+01    0.13029E-06    0.20885E-02    0.18540E-05
    16    0.85126E+03    0.55692E-02    0.00000E+00    0.11768E+01    0.13273E-06    0.20190E-02    0.36261E-06
    17    0.86155E+03    0.55422E-02    0.00000E+00    0.12516E+01    0.13493E-06    0.19525E-02   -0.94152E-06
    18    0.87257E+03    0.58494E-02    0.00000E+00    0.13280E+01    0.13691E-06    0.18905E-02   -0.18894E-05
    19    0.88514E+03    0.62963E-02    0.00000E+00    0.13981E+01    0.13867E-06    0.18322E-02   -0.24943E-05
    20    0.89760E+03    0.67672E-02    0.00000E+00    0.14544E+01    0.14024E-06    0.17766E-02   -0.27933E-05
    21    0.91030E+03    0.72451E-02    0.00000E+00    0.15006E+01    0.14164E-06    0.17230E-02   -0.27436E-05
    22    0.92354E+03    0.78269E-02    0.00000E+00    0.15412E+01    0.14288E-06    0.16711E-02   -0.23267E-05
