#           k/h    P           
    0.10000E-03    0.84017E+02
    0.10202E-03    0.85655E+02
    0.10408E-03    0.87325E+02
    0.10618E-03    0.89028E+02
    0.10833E-03    0.90764E+02
    0.11052E-03    0.92534E+02
    0.11275E-03    0.94338E+02
    0.11503E-03    0.96177E+02
    0.11735E-03    0.98052E+02
    0.11972E-03    0.99964E+02
    0.12214E-03    0.10191E+03
    0.12461E-03    0.10390E+03
    0.12712E-03    0.10593E+03
    0.12969E-03    0.10799E+03
    0.13231E-03    0.11010E+03
    0.13499E-03    0.11224E+03
    0.13771E-03    0.11443E+03
    0.14049E-03    0.11666E+03
    0.14333E-03    0.11893E+03
    0.14623E-03    0.12125E+03
    0.14918E-03    0.12361E+03
    0.15220E-03    0.12602E+03
    0.15527E-03    0.12848E+03
    0.15841E-03    0.13098E+03
    0.16161E-03    0.13354E+03
    0.16487E-03    0.13614E+03
    0.16820E-03    0.13879E+03
    0.17160E-03    0.14150E+03
    0.17507E-03    0.14425E+03
    0.17860E-03    0.14706E+03
    0.18221E-03    0.14993E+03
    0.18589E-03    0.15285E+03
    0.18965E-03    0.15582E+03
    0.19348E-03    0.15886E+03
    0.19739E-03    0.16195E+03
    0.20138E-03    0.16511E+03
    0.20544E-03    0.16832E+03
    0.20959E-03    0.17160E+03
    0.21383E-03    0.17494E+03
    0.21815E-03    0.17835E+03
    0.22255E-03    0.18182E+03
    0.22705E-03    0.18536E+03
    0.23164E-03    0.18897E+03
    0.23632E-03    0.19265E+03
    0.24109E-03    0.19639E+03
    0.24596E-03    0.20022E+03
    0.25093E-03    0.20411E+03
    0.25600E-03    0.20808E+03
    0.26117E-03    0.21213E+03
    0.26645E-03    0.21626E+03
    0.27183E-03    0.22046E+03
    0.27732E-03    0.22475E+03
    0.28292E-03    0.22912E+03
    0.28864E-03    0.23358E+03
    0.29447E-03    0.23812E+03
    0.30042E-03    0.24274E+03
    0.30649E-03    0.24746E+03
    0.31268E-03    0.25227E+03
    0.31899E-03    0.25717E+03
    0.32544E-03    0.26217E+03
    0.33201E-03    0.26726E+03
    0.33872E-03    0.27245E+03
    0.34556E-03    0.27774E+03
    0.35254E-03    0.28313E+03
    0.35966E-03    0.28862E+03
    0.36693E-03    0.29422E+03
    0.37434E-03    0.29993E+03
    0.38190E-03    0.30575E+03
    0.38962E-03    0.31167E+03
    0.39749E-03    0.31771E+03
    0.40552E-03    0.32387E+03
    0.41371E-03    0.33015E+03
    0.42207E-03    0.33654E+03
    0.43060E-03    0.34306E+03
    0.43929E-03    0.34970E+03
    0.44817E-03    0.35647E+03
    0.45722E-03    0.36336E+03
    0.46646E-03    0.37039E+03
    0.47588E-03    0.37755E+03
    0.48550E-03    0.38485E+03
    0.49530E-03    0.39229E+03
    0.50531E-03    0.39986E+03
    0.51552E-03    0.40758E+03
    0.52593E-03    0.41545E+03
    0.53656E-03    0.42346E+03
    0.54739E-03    0.43163E+03
    0.55845E-03    0.43995E+03
    0.56973E-03    0.44842E+03
    0.58124E-03    0.45706E+03
    0.59299E-03    0.46586E+03
    0.60496E-03    0.47482E+03
    0.61719E-03    0.48395E+03
    0.62965E-03    0.49325E+03
    0.64237E-03    0.50272E+03
    0.65535E-03    0.51237E+03
    0.66859E-03    0.52220E+03
    0.68210E-03    0.53221E+03
    0.69588E-03    0.54241E+03
    0.70993E-03    0.55279E+03
    0.72427E-03    0.56337E+03
    0.73891E-03    0.57414E+03
    0.75383E-03    0.58511E+03
    0.76906E-03    0.59628E+03
    0.78460E-03    0.60766E+03
    0.80045E-03    0.61924E+03
    0.81662E-03    0.63104E+03
    0.83311E-03    0.64305E+03
    0.84994E-03    0.65528E+03
    0.86711E-03    0.66773E+03
    0.88463E-03    0.68040E+03
    0.90250E-03    0.69331E+03
    0.92073E-03    0.70644E+03
    0.93933E-03    0.71981E+03
    0.95831E-03    0.73342E+03
    0.97767E-03    0.74727E+03
    0.99742E-03    0.76137E+03
    0.10176E-02    0.77572E+03
    0.10381E-02    0.79033E+03
    0.10591E-02    0.80519E+03
    0.10805E-02    0.82031E+03
    0.11023E-02    0.83569E+03
    0.11246E-02    0.85135E+03
    0.11473E-02    0.86728E+03
    0.11705E-02    0.88348E+03
    0.11941E-02    0.89997E+03
    0.12182E-02    0.91674E+03
    0.12429E-02    0.93379E+03
    0.12680E-02    0.95114E+03
    0.12936E-02    0.96879E+03
    0.13197E-02    0.98673E+03
    0.13464E-02    0.10050E+04
    0.13736E-02    0.10235E+04
    0.14013E-02    0.10424E+04
    0.14296E-02    0.10616E+04
    0.14585E-02    0.10811E+04
    0.14880E-02    0.11009E+04
    0.15180E-02    0.11211E+04
    0.15487E-02    0.11415E+04
    0.15800E-02    0.11623E+04
    0.16119E-02    0.11835E+04
    0.16445E-02    0.12050E+04
    0.16777E-02    0.12268E+04
    0.17116E-02    0.12490E+04
    0.17462E-02    0.12715E+04
    0.17814E-02    0.12944E+04
    0.18174E-02    0.13177E+04
    0.18541E-02    0.13413E+04
    0.18916E-02    0.13653E+04
    0.19298E-02    0.13896E+04
    0.19688E-02    0.14143E+04
    0.20086E-02    0.14394E+04
    0.20491E-02    0.14649E+04
    0.20905E-02    0.14907E+04
    0.21328E-02    0.15170E+04
    0.21758E-02    0.15436E+04
    0.22198E-02    0.15706E+04
    0.22646E-02    0.15980E+04
    0.23104E-02    0.16257E+04
    0.23571E-02    0.16539E+04
    0.24047E-02    0.16825E+04
    0.24533E-02    0.17114E+04
    0.25028E-02    0.17408E+04
    0.25534E-02    0.17705E+04
    0.26050E-02    0.18007E+04
    0.26576E-02    0.18313E+04
    0.27113E-02    0.18622E+04
    0.27660E-02    0.18936E+04
    0.28219E-02    0.19253E+04
    0.28789E-02    0.19575E+04
    0.29371E-02    0.19900E+04
    0.29964E-02    0.20230E+04
    0.30569E-02    0.20563E+04
    0.31187E-02    0.20901E+04
    0.31817E-02    0.21242E+04
    0.32460E-02    0.21588E+04
    0.33115E-02    0.21937E+04
    0.33784E-02    0.22290E+04
    0.34467E-02    0.22647E+04
    0.35163E-02    0.23008E+04
    0.35874E-02    0.23373E+04
    0.36598E-02    0.23741E+04
    0.37338E-02    0.24113E+04
    0.38092E-02    0.24489E+04
    0.38861E-02    0.24868E+04
    0.39646E-02    0.25251E+04
    0.40447E-02    0.25637E+04
    0.41264E-02    0.26027E+04
    0.42098E-02    0.26420E+04
    0.42948E-02    0.26816E+04
    0.43816E-02    0.27216E+04
    0.44701E-02    0.27618E+04
    0.45604E-02    0.28024E+04
    0.46525E-02    0.28432E+04
    0.47465E-02    0.28843E+04
    0.48424E-02    0.29257E+04
    0.49402E-02    0.29673E+04
    0.50400E-02    0.30092E+04
    0.51419E-02    0.30513E+04
    0.52457E-02    0.30936E+04
    0.53517E-02    0.31361E+04
    0.54598E-02    0.31788E+04
    0.55701E-02    0.32216E+04
    0.56826E-02    0.32647E+04
    0.57974E-02    0.33078E+04
    0.59145E-02    0.33511E+04
    0.60340E-02    0.33944E+04
    0.61559E-02    0.34378E+04
    0.62803E-02    0.34813E+04
    0.64072E-02    0.35249E+04
    0.65366E-02    0.35684E+04
    0.66686E-02    0.36119E+04
    0.68033E-02    0.36554E+04
    0.69408E-02    0.36988E+04
    0.70810E-02    0.37421E+04
    0.72240E-02    0.37854E+04
    0.73700E-02    0.38284E+04
    0.75189E-02    0.38713E+04
    0.76708E-02    0.39141E+04
    0.78257E-02    0.39565E+04
    0.79838E-02    0.39987E+04
    0.81451E-02    0.40407E+04
    0.83096E-02    0.40822E+04
    0.84775E-02    0.41235E+04
    0.86488E-02    0.41643E+04
    0.88235E-02    0.42046E+04
    0.90017E-02    0.42446E+04
    0.91836E-02    0.42839E+04
    0.93691E-02    0.43228E+04
    0.95583E-02    0.43610E+04
    0.97514E-02    0.43986E+04
    0.99484E-02    0.44355E+04
    0.10149E-01    0.44717E+04
    0.10354E-01    0.45071E+04
    0.10564E-01    0.45417E+04
    0.10777E-01    0.45755E+04
    0.10995E-01    0.46083E+04
    0.11217E-01    0.46402E+04
    0.11443E-01    0.46710E+04
    0.11675E-01    0.47008E+04
    0.11910E-01    0.47295E+04
    0.12151E-01    0.47570E+04
    0.12397E-01    0.47833E+04
    0.12647E-01    0.48084E+04
    0.12902E-01    0.48321E+04
    0.13163E-01    0.48544E+04
    0.13429E-01    0.48753E+04
    0.13700E-01    0.48947E+04
    0.13977E-01    0.49125E+04
    0.14259E-01    0.49288E+04
    0.14547E-01    0.49434E+04
    0.14841E-01    0.49563E+04
    0.15141E-01    0.49674E+04
    0.15447E-01    0.49767E+04
    0.15759E-01    0.49841E+04
    0.16077E-01    0.49897E+04
    0.16402E-01    0.49932E+04
    0.16734E-01    0.49947E+04
    0.17072E-01    0.49942E+04
    0.17416E-01    0.49916E+04
    0.17768E-01    0.49868E+04
    0.18127E-01    0.49798E+04
    0.18493E-01    0.49706E+04
    0.18867E-01    0.49591E+04
    0.19248E-01    0.49453E+04
    0.19637E-01    0.49292E+04
    0.20034E-01    0.49108E+04
    0.20438E-01    0.48900E+04
    0.20851E-01    0.48668E+04
    0.21272E-01    0.48412E+04
    0.21702E-01    0.48133E+04
    0.22141E-01    0.47830E+04
    0.22588E-01    0.47503E+04
    0.23044E-01    0.47153E+04
    0.23510E-01    0.46780E+04
    0.23985E-01    0.46383E+04
    0.24469E-01    0.45965E+04
    0.24964E-01    0.45524E+04
    0.25468E-01    0.45062E+04
    0.25982E-01    0.44579E+04
    0.26507E-01    0.44077E+04
    0.27043E-01    0.43555E+04
    0.27589E-01    0.43015E+04
    0.28146E-01    0.42459E+04
    0.28715E-01    0.41886E+04
    0.29295E-01    0.41298E+04
    0.29887E-01    0.40697E+04
    0.30490E-01    0.40083E+04
    0.31106E-01    0.39459E+04
    0.31735E-01    0.38826E+04
    0.32376E-01    0.38186E+04
    0.33030E-01    0.37539E+04
    0.33697E-01    0.36888E+04
    0.34378E-01    0.36235E+04
    0.35072E-01    0.35581E+04
    0.35781E-01    0.34928E+04
    0.36504E-01    0.34277E+04
    0.37241E-01    0.33631E+04
    0.37993E-01    0.32992E+04
    0.38761E-01    0.32362E+04
    0.39544E-01    0.31741E+04
    0.40343E-01    0.31133E+04
    0.41158E-01    0.30537E+04
    0.41989E-01    0.29955E+04
    0.42838E-01    0.29387E+04
    0.43703E-01    0.28834E+04
    0.44586E-01    0.28296E+04
    0.45486E-01    0.27777E+04
    0.46405E-01    0.27278E+04
    0.47343E-01    0.26800E+04
    0.48299E-01    0.26346E+04
    0.49275E-01    0.25915E+04
    0.50270E-01    0.25504E+04
    0.51286E-01    0.25113E+04
    0.52322E-01    0.24738E+04
    0.53379E-01    0.24378E+04
    0.54457E-01    0.24031E+04
    0.55557E-01    0.23698E+04
    0.56680E-01    0.23377E+04
    0.57825E-01    0.23066E+04
    0.58993E-01    0.22763E+04
    0.60184E-01    0.22465E+04
    0.61400E-01    0.22168E+04
    0.62641E-01    0.21870E+04
    0.63906E-01    0.21566E+04
    0.65197E-01    0.21255E+04
    0.66514E-01    0.20934E+04
    0.67858E-01    0.20598E+04
    0.69229E-01    0.20247E+04
    0.70627E-01    0.19877E+04
    0.72054E-01    0.19487E+04
    0.73510E-01    0.19075E+04
    0.74994E-01    0.18642E+04
    0.76509E-01    0.18186E+04
    0.78055E-01    0.17710E+04
    0.79632E-01    0.17216E+04
    0.81241E-01    0.16706E+04
    0.82882E-01    0.16184E+04
    0.84556E-01    0.15653E+04
    0.86264E-01    0.15119E+04
    0.88007E-01    0.14586E+04
    0.89785E-01    0.14058E+04
    0.91598E-01    0.13541E+04
    0.93449E-01    0.13039E+04
    0.95337E-01    0.12558E+04
    0.97263E-01    0.12103E+04
    0.99227E-01    0.11677E+04
    0.10123E+00    0.11283E+04
    0.10328E+00    0.10925E+04
    0.10536E+00    0.10603E+04
    0.10749E+00    0.10317E+04
    0.10966E+00    0.10063E+04
    0.11188E+00    0.98395E+03
    0.11414E+00    0.96404E+03
    0.11644E+00    0.94604E+03
    0.11880E+00    0.92929E+03
    0.12120E+00    0.91315E+03
    0.12365E+00    0.89697E+03
    0.12614E+00    0.88010E+03
    0.12869E+00    0.86199E+03
    0.13129E+00    0.84214E+03
    0.13394E+00    0.82025E+03
    0.13665E+00    0.79614E+03
    0.13941E+00    0.76995E+03
    0.14223E+00    0.74196E+03
    0.14510E+00    0.71268E+03
    0.14803E+00    0.68273E+03
    0.15102E+00    0.65282E+03
    0.15407E+00    0.62364E+03
    0.15718E+00    0.59594E+03
    0.16036E+00    0.57033E+03
    0.16360E+00    0.54735E+03
    0.16690E+00    0.52726E+03
    0.17028E+00    0.51009E+03
    0.17371E+00    0.49553E+03
    0.17722E+00    0.48308E+03
    0.18080E+00    0.47205E+03
    0.18446E+00    0.46175E+03
    0.18818E+00    0.45147E+03
    0.19198E+00    0.44056E+03
    0.19586E+00    0.42846E+03
    0.19982E+00    0.41486E+03
    0.20386E+00    0.39976E+03
    0.20797E+00    0.38349E+03
    0.21218E+00    0.36663E+03
    0.21646E+00    0.34986E+03
    0.22083E+00    0.33384E+03
    0.22530E+00    0.31912E+03
    0.22985E+00    0.30607E+03
    0.23449E+00    0.29482E+03
    0.23923E+00    0.28520E+03
    0.24406E+00    0.27685E+03
    0.24899E+00    0.26922E+03
    0.25402E+00    0.26173E+03
    0.25915E+00    0.25382E+03
    0.26439E+00    0.24516E+03
    0.26973E+00    0.23575E+03
    0.27518E+00    0.22586E+03
    0.28074E+00    0.21588E+03
    0.28641E+00    0.20625E+03
    0.29219E+00    0.19736E+03
    0.29810E+00    0.18947E+03
    0.30412E+00    0.18255E+03
    0.31026E+00    0.17637E+03
    0.31653E+00    0.17058E+03
    0.32292E+00    0.16484E+03
    0.32945E+00    0.15888E+03
    0.33610E+00    0.15262E+03
    0.34289E+00    0.14621E+03
    0.34982E+00    0.13989E+03
    0.35689E+00    0.13392E+03
    0.36409E+00    0.12846E+03
    0.37145E+00    0.12350E+03
    0.37895E+00    0.11893E+03
    0.38661E+00    0.11455E+03
    0.39442E+00    0.11019E+03
    0.40239E+00    0.10577E+03
    0.41052E+00    0.10135E+03
    0.41881E+00    0.97054E+02
    0.42727E+00    0.92996E+02
    0.43590E+00    0.89218E+02
    0.44471E+00    0.85694E+02
    0.45369E+00    0.82317E+02
    0.46286E+00    0.79015E+02
    0.47221E+00    0.75757E+02
    0.48174E+00    0.72566E+02
    0.49148E+00    0.69513E+02
    0.50141E+00    0.66620E+02
    0.51153E+00    0.63884E+02
    0.52187E+00    0.61266E+02
    0.53241E+00    0.58726E+02
    0.54317E+00    0.56257E+02
    0.55414E+00    0.53871E+02
    0.56533E+00    0.51594E+02
    0.57675E+00    0.49422E+02
    0.58840E+00    0.47340E+02
    0.60029E+00    0.45335E+02
    0.61242E+00    0.43406E+02
    0.62479E+00    0.41553E+02
    0.63741E+00    0.39776E+02
    0.65029E+00    0.38071E+02
    0.66342E+00    0.36436E+02
    0.67683E+00    0.34868E+02
    0.69050E+00    0.33364E+02
    0.70445E+00    0.31923E+02
    0.71868E+00    0.30540E+02
    0.73320E+00    0.29215E+02
    0.74801E+00    0.27944E+02
    0.76312E+00    0.26726E+02
    0.77854E+00    0.25559E+02
    0.79426E+00    0.24439E+02
    0.81031E+00    0.23367E+02
    0.82668E+00    0.22339E+02
    0.84338E+00    0.21354E+02
    0.86041E+00    0.20410E+02
    0.87780E+00    0.19507E+02
    0.89553E+00    0.18641E+02
    0.91362E+00    0.17812E+02
    0.93208E+00    0.17019E+02
    0.95091E+00    0.16260E+02
    0.97011E+00    0.15533E+02
    0.98971E+00    0.14837E+02
    0.10097E+01    0.14171E+02
    0.10301E+01    0.13534E+02
    0.10509E+01    0.12925E+02
    0.10721E+01    0.12341E+02
    0.10938E+01    0.11784E+02
    0.11159E+01    0.11250E+02
    0.11384E+01    0.10740E+02
    0.11614E+01    0.10252E+02
    0.11849E+01    0.97852E+01
    0.12088E+01    0.93391E+01
    0.12333E+01    0.89126E+01
    0.12582E+01    0.85049E+01
    0.12836E+01    0.81152E+01
    0.13095E+01    0.77428E+01
    0.13360E+01    0.73869E+01
