#    L    TT             EE             BB             TE          
    91    0.23650E+04    0.62373E+00    0.26270E-02   -0.16768E+02
    92    0.23934E+04    0.63893E+00    0.26856E-02   -0.17388E+02
    93    0.24221E+04    0.65410E+00    0.27448E-02   -0.18013E+02
    94    0.24509E+04    0.66922E+00    0.28047E-02   -0.18642E+02
    95    0.24800E+04    0.68429E+00    0.28653E-02   -0.19274E+02
    96    0.25091E+04    0.69928E+00    0.29266E-02   -0.19910E+02
    97    0.25386E+04    0.71418E+00    0.29886E-02   -0.20549E+02
    98    0.25683E+04    0.72900E+00    0.30514E-02   -0.21188E+02
    99    0.25981E+04    0.74368E+00    0.31148E-02   -0.21831E+02
   100    0.26282E+04    0.75823E+00    0.31790E-02   -0.22473E+02
   101    0.26584E+04    0.77271E+00    0.32439E-02   -0.23117E+02
   102    0.26892E+04    0.78697E+00    0.33095E-02   -0.23761E+02
   103    0.27198E+04    0.80109E+00    0.33759E-02   -0.24406E+02
   104    0.27507E+04    0.81506E+00    0.34430E-02   -0.25049E+02
   105    0.27818E+04    0.82882E+00    0.35108E-02   -0.25691E+02
   106    0.28131E+04    0.84243E+00    0.35794E-02   -0.26332E+02
   107    0.28443E+04    0.85575E+00    0.36487E-02   -0.26970E+02
   108    0.28759E+04    0.86885E+00    0.37188E-02   -0.27606E+02
   109    0.29076E+04    0.88167E+00    0.37897E-02   -0.28239E+02
   110    0.29394E+04    0.89419E+00    0.38613E-02   -0.28867E+02
   111    0.29714E+04    0.90649E+00    0.39336E-02   -0.29492E+02
   112    0.30035E+04    0.91850E+00    0.40067E-02   -0.30112E+02
   113    0.30359E+04    0.93022E+00    0.40806E-02   -0.30727E+02
   114    0.30683E+04    0.94158E+00    0.41553E-02   -0.31336E+02
   115    0.31010E+04    0.95272E+00    0.42308E-02   -0.31938E+02
   116    0.31337E+04    0.96342E+00    0.43070E-02   -0.32534E+02
   117    0.31667E+04    0.97375E+00    0.43841E-02   -0.33121E+02
   118    0.31998E+04    0.98387E+00    0.44619E-02   -0.33701E+02
   119    0.32329E+04    0.99362E+00    0.45406E-02   -0.34271E+02
   120    0.32662E+04    0.10029E+01    0.46200E-02   -0.34832E+02
   121    0.32995E+04    0.10119E+01    0.47003E-02   -0.35384E+02
   122    0.33329E+04    0.10204E+01    0.47814E-02   -0.35925E+02
   123    0.33663E+04    0.10284E+01    0.48633E-02   -0.36456E+02
   124    0.33999E+04    0.10361E+01    0.49460E-02   -0.36974E+02
   125    0.34334E+04    0.10434E+01    0.50296E-02   -0.37481E+02
   126    0.34670E+04    0.10503E+01    0.51140E-02   -0.37975E+02
   127    0.35006E+04    0.10566E+01    0.51992E-02   -0.38457E+02
   128    0.35342E+04    0.10627E+01    0.52854E-02   -0.38926E+02
   129    0.35679E+04    0.10681E+01    0.53723E-02   -0.39381E+02
   130    0.36016E+04    0.10731E+01    0.54602E-02   -0.39820E+02
   131    0.36353E+04    0.10777E+01    0.55489E-02   -0.40246E+02
   132    0.36691E+04    0.10818E+01    0.56385E-02   -0.40656E+02
   133    0.37028E+04    0.10855E+01    0.57290E-02   -0.41051E+02
   134    0.37365E+04    0.10887E+01    0.58204E-02   -0.41428E+02
   135    0.37702E+04    0.10914E+01    0.59127E-02   -0.41789E+02
   136    0.38038E+04    0.10936E+01    0.60059E-02   -0.42131E+02
   137    0.38374E+04    0.10953E+01    0.61001E-02   -0.42456E+02
   138    0.38709E+04    0.10965E+01    0.61952E-02   -0.42763E+02
   139    0.39042E+04    0.10974E+01    0.62912E-02   -0.43050E+02
   140    0.39376E+04    0.10976E+01    0.63881E-02   -0.43318E+02
   141    0.39707E+04    0.10974E+01    0.64860E-02   -0.43567E+02
   142    0.40039E+04    0.10967E+01    0.65849E-02   -0.43795E+02
   143    0.40370E+04    0.10956E+01    0.66847E-02   -0.44003E+02
   144    0.40699E+04    0.10939E+01    0.67855E-02   -0.44191E+02
   145    0.41026E+04    0.10919E+01    0.68873E-02   -0.44358E+02
   146    0.41354E+04    0.10893E+01    0.69900E-02   -0.44503E+02
   147    0.41679E+04    0.10864E+01    0.70938E-02   -0.44625E+02
   148    0.42003E+04    0.10829E+01    0.71986E-02   -0.44727E+02
   149    0.42325E+04    0.10790E+01    0.73043E-02   -0.44806E+02
   150    0.42645E+04    0.10747E+01    0.74111E-02   -0.44860E+02
   151    0.42964E+04    0.10699E+01    0.75189E-02   -0.44892E+02
   152    0.43279E+04    0.10647E+01    0.76278E-02   -0.44900E+02
   153    0.43594E+04    0.10591E+01    0.77376E-02   -0.44883E+02
   154    0.43906E+04    0.10531E+01    0.78485E-02   -0.44843E+02
   155    0.44216E+04    0.10468E+01    0.79605E-02   -0.44779E+02
   156    0.44522E+04    0.10401E+01    0.80734E-02   -0.44690E+02
   157    0.44828E+04    0.10330E+01    0.81875E-02   -0.44576E+02
   158    0.45131E+04    0.10256E+01    0.83025E-02   -0.44437E+02
   159    0.45431E+04    0.10178E+01    0.84187E-02   -0.44273E+02
   160    0.45728E+04    0.10097E+01    0.85359E-02   -0.44082E+02
   161    0.46024E+04    0.10014E+01    0.86541E-02   -0.43867E+02
   162    0.46316E+04    0.99271E+00    0.87734E-02   -0.43626E+02
   163    0.46607E+04    0.98373E+00    0.88938E-02   -0.43359E+02
   164    0.46894E+04    0.97453E+00    0.90153E-02   -0.43067E+02
   165    0.47179E+04    0.96504E+00    0.91377E-02   -0.42748E+02
   166    0.47461E+04    0.95540E+00    0.92613E-02   -0.42403E+02
   167    0.47740E+04    0.94540E+00    0.93859E-02   -0.42032E+02
   168    0.48016E+04    0.93540E+00    0.95116E-02   -0.41635E+02
   169    0.48288E+04    0.92511E+00    0.96383E-02   -0.41210E+02
   170    0.48557E+04    0.91474E+00    0.97661E-02   -0.40759E+02
   171    0.48821E+04    0.90431E+00    0.98949E-02   -0.40280E+02
   172    0.49082E+04    0.89373E+00    0.10025E-01   -0.39775E+02
   173    0.49338E+04    0.88300E+00    0.10156E-01   -0.39242E+02
   174    0.49591E+04    0.87243E+00    0.10288E-01   -0.38684E+02
   175    0.49840E+04    0.86171E+00    0.10421E-01   -0.38097E+02
   176    0.50083E+04    0.85106E+00    0.10555E-01   -0.37483E+02
   177    0.50323E+04    0.84042E+00    0.10690E-01   -0.36844E+02
   178    0.50558E+04    0.83001E+00    0.10826E-01   -0.36177E+02
   179    0.50789E+04    0.81952E+00    0.10963E-01   -0.35482E+02
   180    0.51016E+04    0.80918E+00    0.11101E-01   -0.34761E+02
   181    0.51239E+04    0.79899E+00    0.11240E-01   -0.34015E+02
   182    0.51456E+04    0.78902E+00    0.11380E-01   -0.33241E+02
   183    0.51669E+04    0.77920E+00    0.11521E-01   -0.32441E+02
   184    0.51877E+04    0.76960E+00    0.11663E-01   -0.31615E+02
   185    0.52081E+04    0.76038E+00    0.11806E-01   -0.30764E+02
   186    0.52277E+04    0.75138E+00    0.11950E-01   -0.29886E+02
   187    0.52471E+04    0.74275E+00    0.12095E-01   -0.28981E+02
   188    0.52660E+04    0.73448E+00    0.12241E-01   -0.28053E+02
   189    0.52842E+04    0.72660E+00    0.12387E-01   -0.27099E+02
   190    0.53024E+04    0.71916E+00    0.12535E-01   -0.26121E+02
   191    0.53196E+04    0.71218E+00    0.12684E-01   -0.25116E+02
   192    0.53365E+04    0.70569E+00    0.12833E-01   -0.24087E+02
   193    0.53528E+04    0.69974E+00    0.12983E-01   -0.23035E+02
   194    0.53686E+04    0.69434E+00    0.13134E-01   -0.21958E+02
   195    0.53839E+04    0.68953E+00    0.13287E-01   -0.20859E+02
   196    0.53987E+04    0.68536E+00    0.13439E-01   -0.19735E+02
   197    0.54129E+04    0.68187E+00    0.13593E-01   -0.18590E+02
   198    0.54267E+04    0.67908E+00    0.13748E-01   -0.17422E+02
   199    0.54399E+04    0.67702E+00    0.13903E-01   -0.16232E+02
   200    0.54526E+04    0.67572E+00    0.14059E-01   -0.15020E+02
   201    0.54647E+04    0.67525E+00    0.14216E-01   -0.13786E+02
   202    0.54763E+04    0.67561E+00    0.14374E-01   -0.12532E+02
   203    0.54874E+04    0.67686E+00    0.14533E-01   -0.11257E+02
   204    0.54977E+04    0.67902E+00    0.14692E-01   -0.99627E+01
   205    0.55076E+04    0.68213E+00    0.14852E-01   -0.86483E+01
   206    0.55167E+04    0.68624E+00    0.15013E-01   -0.73145E+01
   207    0.55254E+04    0.69136E+00    0.15174E-01   -0.59618E+01
   208    0.55333E+04    0.69755E+00    0.15337E-01   -0.45908E+01
   209    0.55407E+04    0.70483E+00    0.15500E-01   -0.32017E+01
   210    0.55474E+04    0.71325E+00    0.15663E-01   -0.17956E+01
   211    0.55536E+04    0.72284E+00    0.15828E-01   -0.37241E+00
   212    0.55590E+04    0.73362E+00    0.15992E-01    0.10669E+01
   213    0.55639E+04    0.74565E+00    0.16158E-01    0.25224E+01
   214    0.55681E+04    0.75891E+00    0.16324E-01    0.39928E+01
   215    0.55718E+04    0.77360E+00    0.16491E-01    0.54775E+01
   216    0.55748E+04    0.78954E+00    0.16658E-01    0.69769E+01
   217    0.55772E+04    0.80687E+00    0.16826E-01    0.84890E+01
   218    0.55790E+04    0.82559E+00    0.16995E-01    0.10014E+02
   219    0.55803E+04    0.84572E+00    0.17164E-01    0.11553E+02
   220    0.55809E+04    0.86738E+00    0.17334E-01    0.13102E+02
   221    0.55809E+04    0.89052E+00    0.17504E-01    0.14662E+02
   222    0.55804E+04    0.91528E+00    0.17675E-01    0.16233E+02
   223    0.55791E+04    0.94158E+00    0.17846E-01    0.17814E+02
   224    0.55774E+04    0.96942E+00    0.18017E-01    0.19403E+02
   225    0.55750E+04    0.99895E+00    0.18189E-01    0.21002E+02
   226    0.55720E+04    0.10302E+01    0.18362E-01    0.22608E+02
   227    0.55683E+04    0.10631E+01    0.18535E-01    0.24222E+02
   228    0.55642E+04    0.10977E+01    0.18708E-01    0.25842E+02
   229    0.55594E+04    0.11340E+01    0.18882E-01    0.27468E+02
   230    0.55540E+04    0.11722E+01    0.19056E-01    0.29099E+02
   231    0.55479E+04    0.12121E+01    0.19230E-01    0.30735E+02
   232    0.55413E+04    0.12539E+01    0.19405E-01    0.32375E+02
   233    0.55342E+04    0.12976E+01    0.19580E-01    0.34017E+02
   234    0.55262E+04    0.13431E+01    0.19755E-01    0.35662E+02
   235    0.55178E+04    0.13906E+01    0.19930E-01    0.37309E+02
   236    0.55087E+04    0.14399E+01    0.20106E-01    0.38957E+02
   237    0.54990E+04    0.14912E+01    0.20282E-01    0.40605E+02
   238    0.54887E+04    0.15446E+01    0.20458E-01    0.42252E+02
   239    0.54779E+04    0.15999E+01    0.20634E-01    0.43899E+02
   240    0.54664E+04    0.16572E+01    0.20810E-01    0.45543E+02
   241    0.54544E+04    0.17166E+01    0.20987E-01    0.47185E+02
   242    0.54418E+04    0.17780E+01    0.21163E-01    0.48824E+02
   243    0.54287E+04    0.18415E+01    0.21340E-01    0.50458E+02
   244    0.54149E+04    0.19071E+01    0.21516E-01    0.52089E+02
   245    0.54006E+04    0.19748E+01    0.21693E-01    0.53713E+02
   246    0.53858E+04    0.20446E+01    0.21869E-01    0.55332E+02
   247    0.53704E+04    0.21164E+01    0.22046E-01    0.56943E+02
   248    0.53544E+04    0.21907E+01    0.22223E-01    0.58547E+02
   249    0.53380E+04    0.22669E+01    0.22399E-01    0.60143E+02
   250    0.53211E+04    0.23454E+01    0.22575E-01    0.61730E+02
   251    0.53036E+04    0.24260E+01    0.22751E-01    0.63307E+02
   252    0.52855E+04    0.25088E+01    0.22928E-01    0.64875E+02
   253    0.52671E+04    0.25937E+01    0.23103E-01    0.66430E+02
   254    0.52482E+04    0.26809E+01    0.23279E-01    0.67974E+02
   255    0.52287E+04    0.27702E+01    0.23455E-01    0.69506E+02
   256    0.52087E+04    0.28619E+01    0.23630E-01    0.71026E+02
   257    0.51884E+04    0.29556E+01    0.23805E-01    0.72526E+02
   258    0.51675E+04    0.30516E+01    0.23980E-01    0.74019E+02
   259    0.51462E+04    0.31498E+01    0.24154E-01    0.75490E+02
   260    0.51245E+04    0.32502E+01    0.24328E-01    0.76953E+02
   261    0.51022E+04    0.33527E+01    0.24502E-01    0.78387E+02
   262    0.50795E+04    0.34576E+01    0.24675E-01    0.79813E+02
   263    0.50566E+04    0.35646E+01    0.24848E-01    0.81225E+02
   264    0.50332E+04    0.36737E+01    0.25021E-01    0.82615E+02
   265    0.50092E+04    0.37850E+01    0.25193E-01    0.83975E+02
   266    0.49849E+04    0.38987E+01    0.25365E-01    0.85328E+02
   267    0.49601E+04    0.40143E+01    0.25536E-01    0.86652E+02
   268    0.49350E+04    0.41323E+01    0.25707E-01    0.87960E+02
   269    0.49093E+04    0.42523E+01    0.25877E-01    0.89247E+02
   270    0.48834E+04    0.43744E+01    0.26047E-01    0.90511E+02
   271    0.48571E+04    0.44986E+01    0.26217E-01    0.91754E+02
   272    0.48305E+04    0.46251E+01    0.26386E-01    0.92967E+02
   273    0.48035E+04    0.47534E+01    0.26554E-01    0.94165E+02
   274    0.47763E+04    0.48840E+01    0.26722E-01    0.95327E+02
