#           k/h    P           
    0.10000E-03    0.49151E+00
    0.10202E-03    0.50110E+00
    0.10408E-03    0.51088E+00
    0.10618E-03    0.52084E+00
    0.10833E-03    0.53100E+00
    0.11052E-03    0.54135E+00
    0.11275E-03    0.55191E+00
    0.11503E-03    0.56268E+00
    0.11735E-03    0.57365E+00
    0.11972E-03    0.58484E+00
    0.12214E-03    0.59624E+00
    0.12461E-03    0.60787E+00
    0.12712E-03    0.61973E+00
    0.12969E-03    0.63181E+00
    0.13231E-03    0.64414E+00
    0.13499E-03    0.65670E+00
    0.13771E-03    0.66950E+00
    0.14049E-03    0.68256E+00
    0.14333E-03    0.69587E+00
    0.14623E-03    0.70944E+00
    0.14918E-03    0.72328E+00
    0.15220E-03    0.73738E+00
    0.15527E-03    0.75176E+00
    0.15841E-03    0.76642E+00
    0.16161E-03    0.78136E+00
    0.16487E-03    0.79660E+00
    0.16820E-03    0.81213E+00
    0.17160E-03    0.82796E+00
    0.17507E-03    0.84411E+00
    0.17860E-03    0.86057E+00
    0.18221E-03    0.87734E+00
    0.18589E-03    0.89445E+00
    0.18965E-03    0.91189E+00
    0.19348E-03    0.92967E+00
    0.19739E-03    0.94779E+00
    0.20138E-03    0.96627E+00
    0.20544E-03    0.98510E+00
    0.20959E-03    0.10043E+01
    0.21383E-03    0.10239E+01
    0.21815E-03    0.10438E+01
    0.22255E-03    0.10642E+01
    0.22705E-03    0.10849E+01
    0.23164E-03    0.11061E+01
    0.23632E-03    0.11276E+01
    0.24109E-03    0.11496E+01
    0.24596E-03    0.11720E+01
    0.25093E-03    0.11948E+01
    0.25600E-03    0.12181E+01
    0.26117E-03    0.12419E+01
    0.26645E-03    0.12661E+01
    0.27183E-03    0.12907E+01
    0.27732E-03    0.13159E+01
    0.28292E-03    0.13415E+01
    0.28864E-03    0.13676E+01
    0.29447E-03    0.13943E+01
    0.30042E-03    0.14214E+01
    0.30649E-03    0.14491E+01
    0.31268E-03    0.14773E+01
    0.31899E-03    0.15061E+01
    0.32544E-03    0.15354E+01
    0.33201E-03    0.15653E+01
    0.33872E-03    0.15958E+01
    0.34556E-03    0.16269E+01
    0.35254E-03    0.16586E+01
    0.35966E-03    0.16908E+01
    0.36693E-03    0.17238E+01
    0.37434E-03    0.17573E+01
    0.38190E-03    0.17915E+01
    0.38962E-03    0.18264E+01
    0.39749E-03    0.18619E+01
    0.40552E-03    0.18981E+01
    0.41371E-03    0.19350E+01
    0.42207E-03    0.19727E+01
    0.43060E-03    0.20110E+01
    0.43929E-03    0.20501E+01
    0.44817E-03    0.20900E+01
    0.45722E-03    0.21306E+01
    0.46646E-03    0.21720E+01
    0.47588E-03    0.22142E+01
    0.48550E-03    0.22573E+01
    0.49530E-03    0.23011E+01
    0.50531E-03    0.23458E+01
    0.51552E-03    0.23914E+01
    0.52593E-03    0.24378E+01
    0.53656E-03    0.24851E+01
    0.54739E-03    0.25334E+01
    0.55845E-03    0.25825E+01
    0.56973E-03    0.26326E+01
    0.58124E-03    0.26837E+01
    0.59299E-03    0.27357E+01
    0.60496E-03    0.27888E+01
    0.61719E-03    0.28428E+01
    0.62965E-03    0.28979E+01
    0.64237E-03    0.29540E+01
    0.65535E-03    0.30113E+01
    0.66859E-03    0.30696E+01
    0.68210E-03    0.31290E+01
    0.69588E-03    0.31895E+01
    0.70993E-03    0.32512E+01
    0.72427E-03    0.33141E+01
    0.73891E-03    0.33781E+01
    0.75383E-03    0.34434E+01
    0.76906E-03    0.35099E+01
    0.78460E-03    0.35777E+01
    0.80045E-03    0.36467E+01
    0.81662E-03    0.37171E+01
    0.83311E-03    0.37887E+01
    0.84994E-03    0.38618E+01
    0.86711E-03    0.39361E+01
    0.88463E-03    0.40119E+01
    0.90250E-03    0.40891E+01
    0.92073E-03    0.41678E+01
    0.93933E-03    0.42479E+01
    0.95831E-03    0.43295E+01
    0.97767E-03    0.44126E+01
    0.99742E-03    0.44973E+01
    0.10176E-02    0.45835E+01
    0.10381E-02    0.46713E+01
    0.10591E-02    0.47607E+01
    0.10805E-02    0.48518E+01
    0.11023E-02    0.49446E+01
    0.11246E-02    0.50390E+01
    0.11473E-02    0.51352E+01
    0.11705E-02    0.52331E+01
    0.11941E-02    0.53328E+01
    0.12182E-02    0.54343E+01
    0.12429E-02    0.55376E+01
    0.12680E-02    0.56428E+01
    0.12936E-02    0.57499E+01
    0.13197E-02    0.58589E+01
    0.13464E-02    0.59698E+01
    0.13736E-02    0.60827E+01
    0.14013E-02    0.61976E+01
    0.14296E-02    0.63145E+01
    0.14585E-02    0.64334E+01
    0.14880E-02    0.65545E+01
    0.15180E-02    0.66776E+01
    0.15487E-02    0.68028E+01
    0.15800E-02    0.69302E+01
    0.16119E-02    0.70598E+01
    0.16445E-02    0.71916E+01
    0.16777E-02    0.73256E+01
    0.17116E-02    0.74619E+01
    0.17462E-02    0.76004E+01
    0.17814E-02    0.77413E+01
    0.18174E-02    0.78845E+01
    0.18541E-02    0.80300E+01
    0.18916E-02    0.81779E+01
    0.19298E-02    0.83282E+01
    0.19688E-02    0.84809E+01
    0.20086E-02    0.86360E+01
    0.20491E-02    0.87935E+01
    0.20905E-02    0.89536E+01
    0.21328E-02    0.91161E+01
    0.21758E-02    0.92811E+01
    0.22198E-02    0.94487E+01
    0.22646E-02    0.96187E+01
    0.23104E-02    0.97913E+01
    0.23571E-02    0.99665E+01
    0.24047E-02    0.10144E+02
    0.24533E-02    0.10324E+02
    0.25028E-02    0.10507E+02
    0.25534E-02    0.10693E+02
    0.26050E-02    0.10881E+02
    0.26576E-02    0.11071E+02
    0.27113E-02    0.11264E+02
    0.27660E-02    0.11460E+02
    0.28219E-02    0.11659E+02
    0.28789E-02    0.11859E+02
    0.29371E-02    0.12063E+02
    0.29964E-02    0.12269E+02
    0.30569E-02    0.12477E+02
    0.31187E-02    0.12688E+02
    0.31817E-02    0.12902E+02
    0.32460E-02    0.13118E+02
    0.33115E-02    0.13336E+02
    0.33784E-02    0.13557E+02
    0.34467E-02    0.13780E+02
    0.35163E-02    0.14006E+02
    0.35874E-02    0.14234E+02
    0.36598E-02    0.14464E+02
    0.37338E-02    0.14697E+02
    0.38092E-02    0.14932E+02
    0.38861E-02    0.15169E+02
    0.39646E-02    0.15408E+02
    0.40447E-02    0.15649E+02
    0.41264E-02    0.15893E+02
    0.42098E-02    0.16138E+02
    0.42948E-02    0.16385E+02
    0.43816E-02    0.16635E+02
    0.44701E-02    0.16886E+02
    0.45604E-02    0.17138E+02
    0.46525E-02    0.17393E+02
    0.47465E-02    0.17649E+02
    0.48424E-02    0.17907E+02
    0.49402E-02    0.18166E+02
    0.50400E-02    0.18427E+02
    0.51419E-02    0.18689E+02
    0.52457E-02    0.18952E+02
    0.53517E-02    0.19216E+02
    0.54598E-02    0.19482E+02
    0.55701E-02    0.19748E+02
    0.56826E-02    0.20016E+02
    0.57974E-02    0.20284E+02
    0.59145E-02    0.20553E+02
    0.60340E-02    0.20822E+02
    0.61559E-02    0.21092E+02
    0.62803E-02    0.21362E+02
    0.64072E-02    0.21632E+02
    0.65366E-02    0.21902E+02
    0.66686E-02    0.22173E+02
    0.68033E-02    0.22443E+02
    0.69408E-02    0.22712E+02
    0.70810E-02    0.22981E+02
    0.72240E-02    0.23250E+02
    0.73700E-02    0.23517E+02
    0.75189E-02    0.23784E+02
    0.76708E-02    0.24049E+02
    0.78257E-02    0.24312E+02
    0.79838E-02    0.24574E+02
    0.81451E-02    0.24835E+02
    0.83096E-02    0.25093E+02
    0.84775E-02    0.25348E+02
    0.86488E-02    0.25602E+02
    0.88235E-02    0.25852E+02
    0.90017E-02    0.26100E+02
    0.91836E-02    0.26344E+02
    0.93691E-02    0.26585E+02
    0.95583E-02    0.26822E+02
    0.97514E-02    0.27056E+02
    0.99484E-02    0.27285E+02
    0.10149E-01    0.27509E+02
    0.10354E-01    0.27729E+02
    0.10564E-01    0.27943E+02
    0.10777E-01    0.28153E+02
    0.10995E-01    0.28356E+02
    0.11217E-01    0.28554E+02
    0.11443E-01    0.28745E+02
    0.11675E-01    0.28930E+02
    0.11910E-01    0.29108E+02
    0.12151E-01    0.29279E+02
    0.12397E-01    0.29442E+02
    0.12647E-01    0.29598E+02
    0.12902E-01    0.29745E+02
    0.13163E-01    0.29884E+02
    0.13429E-01    0.30013E+02
    0.13700E-01    0.30134E+02
    0.13977E-01    0.30245E+02
    0.14259E-01    0.30346E+02
    0.14547E-01    0.30437E+02
    0.14841E-01    0.30518E+02
    0.15141E-01    0.30587E+02
    0.15447E-01    0.30646E+02
    0.15759E-01    0.30692E+02
    0.16077E-01    0.30727E+02
    0.16402E-01    0.30750E+02
    0.16734E-01    0.30760E+02
    0.17072E-01    0.30758E+02
    0.17416E-01    0.30742E+02
    0.17768E-01    0.30714E+02
    0.18127E-01    0.30671E+02
    0.18493E-01    0.30615E+02
    0.18867E-01    0.30545E+02
    0.19248E-01    0.30461E+02
    0.19637E-01    0.30362E+02
    0.20034E-01    0.30249E+02
    0.20438E-01    0.30122E+02
    0.20851E-01    0.29980E+02
    0.21272E-01    0.29823E+02
    0.21702E-01    0.29651E+02
    0.22141E-01    0.29465E+02
    0.22588E-01    0.29264E+02
    0.23044E-01    0.29049E+02
    0.23510E-01    0.28820E+02
    0.23985E-01    0.28576E+02
    0.24469E-01    0.28318E+02
    0.24964E-01    0.28047E+02
    0.25468E-01    0.27763E+02
    0.25982E-01    0.27466E+02
    0.26507E-01    0.27157E+02
    0.27043E-01    0.26836E+02
    0.27589E-01    0.26504E+02
    0.28146E-01    0.26161E+02
    0.28715E-01    0.25808E+02
    0.29295E-01    0.25446E+02
    0.29887E-01    0.25076E+02
    0.30490E-01    0.24698E+02
    0.31106E-01    0.24314E+02
    0.31735E-01    0.23924E+02
    0.32376E-01    0.23530E+02
    0.33030E-01    0.23132E+02
    0.33697E-01    0.22731E+02
    0.34378E-01    0.22328E+02
    0.35072E-01    0.21926E+02
    0.35781E-01    0.21523E+02
    0.36504E-01    0.21123E+02
    0.37241E-01    0.20725E+02
    0.37993E-01    0.20331E+02
