#           k/h    P           
    0.10000E-03    0.13167E+03
    0.10202E-03    0.13424E+03
    0.10408E-03    0.13686E+03
    0.10618E-03    0.13953E+03
    0.10833E-03    0.14225E+03
    0.11052E-03    0.14502E+03
    0.11275E-03    0.14785E+03
    0.11503E-03    0.15073E+03
    0.11735E-03    0.15367E+03
    0.11972E-03    0.15666E+03
    0.12214E-03    0.15972E+03
    0.12461E-03    0.16283E+03
    0.12712E-03    0.16601E+03
    0.12969E-03    0.16924E+03
    0.13231E-03    0.17254E+03
    0.13499E-03    0.17591E+03
    0.13771E-03    0.17933E+03
    0.14049E-03    0.18283E+03
    0.14333E-03    0.18639E+03
    0.14623E-03    0.19003E+03
    0.14918E-03    0.19373E+03
    0.15220E-03    0.19750E+03
    0.15527E-03    0.20135E+03
    0.15841E-03    0.20528E+03
    0.16161E-03    0.20928E+03
    0.16487E-03    0.21335E+03
    0.16820E-03    0.21751E+03
    0.17160E-03    0.22175E+03
    0.17507E-03    0.22607E+03
    0.17860E-03    0.23047E+03
    0.18221E-03    0.23496E+03
    0.18589E-03    0.23954E+03
    0.18965E-03    0.24421E+03
    0.19348E-03    0.24896E+03
    0.19739E-03    0.25381E+03
    0.20138E-03    0.25875E+03
    0.20544E-03    0.26379E+03
    0.20959E-03    0.26893E+03
    0.21383E-03    0.27416E+03
    0.21815E-03    0.27950E+03
    0.22255E-03    0.28494E+03
    0.22705E-03    0.29049E+03
    0.23164E-03    0.29614E+03
    0.23632E-03    0.30190E+03
    0.24109E-03    0.30778E+03
    0.24596E-03    0.31377E+03
    0.25093E-03    0.31987E+03
    0.25600E-03    0.32609E+03
    0.26117E-03    0.33244E+03
    0.26645E-03    0.33890E+03
    0.27183E-03    0.34549E+03
    0.27732E-03    0.35221E+03
    0.28292E-03    0.35906E+03
    0.28864E-03    0.36604E+03
    0.29447E-03    0.37315E+03
    0.30042E-03    0.38040E+03
    0.30649E-03    0.38779E+03
    0.31268E-03    0.39533E+03
    0.31899E-03    0.40300E+03
    0.32544E-03    0.41083E+03
    0.33201E-03    0.41881E+03
    0.33872E-03    0.42694E+03
    0.34556E-03    0.43522E+03
    0.35254E-03    0.44367E+03
    0.35966E-03    0.45228E+03
    0.36693E-03    0.46105E+03
    0.37434E-03    0.46999E+03
    0.38190E-03    0.47910E+03
    0.38962E-03    0.48839E+03
    0.39749E-03    0.49786E+03
    0.40552E-03    0.50750E+03
    0.41371E-03    0.51733E+03
    0.42207E-03    0.52735E+03
    0.43060E-03    0.53756E+03
    0.43929E-03    0.54796E+03
    0.44817E-03    0.55856E+03
    0.45722E-03    0.56936E+03
    0.46646E-03    0.58037E+03
    0.47588E-03    0.59159E+03
    0.48550E-03    0.60302E+03
    0.49530E-03    0.61466E+03
    0.50531E-03    0.62653E+03
    0.51552E-03    0.63862E+03
    0.52593E-03    0.65094E+03
    0.53656E-03    0.66349E+03
    0.54739E-03    0.67628E+03
    0.55845E-03    0.68931E+03
    0.56973E-03    0.70258E+03
    0.58124E-03    0.71610E+03
    0.59299E-03    0.72988E+03
    0.60496E-03    0.74391E+03
    0.61719E-03    0.75821E+03
    0.62965E-03    0.77277E+03
    0.64237E-03    0.78760E+03
    0.65535E-03    0.80271E+03
    0.66859E-03    0.81810E+03
    0.68210E-03    0.83378E+03
    0.69588E-03    0.84975E+03
    0.70993E-03    0.86601E+03
    0.72427E-03    0.88257E+03
    0.73891E-03    0.89943E+03
    0.75383E-03    0.91661E+03
    0.76906E-03    0.93410E+03
    0.78460E-03    0.95191E+03
    0.80045E-03    0.97005E+03
    0.81662E-03    0.98851E+03
    0.83311E-03    0.10073E+04
    0.84994E-03    0.10265E+04
    0.86711E-03    0.10459E+04
    0.88463E-03    0.10658E+04
    0.90250E-03    0.10860E+04
    0.92073E-03    0.11066E+04
    0.93933E-03    0.11275E+04
    0.95831E-03    0.11488E+04
    0.97767E-03    0.11705E+04
    0.99742E-03    0.11925E+04
    0.10176E-02    0.12150E+04
    0.10381E-02    0.12379E+04
    0.10591E-02    0.12611E+04
    0.10805E-02    0.12848E+04
    0.11023E-02    0.13089E+04
    0.11246E-02    0.13334E+04
    0.11473E-02    0.13583E+04
    0.11705E-02    0.13837E+04
    0.11941E-02    0.14095E+04
    0.12182E-02    0.14358E+04
    0.12429E-02    0.14625E+04
    0.12680E-02    0.14896E+04
    0.12936E-02    0.15172E+04
    0.13197E-02    0.15453E+04
    0.13464E-02    0.15739E+04
    0.13736E-02    0.16029E+04
    0.14013E-02    0.16325E+04
    0.14296E-02    0.16625E+04
    0.14585E-02    0.16930E+04
    0.14880E-02    0.17241E+04
    0.15180E-02    0.17556E+04
    0.15487E-02    0.17877E+04
    0.15800E-02    0.18203E+04
    0.16119E-02    0.18534E+04
    0.16445E-02    0.18870E+04
    0.16777E-02    0.19212E+04
    0.17116E-02    0.19560E+04
    0.17462E-02    0.19912E+04
    0.17814E-02    0.20271E+04
    0.18174E-02    0.20635E+04
    0.18541E-02    0.21005E+04
    0.18916E-02    0.21380E+04
    0.19298E-02    0.21761E+04
    0.19688E-02    0.22148E+04
    0.20086E-02    0.22541E+04
    0.20491E-02    0.22940E+04
    0.20905E-02    0.23344E+04
