#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105234E-04   0.101213E+08   0.101213E+08   0.134918E+08   0.134917E+08   0.000000E+00   0.101213E+08   0.101213E+08   0.101308E+08  -0.584676E+00   0.936544E+07   0.936544E+07   0.101626E+02
   0.116201E-04   0.101213E+08   0.101213E+08   0.134911E+08   0.134909E+08   0.000000E+00   0.101213E+08   0.101213E+08   0.101308E+08  -0.584675E+00   0.936543E+07   0.936543E+07   0.112215E+02
   0.128311E-04   0.101213E+08   0.101213E+08   0.134902E+08   0.134900E+08   0.000000E+00   0.101213E+08   0.101213E+08   0.101308E+08  -0.584675E+00   0.936543E+07   0.936543E+07   0.123907E+02
   0.141684E-04   0.101213E+08   0.101213E+08   0.134892E+08   0.134889E+08   0.000000E+00   0.101213E+08   0.101213E+08   0.101308E+08  -0.584675E+00   0.936543E+07   0.936543E+07   0.136817E+02
   0.156450E-04   0.101213E+08   0.101213E+08   0.134879E+08   0.134876E+08   0.000000E+00   0.101213E+08   0.101213E+08   0.101308E+08  -0.584675E+00   0.936542E+07   0.936542E+07   0.151070E+02
   0.172755E-04   0.101213E+08   0.101213E+08   0.134863E+08   0.134859E+08   0.000000E+00   0.101213E+08   0.101213E+08   0.101308E+08  -0.584674E+00   0.936542E+07   0.936542E+07   0.166807E+02
   0.190759E-04   0.101213E+08   0.101213E+08   0.134843E+08   0.134839E+08   0.000000E+00   0.101213E+08   0.101213E+08   0.101308E+08  -0.584674E+00   0.936541E+07   0.936541E+07   0.184182E+02
   0.210640E-04   0.101213E+08   0.101213E+08   0.134820E+08   0.134815E+08   0.000000E+00   0.101213E+08   0.101213E+08   0.101308E+08  -0.584673E+00   0.936540E+07   0.936540E+07   0.203365E+02
   0.232593E-04   0.101213E+08   0.101213E+08   0.134791E+08   0.134785E+08   0.000000E+00   0.101213E+08   0.101213E+08   0.101308E+08  -0.584672E+00   0.936539E+07   0.936539E+07   0.224542E+02
   0.256833E-04   0.101212E+08   0.101212E+08   0.134756E+08   0.134749E+08   0.000000E+00   0.101212E+08   0.101212E+08   0.101308E+08  -0.584671E+00   0.936538E+07   0.936538E+07   0.247920E+02
   0.283600E-04   0.101212E+08   0.101212E+08   0.134714E+08   0.134705E+08   0.000000E+00   0.101212E+08   0.101212E+08   0.101308E+08  -0.584670E+00   0.936537E+07   0.936536E+07   0.273727E+02
   0.313157E-04   0.101212E+08   0.101212E+08   0.134662E+08   0.134651E+08   0.000000E+00   0.101212E+08   0.101212E+08   0.101307E+08  -0.584669E+00   0.936535E+07   0.936535E+07   0.302212E+02
   0.345794E-04   0.101212E+08   0.101212E+08   0.134598E+08   0.134585E+08   0.000000E+00   0.101212E+08   0.101212E+08   0.101307E+08  -0.584667E+00   0.936533E+07   0.936533E+07   0.333651E+02
   0.381832E-04   0.101212E+08   0.101212E+08   0.134521E+08   0.134505E+08   0.000000E+00   0.101212E+08   0.101212E+08   0.101307E+08  -0.584665E+00   0.936530E+07   0.936530E+07   0.368347E+02
   0.421626E-04   0.101211E+08   0.101211E+08   0.134427E+08   0.134407E+08   0.000000E+00   0.101211E+08   0.101211E+08   0.101306E+08  -0.584663E+00   0.936527E+07   0.936527E+07   0.406633E+02
   0.465567E-04   0.101211E+08   0.101211E+08   0.134313E+08   0.134288E+08   0.000000E+00   0.101211E+08   0.101211E+08   0.101306E+08  -0.584660E+00   0.936523E+07   0.936523E+07   0.448873E+02
   0.514088E-04   0.101210E+08   0.101210E+08   0.134173E+08   0.134143E+08   0.000000E+00   0.101210E+08   0.101210E+08   0.101305E+08  -0.584656E+00   0.936519E+07   0.936518E+07   0.495468E+02
   0.567666E-04   0.101210E+08   0.101210E+08   0.134003E+08   0.133967E+08   0.000000E+00   0.101210E+08   0.101210E+08   0.101304E+08  -0.584651E+00   0.936513E+07   0.936512E+07   0.546854E+02
   0.626827E-04   0.101209E+08   0.101209E+08   0.133796E+08   0.133752E+08   0.000000E+00   0.101209E+08   0.101209E+08   0.101304E+08  -0.584646E+00   0.936506E+07   0.936505E+07   0.603508E+02
   0.692154E-04   0.101208E+08   0.101208E+08   0.133544E+08   0.133490E+08   0.000000E+00   0.101208E+08   0.101208E+08   0.101302E+08  -0.584639E+00   0.936498E+07   0.936496E+07   0.665951E+02
