#           k/h    P           
    0.10000E-03    0.97833E+02
    0.10202E-03    0.99740E+02
    0.10408E-03    0.10169E+03
    0.10618E-03    0.10367E+03
    0.10833E-03    0.10569E+03
    0.11052E-03    0.10775E+03
    0.11275E-03    0.10985E+03
    0.11503E-03    0.11199E+03
    0.11735E-03    0.11418E+03
    0.11972E-03    0.11640E+03
    0.12214E-03    0.11867E+03
    0.12461E-03    0.12098E+03
    0.12712E-03    0.12334E+03
    0.12969E-03    0.12575E+03
    0.13231E-03    0.12820E+03
    0.13499E-03    0.13070E+03
    0.13771E-03    0.13325E+03
    0.14049E-03    0.13584E+03
    0.14333E-03    0.13849E+03
    0.14623E-03    0.14119E+03
    0.14918E-03    0.14394E+03
    0.15220E-03    0.14675E+03
    0.15527E-03    0.14961E+03
    0.15841E-03    0.15252E+03
    0.16161E-03    0.15549E+03
    0.16487E-03    0.15852E+03
    0.16820E-03    0.16161E+03
    0.17160E-03    0.16476E+03
    0.17507E-03    0.16797E+03
    0.17860E-03    0.17124E+03
    0.18221E-03    0.17458E+03
    0.18589E-03    0.17798E+03
    0.18965E-03    0.18145E+03
    0.19348E-03    0.18498E+03
    0.19739E-03    0.18858E+03
    0.20138E-03    0.19226E+03
    0.20544E-03    0.19600E+03
    0.20959E-03    0.19982E+03
    0.21383E-03    0.20371E+03
    0.21815E-03    0.20767E+03
    0.22255E-03    0.21172E+03
    0.22705E-03    0.21584E+03
    0.23164E-03    0.22004E+03
    0.23632E-03    0.22432E+03
    0.24109E-03    0.22869E+03
    0.24596E-03    0.23314E+03
    0.25093E-03    0.23767E+03
    0.25600E-03    0.24230E+03
    0.26117E-03    0.24701E+03
    0.26645E-03    0.25181E+03
    0.27183E-03    0.25671E+03
    0.27732E-03    0.26170E+03
    0.28292E-03    0.26679E+03
    0.28864E-03    0.27198E+03
    0.29447E-03    0.27726E+03
    0.30042E-03    0.28265E+03
    0.30649E-03    0.28814E+03
    0.31268E-03    0.29374E+03
    0.31899E-03    0.29945E+03
    0.32544E-03    0.30527E+03
    0.33201E-03    0.31119E+03
    0.33872E-03    0.31724E+03
    0.34556E-03    0.32339E+03
    0.35254E-03    0.32967E+03
    0.35966E-03    0.33607E+03
    0.36693E-03    0.34259E+03
    0.37434E-03    0.34923E+03
    0.38190E-03    0.35600E+03
    0.38962E-03    0.36291E+03
    0.39749E-03    0.36994E+03
    0.40552E-03    0.37711E+03
    0.41371E-03    0.38442E+03
    0.42207E-03    0.39186E+03
    0.43060E-03    0.39945E+03
    0.43929E-03    0.40718E+03
    0.44817E-03    0.41506E+03
    0.45722E-03    0.42309E+03
    0.46646E-03    0.43127E+03
    0.47588E-03    0.43961E+03
    0.48550E-03    0.44810E+03
    0.49530E-03    0.45676E+03
    0.50531E-03    0.46558E+03
    0.51552E-03    0.47457E+03
    0.52593E-03    0.48372E+03
    0.53656E-03    0.49305E+03
    0.54739E-03    0.50256E+03
